id,kind,phase,family,candidate_id,seed,order,sequence_id,stage,domain,dependencies,parent_checkpoint,resolved,status,updates
C__B1_PARENT_CONF_KL_C01__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,2,C__B1_PARENT_CONF_KL_C01__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C01__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C01,161,2,C__B1_PARENT_CONF_KL_C01__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C01__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C01__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C02__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,1,C__B1_PARENT_CONF_KL_C02__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C02__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,1,C__B1_PARENT_CONF_KL_C02__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C02__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C02__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C02__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,2,C__B1_PARENT_CONF_KL_C02__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C02__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C02,161,2,C__B1_PARENT_CONF_KL_C02__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C02__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C02__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C03__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,1,C__B1_PARENT_CONF_KL_C03__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C03__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,1,C__B1_PARENT_CONF_KL_C03__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C03__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C03__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C03__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,2,C__B1_PARENT_CONF_KL_C03__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C03__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C03,161,2,C__B1_PARENT_CONF_KL_C03__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C03__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C03__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C04__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,1,C__B1_PARENT_CONF_KL_C04__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C04__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,1,C__B1_PARENT_CONF_KL_C04__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C04__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C04__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C04__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,2,C__B1_PARENT_CONF_KL_C04__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C04__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C04,161,2,C__B1_PARENT_CONF_KL_C04__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C04__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C04__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C05__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,1,C__B1_PARENT_CONF_KL_C05__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C05__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,1,C__B1_PARENT_CONF_KL_C05__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C05__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C05__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C05__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,2,C__B1_PARENT_CONF_KL_C05__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C05__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C05,161,2,C__B1_PARENT_CONF_KL_C05__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C05__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C05__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C06__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,1,C__B1_PARENT_CONF_KL_C06__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C06__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,1,C__B1_PARENT_CONF_KL_C06__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C06__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C06__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C06__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,2,C__B1_PARENT_CONF_KL_C06__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C06__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C06,161,2,C__B1_PARENT_CONF_KL_C06__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C06__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C06__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C07__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C07,161,1,C__B1_PARENT_CONF_KL_C07__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C07__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C07,161,1,C__B1_PARENT_CONF_KL_C07__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C07__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C07__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C07__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C07,161,2,C__B1_PARENT_CONF_KL_C07__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C07__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C07,161,2,C__B1_PARENT_CONF_KL_C07__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C07__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C07__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C08__S161__O1__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C08,161,1,C__B1_PARENT_CONF_KL_C08__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C08__S161__O1__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C08,161,1,C__B1_PARENT_CONF_KL_C08__S161__O1,2,Drishti_GS,"[""C__B1_PARENT_CONF_KL_C08__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C08__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C08__S161__O2__STAGE1,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C08,161,2,C__B1_PARENT_CONF_KL_C08__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B1_PARENT_CONF_KL_C08__S161__O2__STAGE2,target_stage,C,B1_PARENT_CONF_KL,B1_PARENT_CONF_KL_C08,161,2,C__B1_PARENT_CONF_KL_C08__S161__O2,2,RIM_ONE_r3,"[""C__B1_PARENT_CONF_KL_C08__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B1_PARENT_CONF_KL_C08__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C01__S161__O1__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C01,161,1,C__B2_PARENT_PAS_KL_C01__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C01__S161__O1__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C01,161,1,C__B2_PARENT_PAS_KL_C01__S161__O1,2,Drishti_GS,"[""C__B2_PARENT_PAS_KL_C01__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C01__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C01__S161__O2__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C01,161,2,C__B2_PARENT_PAS_KL_C01__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C01__S161__O2__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C01,161,2,C__B2_PARENT_PAS_KL_C01__S161__O2,2,RIM_ONE_r3,"[""C__B2_PARENT_PAS_KL_C01__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C01__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C02__S161__O1__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C02,161,1,C__B2_PARENT_PAS_KL_C02__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C02__S161__O1__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C02,161,1,C__B2_PARENT_PAS_KL_C02__S161__O1,2,Drishti_GS,"[""C__B2_PARENT_PAS_KL_C02__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C02__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C02__S161__O2__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C02,161,2,C__B2_PARENT_PAS_KL_C02__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C02__S161__O2__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C02,161,2,C__B2_PARENT_PAS_KL_C02__S161__O2,2,RIM_ONE_r3,"[""C__B2_PARENT_PAS_KL_C02__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C02__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C03__S161__O1__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C03,161,1,C__B2_PARENT_PAS_KL_C03__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C03__S161__O1__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C03,161,1,C__B2_PARENT_PAS_KL_C03__S161__O1,2,Drishti_GS,"[""C__B2_PARENT_PAS_KL_C03__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C03__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C03__S161__O2__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C03,161,2,C__B2_PARENT_PAS_KL_C03__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C03__S161__O2__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C03,161,2,C__B2_PARENT_PAS_KL_C03__S161__O2,2,RIM_ONE_r3,"[""C__B2_PARENT_PAS_KL_C03__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C03__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C04__S161__O1__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,1,C__B2_PARENT_PAS_KL_C04__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C04__S161__O1__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,1,C__B2_PARENT_PAS_KL_C04__S161__O1,2,Drishti_GS,"[""C__B2_PARENT_PAS_KL_C04__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C04__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C04__S161__O2__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,2,C__B2_PARENT_PAS_KL_C04__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C04__S161__O2__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C04,161,2,C__B2_PARENT_PAS_KL_C04__S161__O2,2,RIM_ONE_r3,"[""C__B2_PARENT_PAS_KL_C04__S161__O2__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C04__S161__O2__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C05__S161__O1__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,1,C__B2_PARENT_PAS_KL_C05__S161__O1,1,RIM_ONE_r3,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C05__S161__O1__STAGE2,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,1,C__B2_PARENT_PAS_KL_C05__S161__O1,2,Drishti_GS,"[""C__B2_PARENT_PAS_KL_C05__S161__O1__STAGE1"", ""SELECT_PARENT""]",C__B2_PARENT_PAS_KL_C05__S161__O1__STAGE1,False,PLANNED_NOT_LAUNCHED,
C__B2_PARENT_PAS_KL_C05__S161__O2__STAGE1,target_stage,C,B2_PARENT_PAS_KL,B2_PARENT_PAS_KL_C05,161,2,C__B2_PARENT_PAS_KL_C05__S161__O2,1,Drishti_GS,"[""SOURCE_S161"", ""SELECT_PARENT""]",SOURCE_S161,False,PLANNED_NOT_LAUNCHED,
