task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,actual_diagnostic_positions
O1_s71_SRC_CE,,71,O1,RIM_ONE_r3,RIM_ONE_r3,SRC_CE,32,3200,[]
O1_s71_F_CONV,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,F_CONV,21,2100,[]
O1_s71_DPR_FINITE_SIGN_U,O1_s71_SRC_CE,71,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]"
O2_s71_SRC_CE,,71,O2,Drishti_GS,Drishti_GS,SRC_CE,21,2100,[]
O2_s71_F_CONV,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,F_CONV,32,3200,[]
O2_s71_DPR_FINITE_SIGN_U,O2_s71_SRC_CE,71,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]"
O1_s72_SRC_CE,,72,O1,RIM_ONE_r3,RIM_ONE_r3,SRC_CE,32,3200,[]
O1_s72_F_CONV,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,F_CONV,21,2100,[]
O1_s72_DPR_FINITE_SIGN_U,O1_s72_SRC_CE,72,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]"
O2_s72_SRC_CE,,72,O2,Drishti_GS,Drishti_GS,SRC_CE,21,2100,[]
O2_s72_F_CONV,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,F_CONV,32,3200,[]
O2_s72_DPR_FINITE_SIGN_U,O2_s72_SRC_CE,72,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]"
O1_s73_SRC_CE,,73,O1,RIM_ONE_r3,RIM_ONE_r3,SRC_CE,32,3200,[]
O1_s73_F_CONV,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,F_CONV,21,2100,[]
O1_s73_DPR_FINITE_SIGN_U,O1_s73_SRC_CE,73,O1,RIM_ONE_r3,Drishti_GS,DPR_FINITE_SIGN_U,21,2100,"[820, 1320, 1820]"
O2_s73_SRC_CE,,73,O2,Drishti_GS,Drishti_GS,SRC_CE,21,2100,[]
O2_s73_F_CONV,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,F_CONV,32,3200,[]
O2_s73_DPR_FINITE_SIGN_U,O2_s73_SRC_CE,73,O2,Drishti_GS,RIM_ONE_r3,DPR_FINITE_SIGN_U,32,3200,"[1249, 1749, 2249, 2749]"
