epoch,domain,arm,seed,head_mode,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
20,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,student,25,25,0.9841839312349714,0.5816596541129644,0.7303573327300412,0.6560084934215028,0.9841839312349714,0.5816596541129644,0.7303573327300412,0.6560084934215028
20,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,ema,25,25,0.98617637998346,0.672318144046568,0.7539714184486254,0.7131447812475967,0.98617637998346,0.672318144046568,0.7539714184486254,0.7131447812475967
40,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,student,25,25,0.9851446942318504,0.6969041819833083,0.7556911840338861,0.7262976830085972,0.9851446942318504,0.6969041819833083,0.7556911840338861,0.7262976830085972
40,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,ema,25,25,0.9859034653712888,0.6829903813168946,0.7605631550708809,0.7217767681938878,0.9859034653712888,0.6829903813168946,0.7605631550708809,0.7217767681938878
60,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,student,25,25,0.9861604865192138,0.6945742451827472,0.7668967771927321,0.7307355111877396,0.9861604865192138,0.6945742451827472,0.7668967771927321,0.7307355111877396
60,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,ema,25,25,0.9862406018373726,0.7028906017720301,0.7663407793833121,0.7346156905776712,0.9862406018373726,0.7028906017720301,0.7663407793833121,0.7346156905776712
80,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,student,25,25,0.9855641949290315,0.6996858188410512,0.752784873503244,0.7262353461721476,0.9855641949290315,0.6996858188410512,0.752784873503244,0.7262353461721476
80,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,ema,25,25,0.9861547479672853,0.7024421454034444,0.7587247076589607,0.7305834265312025,0.9861547479672853,0.7024421454034444,0.7587247076589607,0.7305834265312025
100,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,student,25,25,0.9847867650927006,0.6883221615402875,0.7457558411944365,0.7170390013673618,0.9847867650927006,0.6883221615402875,0.7457558411944365,0.7170390013673618
100,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,ema,25,25,0.9850013157235047,0.6907131542303155,0.7475329715915457,0.7191230629109308,0.9850013157235047,0.6907131542303155,0.7475329715915457,0.7191230629109308
20,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,student,25,25,0.9841839312349714,0.5816596541129644,0.7303573327300412,0.6560084934215028,0.9841839312349714,0.5816596541129644,0.7303573327300412,0.6560084934215028
20,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,ema,25,25,0.98617637998346,0.672318144046568,0.7539714184486254,0.7131447812475967,0.98617637998346,0.672318144046568,0.7539714184486254,0.7131447812475967
40,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,student,25,25,0.9848009883471803,0.6757169767358913,0.7530855223781552,0.7144012495570233,0.9848009883471803,0.6757169767358913,0.7530855223781552,0.7144012495570233
40,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,ema,25,25,0.9861164303163515,0.68340205078808,0.7604659140573271,0.7219339824227036,0.9861164303163515,0.68340205078808,0.7604659140573271,0.7219339824227036
60,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,student,25,25,0.9852347184730766,0.675559840512505,0.7614515772264153,0.7185057088694602,0.9852347184730766,0.675559840512505,0.7614515772264153,0.7185057088694602
60,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,ema,25,25,0.9855980051471677,0.692524055358772,0.7664574546568725,0.7294907550078222,0.9855980051471677,0.692524055358772,0.7664574546568725,0.7294907550078222
80,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,student,25,25,0.9842402359482285,0.6898928712544702,0.7584844370078754,0.7241886541311731,0.9842402359482285,0.6898928712544702,0.7584844370078754,0.7241886541311731
80,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,ema,25,25,0.9849612286995247,0.690183388249148,0.7576596777992347,0.7239215330241913,0.9849612286995247,0.690183388249148,0.7576596777992347,0.7239215330241913
100,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,student,25,25,0.9833405611397698,0.6797373911492983,0.7477662093685775,0.713751800258938,0.9833405611397698,0.6797373911492983,0.7477662093685775,0.713751800258938
100,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,ema,25,25,0.98359280893675,0.6812722066918201,0.7489429565170584,0.7151075816044393,0.98359280893675,0.6812722066918201,0.7489429565170584,0.7151075816044393
20,Drishti_GS,LIN_SUP,11,raw_linear3_same_geometry,student,25,25,0.9841839312349714,0.5816596541129644,0.7303573327300412,0.6560084934215028,0.9841839312349714,0.5816596541129644,0.7303573327300412,0.6560084934215028
20,Drishti_GS,LIN_SUP,11,raw_linear3_same_geometry,ema,25,25,0.98617637998346,0.672318144046568,0.7539714184486254,0.7131447812475967,0.98617637998346,0.672318144046568,0.7539714184486254,0.7131447812475967
40,Drishti_GS,LIN_SUP,11,raw_linear3_same_geometry,student,25,25,0.9844914115573625,0.6802317632148902,0.7497424131510716,0.7149870881829808,0.9844914115573625,0.6802317632148902,0.7497424131510716,0.7149870881829808
40,Drishti_GS,LIN_SUP,11,raw_linear3_same_geometry,ema,25,25,0.9856109820352883,0.676004527056471,0.7587764043783375,0.7173904657174041,0.9856109820352883,0.676004527056471,0.7587764043783375,0.7173904657174041
60,Drishti_GS,LIN_SUP,11,raw_linear3_same_geometry,student,25,25,0.9859966274250191,0.703383963751767,0.769646712324167,0.736515338037967,0.9859966274250191,0.703383963751767,0.769646712324167,0.736515338037967
