seed,domain,arm,reference,macro_fg_dice_delta,rim_dice_delta,cup_dice_delta
11,RIM_ONE_r3,LIN_MT_CONF,LIN_SUP,-0.007762844740477282,0.0031089538958370966,-0.018634643376791438
11,Drishti_GS,LIN_MT_CONF,LIN_SUP,-0.0009458044461511106,0.007977800637688492,-0.009869409529990048
11,RIM_ONE_r3,LIN_MT_PAS,LIN_SUP,-0.0007882775914959117,0.0038204482344174062,-0.005397003417409008
11,Drishti_GS,LIN_MT_PAS,LIN_SUP,-0.004233005554574842,-0.0006069697533006568,-0.007859041355849028
11,RIM_ONE_r3,LIN_MT_PAS,LIN_MT_CONF,0.00697456714898137,0.0007114943385803096,0.01323763995938243
11,Drishti_GS,LIN_MT_PAS,LIN_MT_CONF,-0.003287201108423732,-0.00858477039098915,0.0020103681741410195
21,RIM_ONE_r3,LIN_SUP,SUP_G1,0.01697011181189767,0.005181464849498996,0.028758758774296234
21,Drishti_GS,LIN_SUP,SUP_G1,0.05942425885155289,0.08870925588160472,0.030139261821501173
22,RIM_ONE_r3,LIN_SUP,SUP_G1,-0.013910246800926118,0.00452596422908369,-0.032346457830935704
22,Drishti_GS,LIN_SUP,SUP_G1,0.009803290039894219,0.03054869650483738,-0.010942116425049164
11,RIM_ONE_r3,LIN_SUP,old_SUP_G0,0.010836867181474141,-0.005429647020110617,0.027103381383058567
11,RIM_ONE_r3,LIN_MT_CONF,head_by_SSL_interaction_vs_G0,-0.009409855462573002,0.0043685542043182535,-0.023188265129463925
11,RIM_ONE_r3,LIN_MT_PAS,head_by_SSL_interaction_vs_G0,-0.00439725171422245,0.0039327588179265405,-0.012727262246370774
11,Drishti_GS,LIN_SUP,old_SUP_G0,0.03066752983030685,0.02430968480807294,0.03702537485254054
11,Drishti_GS,LIN_MT_CONF,head_by_SSL_interaction_vs_G0,0.008845303739903554,0.026503596728362555,-0.008812989248555225
11,Drishti_GS,LIN_MT_PAS,head_by_SSL_interaction_vs_G0,-0.003586799047518463,0.016679388666519857,-0.023852986761556894
