epoch,domain,arm,seed,head_mode,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
100,Drishti_GS,LIN_MT_CONF,11,raw_linear3_same_geometry,student,25,25,0.9847867650927006,0.6883221615402875,0.7457558411944365,0.7170390013673618,0.9847867650927006,0.6883221615402875,0.7457558411944365,0.7170390013673618
100,Drishti_GS,LIN_MT_PAS,11,raw_linear3_same_geometry,student,25,25,0.9833405611397698,0.6797373911492983,0.7477662093685775,0.713751800258938,0.9833405611397698,0.6797373911492983,0.7477662093685775,0.713751800258938
100,Drishti_GS,LIN_SUP,11,raw_linear3_same_geometry,student,25,25,0.9846564638020691,0.680344360902599,0.7556252507244265,0.7179848058135129,0.9846564638020691,0.680344360902599,0.7556252507244265,0.7179848058135129
100,RIM_ONE_r3,LIN_MT_CONF,11,raw_linear3_same_geometry,student,40,40,0.9884067051857915,0.7455938001372882,0.6700829117847695,0.7078383559610288,0.9884067051857915,0.7455938001372882,0.6700829117847695,0.7078383559610288
100,RIM_ONE_r3,LIN_MT_PAS,11,raw_linear3_same_geometry,student,40,40,0.9866489963931485,0.7463052944758685,0.683320551744152,0.7148129231100102,0.9866489963931485,0.7463052944758685,0.683320551744152,0.7148129231100102
100,RIM_ONE_r3,LIN_SUP,11,raw_linear3_same_geometry,student,40,40,0.9877813117246792,0.7424848462414511,0.688717555161561,0.7156012007015061,0.9877813117246792,0.7424848462414511,0.688717555161561,0.7156012007015061
100,Drishti_GS,LIN_SUP,21,raw_linear3_same_geometry,student,25,25,0.9822189850162145,0.6629104582367435,0.7702467840087792,0.7165786211227614,0.9822189850162145,0.6629104582367435,0.7702467840087792,0.7165786211227614
100,Drishti_GS,SUP_G1,21,official_normalized_gas,student,25,25,0.9819329515244997,0.5742012023551388,0.740107522187278,0.6571543622712085,0.9819329515244997,0.5742012023551388,0.740107522187278,0.6571543622712085
100,RIM_ONE_r3,LIN_SUP,21,raw_linear3_same_geometry,student,40,40,0.9883563911310398,0.7450813247529864,0.6700084832764277,0.707544904014707,0.9883563911310398,0.7450813247529864,0.6700084832764277,0.707544904014707
100,RIM_ONE_r3,SUP_G1,21,official_normalized_gas,student,40,40,0.9879252918441914,0.7398998599034874,0.6412497245021315,0.6905747922028094,0.9879252918441914,0.7398998599034874,0.6412497245021315,0.6905747922028094
100,Drishti_GS,LIN_SUP,22,raw_linear3_same_geometry,student,25,25,0.9870690216348978,0.6919164957999366,0.7327640180084448,0.7123402569041909,0.9870690216348978,0.6919164957999366,0.7327640180084448,0.7123402569041909
100,Drishti_GS,SUP_G1,22,official_normalized_gas,student,25,25,0.9874029868982162,0.6613677992950993,0.743706134433494,0.7025369668642967,0.9874029868982162,0.6613677992950993,0.743706134433494,0.7025369668642967
100,RIM_ONE_r3,LIN_SUP,22,raw_linear3_same_geometry,student,40,40,0.9880723630142612,0.7379696251285349,0.6247018783939053,0.6813357517612201,0.9880723630142612,0.7379696251285349,0.6247018783939053,0.6813357517612201
100,RIM_ONE_r3,SUP_G1,22,official_normalized_gas,student,40,40,0.9876479242438568,0.7334436608994512,0.657048336224841,0.6952459985621462,0.9876479242438568,0.7334436608994512,0.657048336224841,0.6952459985621462
