seed,arm,reference,Q,reference_Q,Q_delta,delta,class_delta
21,LIN_SUP,SUP_G1,0.7120617625687342,0.6738645772370089,0.038197185331725336,"[0.01697011181189767, 0.05942425885155289]","[0.005181464849498996, 0.028758758774296234, 0.08870925588160472, 0.030139261821501173]"
22,LIN_SUP,SUP_G1,0.6968380043327055,0.6988914827132214,-0.0020534783805159496,"[-0.013910246800926118, 0.009803290039894219]","[0.00452596422908369, -0.032346457830935704, 0.03054869650483738, -0.010942116425049164]"
