policy,status,retained_rows,excluded_rows,patients,denominator,macro_fg_dice,gain_macro_fg
current,NOT_EVALUATED_GT_UNREAD,,,,,,
frozen_Ridge_hard,NOT_EVALUATED_GT_UNREAD,,,,,,
frozen_SHOR,NOT_EVALUATED_GT_UNREAD,,,,,,
frozen_PPC_C6,NOT_EVALUATED_GT_UNREAD,,,,,,
O_CAP_lambda050,NOT_EVALUATED_GT_UNREAD,,,,,,
O_CAP_lambda075,NOT_EVALUATED_GT_UNREAD,,,,,,
O_CAP_envelope,NOT_EVALUATED_GT_UNREAD,,,,,,
O_SAFE0_lambda050,NOT_EVALUATED_GT_UNREAD,,,,,,
O_SAFE0_lambda075,NOT_EVALUATED_GT_UNREAD,,,,,,
O_SAFE0_envelope,NOT_EVALUATED_GT_UNREAD,,,,,,
O_NO_AREA_lambda050,NOT_EVALUATED_GT_UNREAD,,,,,,
O_NO_AREA_lambda075,NOT_EVALUATED_GT_UNREAD,,,,,,
O_NO_AREA_envelope,NOT_EVALUATED_GT_UNREAD,,,,,,
O_FREE_SUBSET_lambda050,NOT_EVALUATED_GT_UNREAD,,,,,,
O_FREE_SUBSET_lambda075,NOT_EVALUATED_GT_UNREAD,,,,,,
O_FREE_SUBSET_envelope,NOT_EVALUATED_GT_UNREAD,,,,,,
