policy,level,status,rows_scored,macro_fg_dice,gain_macro_fg,gain_rim,gain_cup,harm,reason
current,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
current,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
frozen_Ridge_hard,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
frozen_Ridge_hard,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
frozen_SHOR,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
frozen_SHOR,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
frozen_PPC_C6,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
frozen_PPC_C6,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_CAP_lambda050,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_CAP_lambda050,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_CAP_lambda075,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_CAP_lambda075,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_CAP_envelope,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_CAP_envelope,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_SAFE0_lambda050,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_SAFE0_lambda050,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_SAFE0_lambda075,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_SAFE0_lambda075,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_SAFE0_envelope,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_SAFE0_envelope,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_NO_AREA_lambda050,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_NO_AREA_lambda050,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_NO_AREA_lambda075,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_NO_AREA_lambda075,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_NO_AREA_envelope,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_NO_AREA_envelope,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_FREE_SUBSET_lambda050,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_FREE_SUBSET_lambda050,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_FREE_SUBSET_lambda075,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_FREE_SUBSET_lambda075,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_FREE_SUBSET_envelope,overall,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
O_FREE_SUBSET_envelope,historical,NOT_EVALUATED_EXECUTOR_STOP,0,,,,,,frozen executor omitted h5/v1 asset prefix
