phase,measure,max,mean,min,total,GT_used
BLIND_SEALED,foreground_area_rejected,6594,366.45454545454544,0,72558,False
BLIND_SEALED,free_actions,8191,804.2020202020202,1,159232,False
BLIND_SEALED,image_area_rejected,6656,326.7979797979798,0,64706,False
BLIND_SEALED,no_area_actions,1083,133.2020202020202,1,26374,False
BLIND_SEALED,proposals,12,4.792929292929293,0,949,False
BLIND_SEALED,quantity_rejected,7594,671.0,0,132858,False
BLIND_SEALED,strict_actions,597,79.77777777777777,1,15796,False
