variant,eval_step,perturbation_l2_ratio,sensitivity_p10,sensitivity_p50,sensitivity_p90,noise_scale_p10,noise_scale_p50,noise_scale_p90,sensitivity_cosine,a5_a4_noise_scale_l1,classifier_angular_drift,gradient_cosine_ssl_stable
A1,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.03555034473538399
A1,100,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.3244357705116272
A1,150,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.01775803044438362
A1,200,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.037741776555776596
A1,250,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.23789982497692108
A1,300,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.17199553549289703
A1,350,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.055346716195344925
A1,400,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.20775185525417328
A1,450,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.2462231069803238
A1,500,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.09317126125097275
A1,550,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.3745792806148529
A1,600,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.2168065309524536
A1,650,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.031687311828136444
A1,700,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.024697549641132355
A1,750,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.2583475708961487
A1,800,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.09219789505004883
A1,850,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.0848298892378807
A1,900,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.15104424953460693
A1,950,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,-0.6729931235313416
A1,1000,0.0,0.0,0.0,0.0,1.0,1.0,1.0,unavailable,unavailable,unavailable,0.2729859948158264
A2,50,2.5391693115234375,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.02879023179411888,-0.03868968412280083
A2,100,2.4800772666931152,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.03850831463932991,-0.3258516490459442
A2,150,2.17765212059021,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.07016734778881073,0.3706277012825012
A2,200,2.0566365718841553,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.10574730485677719,0.028084859251976013
A2,250,2.3602099418640137,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.13647980988025665,0.17709201574325562
A2,300,2.2954280376434326,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.15450163185596466,-0.11239252239465714
A2,350,1.8887425661087036,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.17704299092292786,0.03885146230459213
A2,400,2.0436275005340576,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.19075021147727966,0.05712655559182167
A2,450,2.1266281604766846,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.19780389964580536,-0.22379305958747864
A2,500,1.9611461162567139,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.21107283234596252,-0.1430436372756958
A2,550,1.8393547534942627,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.22144262492656708,0.17772606015205383
A2,600,1.9864754676818848,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.23232655227184296,-0.20584824681282043
A2,650,2.113731861114502,1.0,1.0,1.0,1.0,1.0,1.0,unavailable,unavailable,0.23664692044258118,-0.023976901546120644
