arm,metric,training_seeds,mean,sample_sd
S,F,3,0.5860177771677471,0.018240048568438905
S,H,3,0.5213275447265028,0.026399643834390373
S,N,3,0.7071699781759472,0.002745981521441357
L05,F,3,0.5860422234464353,0.0304005598925754
L05,H,3,0.514731631224814,0.04498837117433004
L05,N,3,0.7192607535863759,0.002770485572210708
