optimization_seed,data_split_seed,arm,stage,domain,rim_dice,cup_dice,macro_fg_dice
0,0,L10,2,RIM_ONE_r3,0.3429176468212764,0.5040521106684117,0.4234848787448441
0,0,L10,2,Drishti_GS,0.6646410515181057,0.7463774051748652,0.7055092283464856
0,0,E_R1,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
0,0,E_R1,1,REFUGE,0.7180807261508952,0.7357076901759114,0.7268942081634034
0,0,E_R1,1,RIM_ONE_r3,0.756034941167339,0.7083739930644408,0.7322044671158899
0,0,E_R1,2,REFUGE,0.8156503001927645,0.7629977724710604,0.7893240363319124
0,0,E_R1,2,RIM_ONE_r3,0.6460912731065418,0.5912860431332552,0.6186886581198985
0,0,E_R1,2,Drishti_GS,0.7016228108397238,0.6045797803073847,0.6531012955735542
0,0,L05_SSL,0,REFUGE,0.8511931220934172,0.8345808742832146,0.8428869981883159
0,0,L05_SSL,1,REFUGE,0.6789051331951002,0.7015112701673454,0.6902082016812229
0,0,L05_SSL,1,RIM_ONE_r3,0.7394829208270697,0.661703785595488,0.7005933532112788
0,0,L05_SSL,2,REFUGE,0.5669846603075047,0.582936472545108,0.5749605664263063
0,0,L05_SSL,2,RIM_ONE_r3,0.31073289691734984,0.4495258838950619,0.3801293904062059
0,0,L05_SSL,2,Drishti_GS,0.653478188308697,0.7464425839862617,0.6999603861474794
1,0,S,0,REFUGE,0.8440691577512475,0.8360202470364313,0.8400447023938392
1,0,S,1,REFUGE,0.6379134701012106,0.7267722177726162,0.6823428439369131
1,0,S,1,RIM_ONE_r3,0.7385423776911312,0.6675200663292543,0.7030312220101929
1,0,S,2,REFUGE,0.5340139338319989,0.5943438385227203,0.5641788861773595
1,0,S,2,RIM_ONE_r3,0.35212813102370477,0.4916194859461179,0.4218738084849113
1,0,S,2,Drishti_GS,0.6762594890771563,0.7584837333026923,0.7173716111899242
1,0,L05,0,REFUGE,0.8440691577512475,0.8360202470364313,0.8400447023938392
1,0,L05,1,REFUGE,0.5990788353901985,0.7510158752121134,0.6750473553011558
1,0,L05,1,RIM_ONE_r3,0.738680950294426,0.6735319384170418,0.7061064443557339
1,0,L05,2,REFUGE,0.5081317466877865,0.6085199535304826,0.5583258501091345
1,0,L05,2,RIM_ONE_r3,0.3626235027653596,0.5082943484827844,0.435458925624072
1,0,L05,2,Drishti_GS,0.6953116788944615,0.7667882113813608,0.7310499451379111
2,0,S,0,REFUGE,0.8471325728022565,0.8301286171088761,0.8386305949555662
2,0,S,1,REFUGE,0.5861471967501122,0.7626222267394056,0.6743847117447589
2,0,S,1,RIM_ONE_r3,0.7323926294092054,0.6488664285150942,0.6906295289621498
2,0,S,2,REFUGE,0.571173404080537,0.6172496686601296,0.5942115363703334
2,0,S,2,RIM_ONE_r3,0.43770368475806426,0.5550231176493635,0.4963634012037139
2,0,S,2,Drishti_GS,0.6994881739562513,0.7450902395398746,0.7222892067480631
2,0,L05,0,REFUGE,0.8471325728022565,0.8301286171088761,0.8386305949555662
2,0,L05,1,REFUGE,0.5771395666394632,0.7447456969688472,0.6609426318041551
2,0,L05,1,RIM_ONE_r3,0.7325106714321519,0.6841692850859455,0.7083399782590487
2,0,L05,2,REFUGE,0.5015457800182831,0.5853668091775568,0.54345629459792
2,0,L05,2,RIM_ONE_r3,0.3351483443088578,0.503534038729921,0.4193411915193893
2,0,L05,2,Drishti_GS,0.7039527975614144,0.7469486145293857,0.7254507060454002
