contrast,optimization_seed,arm,F,H,N,BWT,forgetting_REFUGE,forgetting_RIM_ONE_r3,method,reference
observed_recipe,0,A,0.5736706332027276,0.5030461913641976,0.7092917390243,-0.2702292883143665,0.19738417470129876,0.3430744019274342,,
observed_recipe,0,B,0.5037300206388923,0.4173759005126293,0.692086118385949,-0.3579345865217687,0.2819032947416882,0.43396587830184913,,
observed_recipe,0,C,0.6841841753116258,0.747438541605074,0.6300160947804921,-0.025183330907211365,0.042937732547052576,0.007428929267370155,,
observed_recipe,0,D,0.7180894352350142,0.7425906452093483,0.6989107887586496,-0.043220135000286375,0.02908919710650104,0.05735107289407171,,
observed_recipe,0,E_R1,0.6870379966751218,0.7040063472259055,0.6926528813447221,-0.08353938542619749,0.053562961856403524,0.11351580899599145,,
observed_recipe,0,L05,0.6204323659946968,0.5659037627491841,0.7223087238600807,-0.21310367396219365,0.19843294818332158,0.22777439974106573,,
observed_recipe,0,L05_SSL,0.5516834476599972,0.4775449784162561,0.7002768696793791,-0.29419519728354127,0.2679264317620096,0.3204639628050729,,
observed_recipe,0,L10,0.5713016507138146,0.5041978618974792,0.7097162091926799,-0.27420723221611587,0.25797615313820166,0.2904383112940301,,
observed_recipe,0,S,0.5859571814451394,0.5256688180613494,0.7048491500726766,-0.2473568769991254,0.21588950951863695,0.27882424447961385,,
observed_recipe,0,U0,0.6767841201140984,0.6982579005084981,0.6774460147485278,-0.08371333367153799,0.1075314234925826,0.059895243850493385,,
CE_without_U_KD,,,-0.06874891833469954,-0.08835878433292799,-0.022031854180701638,,,,L05_SSL,L05
CE_with_U_KD,,,0.04130531512091584,0.044332744700850135,0.021464774010121812,,,,D,U0
U_KD_with_CE,,,0.166405987575017,0.26504566679309216,-0.0013660809207294289,,,,D,L05_SSL
interaction,,,0.11005423345561538,0.13269152903377812,0.04349662819082345,,,,,
