optimization_seed,arm,reference,stage,rim,cup,macro,rim_difference,cup_difference,macro_difference
0,L05,S,1,0.738359053794704,0.691896696674175,0.7151278752344394,0.00631823615919791,0.01760873044441369,0.011963483301805744
0,L05,S,2,0.6942557296970671,0.7647234152743764,0.7294895724857219,0.02690321117981842,0.019008117366186128,0.02295566427300244
1,L05,S,1,0.738680950294426,0.6735319384170418,0.7061064443557339,0.00013857260329486198,0.006011872087787529,0.003075222345541029
1,L05,S,2,0.6953116788944615,0.7667882113813608,0.7310499451379111,0.019052189817305276,0.00830447807866852,0.013678333947986898
2,L05,S,1,0.7325106714321519,0.6841692850859455,0.7083399782590487,0.00011804202294651844,0.035302856570851304,0.01771044929689891
2,L05,S,2,0.7039527975614144,0.7469486145293857,0.7254507060454002,0.004464623605163087,0.0018583749895110246,0.0031614992973371114
0,L05_SSL,S,1,0.7394829208270697,0.661703785595488,0.7005933532112788,0.007442103191563576,-0.012584180634273245,-0.00257103872135489
0,L05_SSL,S,2,0.653478188308697,0.7464425839862617,0.6999603861474794,-0.013874330208551666,0.0007272860780714874,-0.006573522065240089
0,L05_SSL,L05,1,0.7394829208270697,0.661703785595488,0.7005933532112788,0.0011238670323656663,-0.030192911078686935,-0.014534522023160634
0,L05_SSL,L05,2,0.653478188308697,0.7464425839862617,0.6999603861474794,-0.04077754138837009,-0.01828083128811464,-0.02952918633824253
