optimization_seed,arm,F,H,N,BWT,forgetting_REFUGE,forgetting_RIM_ONE_r3
0,A,0.5736706332027276,0.5030461913641976,0.7092917390243,-0.2702292883143665,0.19738417470129876,0.3430744019274342
0,B,0.5037300206388923,0.4173759005126293,0.692086118385949,-0.3579345865217687,0.2819032947416882,0.43396587830184913
0,C,0.6841841753116258,0.747438541605074,0.6300160947804921,-0.025183330907211365,0.042937732547052576,0.007428929267370155
0,D,0.7180894352350142,0.7425906452093483,0.6989107887586496,-0.043220135000286375,0.02908919710650104,0.05735107289407171
0,E_R1,0.6870379966751218,0.7040063472259055,0.6926528813447221,-0.08353938542619749,0.053562961856403524,0.11351580899599145
0,L05,0.6204323659946968,0.5659037627491841,0.7223087238600807,-0.21310367396219365,0.19843294818332158,0.22777439974106573
0,L05_SSL,0.5516834476599972,0.4775449784162561,0.7002768696793791,-0.29419519728354127,0.2679264317620096,0.3204639628050729
0,L10,0.5713016507138146,0.5041978618974792,0.7097162091926799,-0.27420723221611587,0.25797615313820166,0.2904383112940301
0,S,0.5859571814451394,0.5256688180613494,0.7048491500726766,-0.2473568769991254,0.21588950951863695,0.27882424447961385
0,U0,0.6767841201140984,0.6982579005084981,0.6774460147485278,-0.08371333367153799,0.1075314234925826,0.059895243850493385
1,L05,0.5749449069570393,0.4968923878666033,0.7185781947468225,-0.2761831855081833,0.2817188522847047,0.2706475187316619
1,S,0.5678081019507316,0.4930263473311354,0.7102014166000585,-0.27851161487088066,0.27586581621647976,0.28115741352528156
2,L05,0.5627493973875698,0.48139874305865465,0.7168953421522244,-0.2920865435486528,0.29517430035764625,0.2889987867396594
2,S,0.6042880481073701,0.5452874687870237,0.7064593678551064,-0.21934259317183435,0.24441905858523283,0.19426612775843588
