scope,class_id,is_background,pixel_count,old_accuracy,nonfinite_count,hidden_gt_usage,static_kl,static_top1_agreement,static_margin_agreement,static_accuracy,static_margin,static_entropy,global_kl,global_top1_agreement,global_margin_agreement,global_accuracy,global_margin,global_entropy,class_kl,class_top1_agreement,class_margin_agreement,class_accuracy,class_margin,class_entropy,class_kl_reduction_fraction_vs_static,class_top1_minus_static,class_margin_agreement_minus_static,seed,transition,old_site_id,current_site_id,old_margin,old_entropy,class_accuracy_minus_static,class_margin_minus_static
previous_fidelity,ALL,False,921600,0.9696647135416666,0,post_hoc_visible_previous_val_only,8.708737419976128,0.1042209201388889,0.9713095304701064,0.10303819444444444,0.9798411136203342,0.029200066261821322,7.109012993706597,0.09720486111111111,0.9606422381930881,0.09663845486111111,0.9681023661295572,0.05085366858376397,0.11437225739161173,0.9619140625,0.9655715603298611,0.9587380642361111,0.9706622611151802,0.04129789378907946,0.9868669530523145,0.8576931423611112,-0.005737970140245241,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
previous_fidelity,0,True,811026,0.989407244650603,0,post_hoc_visible_previous_val_only,9.747955097925344,0.010418901490211165,0.9927311184189841,0.0,0.9992217347417037,0.0035169951633463596,7.939427766495772,0.010441095599894454,0.9898584357768739,2.8359140150870626e-05,0.9958644253158961,0.01554690185009241,0.04470684405041519,0.9892913420778126,0.9881659205823857,0.9980987046037981,0.9924916864564145,0.015701845388925186,0.9954137207648884,0.9788724405876014,-0.004565197836598367,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
previous_fidelity,1,False,81062,0.8330043670277072,0,post_hoc_visible_previous_val_only,1.3037480380685655,0.7864967555698108,0.8142379004409819,0.8807085934223187,0.8495300899841711,0.20013523019453378,1.1859769687284116,0.7189435247094816,0.7247136457135048,0.8067775283116627,0.7531422150131805,0.3166756195236266,0.6936574399769814,0.7395943845451629,0.7873265120370827,0.6553995706989711,0.8012825029712982,0.2396039544649273,0.4679513067535668,-0.04690237102464789,-0.026911388403899172,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
previous_fidelity,2,False,29512,0.8024871238818108,0,post_hoc_visible_previous_val_only,0.4893907299853496,0.8079764163730008,0.8140542600884545,0.7985904039034969,0.8051691549067964,0.2654867433344778,0.5572803827700947,0.7738208186500407,0.8057811320328913,0.8010300894551369,0.7956077159986034,0.2909813030653447,0.4377134591462199,0.8202087286527514,0.834245048392656,0.7102534562211982,0.8360059329183097,0.20001216075645936,0.10559511587127267,0.012232312279750635,0.020190788304201512,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,,,,
current_safety,ALL,False,516096,0.9373818049355159,0,post_hoc_current_train_labeled_and_val_only,,,,0.07585216703869048,0.976959712921627,0.03275854625399151,,,,,,,,,,0.9674304780505952,0.9657818249293736,0.04791803563398028,,,,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.9791959732297867,0.02612132981183037,0.8915783110119048,-0.011177887992253388
current_safety,0,True,464612,0.9695143474555112,0,post_hoc_current_train_labeled_and_val_only,,,,0.00010976901156233589,0.9983442627598405,0.004829516397731888,,,,,,,,,,0.9884699491188347,0.9818665351075199,0.028413315405894125,,,,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.9883296733013246,0.01496738038650059,0.9883601801072723,-0.016477727652320584
current_safety,1,False,37210,0.5814565976887933,0,post_hoc_current_train_labeled_and_val_only,,,,0.7396936307444235,0.7664854825231793,0.30613435100913206,,,,,,,,,,0.7842515452835259,0.8076558392716172,0.24015612870062336,,,,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.8825779452243181,0.14385149001562605,0.044557914539102406,0.04117035674843794
current_safety,2,False,14274,0.8193218439120078,0,post_hoc_current_train_labeled_and_val_only,,,,0.8107047779178926,0.829575076697169,0.22918906097604527,,,,,,,,,,0.7601233011069076,0.8544414317689725,0.18165402401056513,,,,0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0.933765517741638,0.08227374534639004,-0.050581476810985015,0.02486635507180346
previous_fidelity,ALL,False,368640,0.9575005425347223,0,post_hoc_visible_previous_val_only,0.3785559309853448,0.9151068793402778,0.9632105085584852,0.9139105902777778,0.9737769338819716,0.040476088060273065,0.16061148113674587,0.9431939019097222,0.9416977034674751,0.9361300998263888,0.9482536315917969,0.06678998933898078,0.15411087539460924,0.9559488932291667,0.9559537569681803,0.9435085720486112,0.9696740680270725,0.04011362526151869,0.5928980032264363,0.04084201388888886,-0.007256751590304922,0,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,,,,
previous_fidelity,0,True,331166,0.9849108906107511,0,post_hoc_visible_previous_val_only,0.09358714141083607,0.9789320159678228,0.9814104982471027,0.9835097805934184,0.9858248134055126,0.02392443076381657,0.06336099350447312,0.9863723933012447,0.9818740473999444,0.9929793517450463,0.9902003628372931,0.01662758610612177,0.06892578540052186,0.9883019392087352,0.9825421590399528,0.9933537863186438,0.9942272979223411,0.00835957712645153,0.26351222655742723,0.009369923240912459,0.0011316607928500977,0,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,,,,
