seed,transition,old_site_id,current_site_id,class_id,is_background,transport_case_count,oracle_case_count,shrinkage,variance,signal,valid_transport,global_case_count,global_shrinkage,static_oracle_cosine,global_oracle_cosine,class_oracle_cosine,class_minus_static,class_minus_global,historical_anchor_equal,minimum_relation_pixels,hidden_gt_usage
0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0,True,16,100,0.9998539327071216,0.0049740769900381565,2.1280903816223145,True,16,0.9882422819681702,-0.08557983487844467,-0.05537969991564751,0.9994084239006042,1.0849882364273071,1.0547881126403809,True,32,post_hoc_previous_val_only
0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,1,False,16,100,0.9877985012129147,0.3651372492313385,1.8475301265716553,True,16,0.9882422819681702,0.5030982494354248,0.8648027181625366,0.8830832242965698,0.379984974861145,0.018280506134033203,True,32,post_hoc_previous_val_only
0,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,2,False,16,100,0.9820510095043469,0.31281641125679016,1.0697044134140015,True,16,0.9882422819681702,0.31531235575675964,0.7475932836532593,0.8881778120994568,0.5728654861450195,0.1405845284461975,True,32,post_hoc_previous_val_only
0,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,0,True,10,40,0.9969370377222326,0.007977242581546307,0.2596476078033447,True,10,0.9872697220364913,0.8444339036941528,0.7833534479141235,0.9968044757843018,0.15237057209014893,0.21345102787017822,True,32,post_hoc_previous_val_only
0,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,1,False,10,40,0.9834738099082688,0.2270662784576416,1.3512723445892334,True,10,0.9872697220364913,0.10777892917394638,0.5782777070999146,0.547581672668457,0.43980273604393005,-0.03069603443145752,True,32,post_hoc_previous_val_only
0,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,2,False,10,40,0.9838912552023963,0.4007858335971832,2.4479236602783203,True,10,0.9872697220364913,0.5476028919219971,0.8784878253936768,0.8421392440795898,0.2945363521575928,-0.036348581314086914,True,32,post_hoc_previous_val_only
1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,0,True,16,100,0.9999567695642168,0.0013330766232684255,1.9274311065673828,True,16,0.9818126965399723,0.051465753465890884,0.4627456068992615,0.9994661808013916,0.948000431060791,0.5367205739021301,True,32,post_hoc_previous_val_only
1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,1,False,16,100,0.9915597313531749,0.12060628831386566,0.8855501413345337,True,16,0.9818126965399723,0.2417728304862976,0.636002242565155,0.9186465740203857,0.6768737435340881,0.2826443314552307,True,32,post_hoc_previous_val_only
1,REFUGE->RIM_ONE_r3,REFUGE,RIM_ONE_r3,2,False,16,100,0.9688046731844557,0.5228407979011536,1.0148370265960693,True,16,0.9818126965399723,0.04153669625520706,0.17726705968379974,0.7970480918884277,0.7555114030838013,0.6197810173034668,True,32,post_hoc_previous_val_only
1,RIM_ONE_r3->Drishti_GS,RIM_ONE_r3,Drishti_GS,0,True,10,40,0.9999236183070901,0.00139044935349375,1.8203879594802856,True,10,0.9976336538531516,0.060034289956092834,0.09285181015729904,0.9987361431121826,0.938701868057251,0.905884325504303,True,32,post_hoc_previous_val_only
