protocol_id,seed,transition,update_batch,variant,class_id,region,margin_agreement_before,margin_agreement_after,margin_agreement_delta,margin_abs_error_after,metric_function,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X0,2,interior,0.8394034996510095,0.8399815261024935,0.0005780264514840816,0.16001847389750645,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,0,all,0.9880842600079781,0.988058405704382,-2.585430359614005e-05,0.01194159429561803,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,0,boundary,0.8314975591203475,0.8313983989330032,-9.916018734434928e-05,0.16860160106699684,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,0,interior,0.9910673158695831,0.9910428645932188,-2.4451276364301222e-05,0.008957135406781225,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,1,all,0.8027018820212352,0.8027787809405633,7.689891932816106e-05,0.19722121905943668,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,1,boundary,0.7485211104847956,0.7481772595131616,-0.0003438509716340299,0.2518227404868384,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,1,interior,0.8240149546477754,0.8242573334262544,0.00024237877847899103,0.1757426665737456,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,2,all,0.8127206869826048,0.8134837623751375,0.0007630753925327305,0.18651623762486247,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,2,boundary,0.7305873604513775,0.7306807633431481,9.3402891770622e-05,0.26931923665685187,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,1,X1,2,interior,0.8394034996510095,0.840384132897352,0.000980633246342566,0.15961586710264797,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,0,all,0.9880842600079781,0.9880342765211301,-4.998348684803755e-05,0.011965723478869927,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,0,boundary,0.8314975591203475,0.8314176792969151,-7.987982343238276e-05,0.16858232070308488,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,0,interior,0.9910673158695831,0.9910179126733404,-4.940319624269218e-05,0.008982087326659616,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,1,all,0.8027018820212352,0.8021292556452033,-0.0005726263760318373,0.19787074435479668,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,1,boundary,0.7485211104847956,0.7482423917084373,-0.0002787187763583221,0.2517576082915627,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,1,interior,0.8240149546477754,0.823326703817642,-0.0006882508301334633,0.17667329618235805,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,2,all,0.8127206869826048,0.8126163510304298,-0.00010433595217496094,0.18738364896957016,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,2,X0,2,boundary,0.7305873604513775,0.7301540529213946,-0.0004333075299829403,0.26984594707860543,scripts.audit_tarc_relation_fidelity._margin,post_hoc_visible_previous_val_only
