phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
P1,metrics.csv,100,Drishti_GS,SUP_CED,31,student,raw_linear3_same_geometry,25,25,0.9840229042158632,0.6683757449659322,0.7405563670795299,0.7044660560227309
P1,metrics.csv,100,Drishti_GS,SUP_CED,31,ema,raw_linear3_same_geometry,25,25,0.9839704022238658,0.6683037814260121,0.7411115451791876,0.7047076633025999
P1,metrics.csv,20,RIM_ONE_r3,MT_CED,31,student,raw_linear3_same_geometry,40,40,0.9852104653824231,0.6916637542421771,0.6262170540264407,0.6589404041343089
P1,metrics.csv,20,RIM_ONE_r3,MT_CED,31,ema,raw_linear3_same_geometry,40,40,0.9852728714359152,0.7030067205359797,0.6553604374929302,0.6791835790144549
P1,metrics.csv,40,RIM_ONE_r3,MT_CED,31,student,raw_linear3_same_geometry,40,40,0.9873516511549596,0.7300758589338651,0.6495560014545987,0.6898159301942319
P1,metrics.csv,40,RIM_ONE_r3,MT_CED,31,ema,raw_linear3_same_geometry,40,40,0.9871667963607227,0.7361025602423187,0.6710155366621965,0.7035590484522576
P1,metrics.csv,60,RIM_ONE_r3,MT_CED,31,student,raw_linear3_same_geometry,40,40,0.9851506261376347,0.7142129499102686,0.6493463141792672,0.6817796320447679
P1,metrics.csv,60,RIM_ONE_r3,MT_CED,31,ema,raw_linear3_same_geometry,40,40,0.9861841086468871,0.7255420673472449,0.6460653656733506,0.6858037165102978
P1,metrics.csv,80,RIM_ONE_r3,MT_CED,31,student,raw_linear3_same_geometry,40,40,0.9845981701732291,0.7196242730615945,0.6358327386305437,0.6777285058460689
P1,metrics.csv,80,RIM_ONE_r3,MT_CED,31,ema,raw_linear3_same_geometry,40,40,0.9850415433877032,0.7191484700051703,0.6359153223254651,0.6775318961653177
P1,metrics.csv,100,RIM_ONE_r3,MT_CED,31,student,raw_linear3_same_geometry,40,40,0.9834043370059284,0.7071815032719037,0.6205590617736972,0.6638702825228004
P1,metrics.csv,100,RIM_ONE_r3,MT_CED,31,ema,raw_linear3_same_geometry,40,40,0.983584211467924,0.7085082267553247,0.6221538482490271,0.6653310375021759
P1,metrics.csv,20,Drishti_GS,MT_CED,31,student,raw_linear3_same_geometry,25,25,0.9864814338459794,0.6739896668545416,0.7538498998574965,0.713919783356019
P1,metrics.csv,20,Drishti_GS,MT_CED,31,ema,raw_linear3_same_geometry,25,25,0.9867883550991623,0.6892913619057901,0.7652468884432061,0.7272691251744982
P1,metrics.csv,40,Drishti_GS,MT_CED,31,student,raw_linear3_same_geometry,25,25,0.9868548834744137,0.6619732475416471,0.7468299992832667,0.7044016234124569
P1,metrics.csv,40,Drishti_GS,MT_CED,31,ema,raw_linear3_same_geometry,25,25,0.9873359165760902,0.685102429627079,0.7501561195197644,0.7176292745734216
P1,metrics.csv,60,Drishti_GS,MT_CED,31,student,raw_linear3_same_geometry,25,25,0.9865200358374192,0.688745234163577,0.7479721441618361,0.7183586891627065
P1,metrics.csv,60,Drishti_GS,MT_CED,31,ema,raw_linear3_same_geometry,25,25,0.9865530297347295,0.6809736443726878,0.7520238870540417,0.7164987657133648
P1,metrics.csv,80,Drishti_GS,MT_CED,31,student,raw_linear3_same_geometry,25,25,0.984753413935839,0.6706143549514141,0.749749766893737,0.7101820609225755
P1,metrics.csv,80,Drishti_GS,MT_CED,31,ema,raw_linear3_same_geometry,25,25,0.9851702630579365,0.6732392194124263,0.7511059573305532,0.7121725883714898
P1,metrics.csv,100,Drishti_GS,MT_CED,31,student,raw_linear3_same_geometry,25,25,0.9831298390307356,0.6550812123411514,0.7500399594996128,0.7025605859203822
P1,metrics.csv,100,Drishti_GS,MT_CED,31,ema,raw_linear3_same_geometry,25,25,0.9834180153454893,0.659075108035545,0.7507182265839014,0.7048966673097233
P1,metrics.csv,20,RIM_ONE_r3,MIX_CTX,31,student,raw_linear3_same_geometry,40,40,0.9852104653824231,0.6916637542421771,0.6262170540264407,0.6589404041343089
P1,metrics.csv,20,RIM_ONE_r3,MIX_CTX,31,ema,raw_linear3_same_geometry,40,40,0.9852728714359152,0.7030067205359797,0.6553604374929302,0.6791835790144549
