phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
P0_HISTORICAL,,100,Drishti_GS,SUP_CE,33,student,raw_linear3_same_geometry,25,25,0.9843591987168139,0.6418222032710422,0.743286671690053,0.6925544374805475,0.9843591987168139,0.6418222032710422,0.743286671690053,0.6925544374805475
P0_HISTORICAL,,100,RIM_ONE_r3,SUP_CE,33,student,raw_linear3_same_geometry,40,40,0.9871042677237281,0.7271969802821052,0.6345446684895206,0.6808708243858128,0.9871042677237281,0.7271969802821052,0.6345446684895206,0.6808708243858128
P2,metrics.csv,100,RIM_ONE_r3,SUP_CE,41,student,raw_linear3_same_geometry,40,40,0.9895955749519938,0.7403109166943578,0.660788494709785,0.7005497057020713,,,,
P2,metrics.csv,100,Drishti_GS,SUP_CE,41,student,raw_linear3_same_geometry,25,25,0.9801473106555995,0.6182998050152825,0.7539049240303112,0.6861023645227968,,,,
P2,metrics.csv,100,RIM_ONE_r3,SUP_CED,41,student,raw_linear3_same_geometry,40,40,0.984395689173118,0.7046035151737993,0.6585528270757074,0.6815781711247533,,,,
P2,metrics.csv,100,Drishti_GS,SUP_CED,41,student,raw_linear3_same_geometry,25,25,0.9798603836395049,0.6046087103464687,0.7216603149677825,0.6631345126571255,,,,
P2,metrics.csv,100,RIM_ONE_r3,MIX_CTX,41,student,raw_linear3_same_geometry,40,40,0.9894458977712732,0.7407324712886181,0.7039298715868871,0.7223311714377527,,,,
P2,metrics.csv,100,Drishti_GS,MIX_CTX,41,student,raw_linear3_same_geometry,25,25,0.9876543323922757,0.7076371808053085,0.7357498632603326,0.7216935220328206,,,,
P2,metrics.csv,100,RIM_ONE_r3,MIX_CED,41,student,raw_linear3_same_geometry,40,40,0.9893514319601634,0.7500909550759738,0.7044944453946316,0.7272927002353027,,,,
P2,metrics.csv,100,Drishti_GS,MIX_CED,41,student,raw_linear3_same_geometry,25,25,0.988291533452971,0.7147905995129977,0.7321335942138676,0.7234620968634325,,,,
P2,metrics.csv,100,RIM_ONE_r3,SUP_CE,42,student,raw_linear3_same_geometry,40,40,0.9881861423953119,0.74364882055945,0.6743259385431734,0.7089873795513116,,,,
P2,metrics.csv,100,Drishti_GS,SUP_CE,42,student,raw_linear3_same_geometry,25,25,0.9834611867179497,0.6246257348370059,0.7618328080088662,0.6932292714229361,,,,
P2,metrics.csv,100,RIM_ONE_r3,SUP_CED,42,student,raw_linear3_same_geometry,40,40,0.9868532730878574,0.7230336171946832,0.6737768593893644,0.6984052382920238,,,,
P2,metrics.csv,100,Drishti_GS,SUP_CED,42,student,raw_linear3_same_geometry,25,25,0.982650633023134,0.6581772220093376,0.7506244933535963,0.7044008576814672,,,,
P2,metrics.csv,100,RIM_ONE_r3,MIX_CTX,42,student,raw_linear3_same_geometry,40,40,0.9884134976838279,0.7263812990689074,0.7071978978416862,0.7167895984552967,,,,
P2,metrics.csv,100,Drishti_GS,MIX_CTX,42,student,raw_linear3_same_geometry,25,25,0.9874301051198858,0.7364862538532093,0.7617301306354376,0.7491081922443235,,,,
P2,metrics.csv,100,RIM_ONE_r3,MIX_CED,42,student,raw_linear3_same_geometry,40,40,0.9894003923494015,0.7450064260870908,0.7268045581826874,0.7359054921348892,,,,
P2,metrics.csv,100,Drishti_GS,MIX_CED,42,student,raw_linear3_same_geometry,25,25,0.9880059556617508,0.7345778299492519,0.7617714192601605,0.7481746246047064,,,,
