phase,arm,baseline,seed,domain,metric,delta,flag
P1,MT_CED,SUP_CED,33,Drishti_GS,macro_fg_dice,-0.04000573915149275,
P1,MT_CED,SUP_CED,33,Drishti_GS,rim_dice,-0.07276090651024969,AMBER_CLASS_COST
P1,MT_CED,SUP_CED,33,Drishti_GS,cup_dice,-0.007250571792736138,
P1,MIX_CTX,SUP_CED,31,RIM_ONE_r3,macro_fg_dice,0.040194746581125984,
P1,MIX_CTX,SUP_CED,31,RIM_ONE_r3,rim_dice,0.019068726415485737,
P1,MIX_CTX,SUP_CED,31,RIM_ONE_r3,cup_dice,0.06132076674676601,
P1,MIX_CTX,SUP_CED,31,Drishti_GS,macro_fg_dice,0.024754011533162257,
P1,MIX_CTX,SUP_CED,31,Drishti_GS,rim_dice,0.04066448057030614,
P1,MIX_CTX,SUP_CED,31,Drishti_GS,cup_dice,0.008843542496018486,
P1,MIX_CTX,SUP_CED,32,RIM_ONE_r3,macro_fg_dice,0.037724902553608275,
P1,MIX_CTX,SUP_CED,32,RIM_ONE_r3,rim_dice,0.02023916947688653,
P1,MIX_CTX,SUP_CED,32,RIM_ONE_r3,cup_dice,0.05521063563033024,
P1,MIX_CTX,SUP_CED,32,Drishti_GS,macro_fg_dice,0.004457090448581225,
P1,MIX_CTX,SUP_CED,32,Drishti_GS,rim_dice,-0.0008386924649977923,
P1,MIX_CTX,SUP_CED,32,Drishti_GS,cup_dice,0.009752873362160464,
P1,MIX_CTX,SUP_CED,33,RIM_ONE_r3,macro_fg_dice,0.05431730129114065,
P1,MIX_CTX,SUP_CED,33,RIM_ONE_r3,rim_dice,0.03365557475887859,
P1,MIX_CTX,SUP_CED,33,RIM_ONE_r3,cup_dice,0.0749790278234026,
P1,MIX_CTX,SUP_CED,33,Drishti_GS,macro_fg_dice,0.023834800234156295,
P1,MIX_CTX,SUP_CED,33,Drishti_GS,rim_dice,0.02770059617706211,
P1,MIX_CTX,SUP_CED,33,Drishti_GS,cup_dice,0.01996900429125026,
P1,MIX_CED,MIX_CTX,31,RIM_ONE_r3,macro_fg_dice,0.005782618230786296,
P1,MIX_CED,MIX_CTX,31,RIM_ONE_r3,rim_dice,0.00884810691820992,
P1,MIX_CED,MIX_CTX,31,RIM_ONE_r3,cup_dice,0.002717129543362784,
P1,MIX_CED,MIX_CTX,31,Drishti_GS,macro_fg_dice,-0.004286565881061022,
P1,MIX_CED,MIX_CTX,31,Drishti_GS,rim_dice,0.0035501429672132323,
P1,MIX_CED,MIX_CTX,31,Drishti_GS,cup_dice,-0.012123274729335942,
P1,MIX_CED,MIX_CTX,32,RIM_ONE_r3,macro_fg_dice,0.009396402917068003,
P1,MIX_CED,MIX_CTX,32,RIM_ONE_r3,rim_dice,0.011690875255182753,
P1,MIX_CED,MIX_CTX,32,RIM_ONE_r3,cup_dice,0.007101930578953364,
P1,MIX_CED,MIX_CTX,32,Drishti_GS,macro_fg_dice,0.015998372068301014,
P1,MIX_CED,MIX_CTX,32,Drishti_GS,rim_dice,0.03141124463847367,
P1,MIX_CED,MIX_CTX,32,Drishti_GS,cup_dice,0.0005854994981283612,
P1,MIX_CED,MIX_CTX,33,RIM_ONE_r3,macro_fg_dice,-0.016350261464787574,
P1,MIX_CED,MIX_CTX,33,RIM_ONE_r3,rim_dice,-0.01640555845946856,
P1,MIX_CED,MIX_CTX,33,RIM_ONE_r3,cup_dice,-0.016294964470106588,
P1,MIX_CED,MIX_CTX,33,Drishti_GS,macro_fg_dice,0.023277093013831518,
P1,MIX_CED,MIX_CTX,33,Drishti_GS,rim_dice,0.019548374301120552,
P1,MIX_CED,MIX_CTX,33,Drishti_GS,cup_dice,0.027005811726542372,
P1,MIX_CED,MT_CED,31,RIM_ONE_r3,macro_fg_dice,0.06249759531784693,
P1,MIX_CED,MT_CED,31,RIM_ONE_r3,rim_dice,0.043799640895136216,
P1,MIX_CED,MT_CED,31,RIM_ONE_r3,cup_dice,0.08119554974055754,
P1,MIX_CED,MT_CED,31,Drishti_GS,macro_fg_dice,0.022372915754449996,
P1,MIX_CED,MT_CED,31,Drishti_GS,rim_dice,0.057509156162300235,
P1,MIX_CED,MT_CED,31,Drishti_GS,cup_dice,-0.012763324653400354,
P1,MIX_CED,MT_CED,32,RIM_ONE_r3,macro_fg_dice,0.0622203758491241,
P1,MIX_CED,MT_CED,32,RIM_ONE_r3,rim_dice,0.04352295919139548,
P1,MIX_CED,MT_CED,32,RIM_ONE_r3,cup_dice,0.08091779250685271,
P1,MIX_CED,MT_CED,32,Drishti_GS,macro_fg_dice,0.0037307331196514415,
P1,MIX_CED,MT_CED,32,Drishti_GS,rim_dice,0.013166072241155513,
P1,MIX_CED,MT_CED,32,Drishti_GS,cup_dice,-0.00570460600185263,
P1,MIX_CED,MT_CED,33,RIM_ONE_r3,macro_fg_dice,0.014073590163346972,
