phase,seed,domain,arm,model,epochs,mean,sample_SD,range,values,meaning
P1,31,Drishti_GS,MIX_CED,ema,60/80/100,0.7352114704967578,0.006247966712218,0.011720797073321854,"[0.73982116029721, 0.7377128879691753, 0.7281003632238882]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,MIX_CED,student,60/80/100,0.7342773147119394,0.011817925236849334,0.0226286879957196,"[0.7475621896705518, 0.730336252790434, 0.7249335016748322]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,MIX_CTX,ema,60/80/100,0.7394381821936976,0.008228191086015794,0.01485379102784079,"[0.7448202181710158, 0.743527901266902, 0.7299664271431751]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,MIX_CTX,student,60/80/100,0.7371307623523712,0.013092056256825463,0.023022547826392792,"[0.752242615382286, 0.7299296041189343, 0.7292200675558932]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,MT_CED,ema,60/80/100,0.7111893404648593,0.005863211933434168,0.011602098403641459,"[0.7164987657133648, 0.7121725883714898, 0.7048966673097233]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,MT_CED,student,60/80/100,0.7103671120018881,0.00790067715074162,0.015798103242324335,"[0.7183586891627065, 0.7101820609225755, 0.7025605859203822]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,SUP_CED,ema,60/80/100,0.7076852305216462,0.002724205566299698,0.005344909909965723,"[0.7100525732125657, 0.7082954550497732, 0.7047076633025999]","within one trajectory, not three independent trained models"
P1,31,Drishti_GS,SUP_CED,student,60/80/100,0.7055386883314193,0.0009432696140424179,0.0017728158256894444,"[0.7059111371231066, 0.7062388718484204, 0.7044660560227309]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,MIX_CED,ema,60/80/100,0.7311790097389734,0.0031468294050675523,0.005850515749603491,"[0.7325183636481442, 0.7334345906591898, 0.7275840749095863]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,MIX_CED,student,60/80/100,0.7262849560071686,0.0032525941308429633,0.006503602557703991,"[0.7294952963692811, 0.7229916938115771, 0.7263678778406474]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,MIX_CTX,ema,60/80/100,0.7245492054800261,0.002339205744505438,0.004211458586684258,"[0.7257255204368797, 0.7260667772949414, 0.7218553187082571]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,MIX_CTX,student,60/80/100,0.7270765766726837,0.0059667355250480995,0.011736734309254815,"[0.7323219939191159, 0.7283224764890741, 0.7205852596098611]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,MT_CED,ema,60/80/100,0.6762222167259305,0.010298984979980497,0.020472679008121886,"[0.6858037165102978, 0.6775318961653177, 0.6653310375021759]","within one trajectory, not three independent trained models"
P1,31,RIM_ONE_r3,MT_CED,student,60/80/100,0.6744594734712124,0.009391545643603812,0.017909349521967433,"[0.6817796320447679, 0.6777285058460689, 0.6638702825228004]","within one trajectory, not three independent trained models"
