phase,arm,mean,median,sample_SD,minimum,maximum,seeds,values
P1,SUP_CE,0.6897904737330601,0.6867126309331801,0.016347886548057702,0.6752002737259741,0.7074585165400262,"[31, 32, 33]","[0.7074585165400262, 0.6752002737259741, 0.6867126309331801]"
P1,SUP_CED,0.6931164856451318,0.692428284525733,0.0038604955679515975,0.6896463745635326,0.6972747978461298,"[31, 32, 33]","[0.692428284525733, 0.6972747978461298, 0.6896463745635326]"
P1,MT_CED,0.6876310971321339,0.6832154342215913,0.00909200696060965,0.6815902298192893,0.6980876273555212,"[31, 32, 33]","[0.6832154342215913, 0.6980876273555212, 0.6815902298192893]"
P1,MIX_CTX,0.7239969610854277,0.7249026635828771,0.005237382368033233,0.7183657943472246,0.7287224253261811,"[31, 32, 33]","[0.7249026635828771, 0.7183657943472246, 0.7287224253261811]"
P1,MIX_CED,0.7296332375661173,0.731063181839909,0.003494367788094374,0.7256506897577397,0.7321858411007032,"[31, 32, 33]","[0.7256506897577397, 0.731063181839909, 0.7321858411007032]"
P2,SUP_CE,0.697217180299779,0.697217180299779,0.0055029102971059585,0.6933260351124341,0.7011083254871239,"[41, 42]","[0.6933260351124341, 0.7011083254871239]"
P2,SUP_CED,0.6868796949388425,0.6868796949388425,0.020539122851477094,0.6723563418909394,0.7014030479867455,"[41, 42]","[0.6723563418909394, 0.7014030479867455]"
P2,MIX_CTX,0.7274806210425483,0.7274806210425483,0.007733307688105854,0.7220123467352866,0.73294889534981,"[41, 42]","[0.7220123467352866, 0.73294889534981]"
P2,MIX_CED,0.7337087284595827,0.7337087284595827,0.01178227975163077,0.7253773985493677,0.7420400583697978,"[41, 42]","[0.7253773985493677, 0.7420400583697978]"
ALL5_SELECTED_DESCRIPTIVE,SUP_CE,0.6927611563597477,0.6933260351124341,0.012559617584027984,0.6752002737259741,0.7074585165400262,"[31, 32, 33, 41, 42]","[0.7074585165400262, 0.6752002737259741, 0.6867126309331801, 0.6933260351124341, 0.7011083254871239]"
ALL5_SELECTED_DESCRIPTIVE,SUP_CED,0.6906217693626161,0.692428284525733,0.011161759376833088,0.6723563418909394,0.7014030479867455,"[31, 32, 33, 41, 42]","[0.692428284525733, 0.6972747978461298, 0.6896463745635326, 0.6723563418909394, 0.7014030479867455]"
ALL5_SELECTED_DESCRIPTIVE,MIX_CTX,0.7253904250682759,0.7249026635828771,0.005683912824215003,0.7183657943472246,0.73294889534981,"[31, 32, 33, 41, 42]","[0.7249026635828771, 0.7183657943472246, 0.7287224253261811, 0.7220123467352866, 0.73294889534981]"
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,0.7312634339235035,0.731063181839909,0.006767105730108979,0.7253773985493677,0.7420400583697978,"[31, 32, 33, 41, 42]","[0.7256506897577397, 0.731063181839909, 0.7321858411007032, 0.7253773985493677, 0.7420400583697978]"
