epoch,domain,arm,seed,head_mode,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
20,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768
20,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323
40,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.9865377542560867,0.7025054344239297,0.7800175595310123,0.7412614969774711,0.9865377542560867,0.7025054344239297,0.7800175595310123,0.7412614969774711
40,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9869083691300875,0.6718970659898266,0.7653328433659358,0.7186149546778811,0.9869083691300875,0.6718970659898266,0.7653328433659358,0.7186149546778811
60,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.9852401897715088,0.6817432388812381,0.7511662792450851,0.7164547590631615,0.9852401897715088,0.6817432388812381,0.7511662792450851,0.7164547590631615
60,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9863643577418858,0.6888236212644001,0.7611283168892465,0.7249759690768233,0.9863643577418858,0.6888236212644001,0.7611283168892465,0.7249759690768233
80,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.9850533987247024,0.6797000815987445,0.7499045806638671,0.7148023311313058,0.9850533987247024,0.6797000815987445,0.7499045806638671,0.7148023311313058
80,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9850803622689142,0.6860580782612916,0.7507466457574812,0.7184023620093862,0.9850803622689142,0.6860580782612916,0.7507466457574812,0.7184023620093862
100,Drishti_GS,SUP,31,raw_linear3_same_geometry,student,25,25,0.984596770702296,0.6809909026909942,0.7439032715683104,0.7124470871296523,0.984596770702296,0.6809909026909942,0.7439032715683104,0.7124470871296523
100,Drishti_GS,SUP,31,raw_linear3_same_geometry,ema,25,25,0.9846649014047978,0.6825549741861395,0.744514630936165,0.7135348025611523,0.9846649014047978,0.6825549741861395,0.744514630936165,0.7135348025611523
20,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,student,25,25,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768,0.986430313714402,0.6634176392845282,0.764738083127008,0.714077861205768
20,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323,0.9863733814368242,0.6635006687906213,0.7516619827030433,0.7075813257468323
40,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,student,25,25,0.9862087144167616,0.6564713169347772,0.7622611028486748,0.7093662098917259,0.9862087144167616,0.6564713169347772,0.7622611028486748,0.7093662098917259
40,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9872309494997151,0.6708335944442123,0.7647900250636716,0.7178118097539421,0.9872309494997151,0.6708335944442123,0.7647900250636716,0.7178118097539421
60,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,student,25,25,0.9850744784534468,0.6717595024495782,0.7650006451427579,0.7183800737961681,0.9850744784534468,0.6717595024495782,0.7650006451427579,0.7183800737961681
60,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9858232528844012,0.6662462871923492,0.7636131890329285,0.7149297381126389,0.9858232528844012,0.6662462871923492,0.7636131890329285,0.7149297381126389
80,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,student,25,25,0.9841924355222228,0.664656362563671,0.758868632135145,0.7117624973494081,0.9841924355222228,0.664656362563671,0.758868632135145,0.7117624973494081
80,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9845557845322211,0.6631926102292354,0.757670213008518,0.7104314116188766,0.9845557845322211,0.6631926102292354,0.757670213008518,0.7104314116188766
100,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,student,25,25,0.9824955938604124,0.6530175102390762,0.7547992214985496,0.7039083658688129,0.9824955938604124,0.6530175102390762,0.7547992214985496,0.7039083658688129
100,Drishti_GS,T_SCE,31,raw_linear3_same_geometry,ema,25,25,0.9828841170739194,0.6570009055145211,0.7561146329709264,0.7065577692427237,0.9828841170739194,0.6570009055145211,0.7561146329709264,0.7065577692427237
