metric,R0_A0_C0,R1_A1_C0,R2_A0_C1,R3_A1_C1,assimilation_main_effect,consolidation_main_effect,interaction
final_average_dice,0.6551054533448878,0.6616491375160981,0.6129432916250217,0.6328992029650308,0.013249797755609638,-0.035456048135466656,0.013412227168798752
bwt,-0.11846211039977567,-0.1162918644571595,-0.19428600254066503,-0.10564529326319233,0.04540547761004443,-0.032588660473461095,0.08647046333485653
incoming_dice,0.7340801936114051,0.7391770471542044,0.7424672933187985,0.7033293984738257,-0.017020520651086724,-0.013730274486492666,-0.04423474838777208
previous_site_dice,0.6759458886019506,0.6826418676928568,0.6181338590131682,0.6908223824419748,0.03969225125985654,-0.02481575741983222,0.06599254433790036
