variant,site,diagonal_dice,final_dice,forgetting_final_minus_diagonal
R0,REFUGE,0.8276463802256635,0.6799031863293779,-0.14774319389628565
R0,RIM_ONE_r3,0.7226969429964731,0.6335159160932075,-0.08918102690326568
R0,Drishti_GS,0.6518972576120784,0.6518972576120784,0.0
R1,REFUGE,0.8317308974769024,0.6983414955408414,-0.13338940193606108
R1,RIM_ONE_r3,0.7243650948413253,0.6251707678630674,-0.09919432697825792
R1,Drishti_GS,0.6614351491443857,0.6614351491443857,0.0
R2,REFUGE,0.8276463802256635,0.614076667656509,-0.21356971256915447
R2,RIM_ONE_r3,0.7193379999392787,0.5443357074271031,-0.17500229251217558
R2,Drishti_GS,0.6804174997914529,0.6804174997914529,0.0
R3,REFUGE,0.8317308974769024,0.7340175169639268,-0.09771338051297562
R3,RIM_ONE_r3,0.7250611818704686,0.6114839758570596,-0.11357720601340904
R3,Drishti_GS,0.5531961160741061,0.5531961160741061,0.0
U0,REFUGE,0.8267568115426214,0.7150172174244013,-0.1117395941182201
U0,RIM_ONE_r3,0.6992586386980231,0.5887219344352764,-0.11053670426274664
U0,Drishti_GS,0.5892468257006775,0.5892468257006775,0.0
