variant,site,epoch,steps,relation_ess_ratio_mean,relation_ess_ratio_min,rejected_fraction_mean,rejected_fraction_max
R2,Drishti_GS,0,11,0.9816432177423273,0.9672867070525182,0.07507871227277975,0.136002722323049
R2,Drishti_GS,1,11,0.983114863367419,0.9698080522375505,0.06891383497581206,0.12508411843876177
R2,Drishti_GS,2,11,0.9828923506932831,0.9791551660988672,0.06975878426900164,0.0853241363840287
R2,Drishti_GS,3,11,0.9827887554768068,0.9709150640351615,0.07026517603138759,0.12031740690892777
R2,Drishti_GS,4,11,0.9826398143436539,0.9777713968569764,0.07081474945980282,0.09114352262644188
R2,Drishti_GS,5,11,0.982801572997351,0.9779885671999778,0.07012581157122609,0.0902284826974268
R2,Drishti_GS,6,11,0.98277487704779,0.9719135440091597,0.07030907077241016,0.11603225098727513
R2,Drishti_GS,7,11,0.9832543964923031,0.9723426915930781,0.06833105904251736,0.11419482229047828
R2,Drishti_GS,8,11,0.9825733397819569,0.974600493220386,0.07112685274099301,0.10456410825199645
R2,Drishti_GS,9,11,0.983265558518984,0.9769942186128785,0.06824201126276513,0.09442189556823168
R2,Drishti_GS,10,11,0.9832331606334069,0.9753940423115747,0.06836721256388469,0.10119448183041722
R2,Drishti_GS,11,11,0.9830491247406985,0.9743049933055743,0.06915609863849076,0.10582099596231494
R2,Drishti_GS,12,11,0.9809483148985237,0.9529695510864258,0.07840696354601688,0.19986979166666666
R2,Drishti_GS,13,11,0.9824929845364032,0.9772298615200202,0.07142805273896456,0.09342754598474652
R2,Drishti_GS,14,11,0.9825312474592316,0.9775022606830417,0.0712796059730139,0.09227792732166891
R2,Drishti_GS,15,11,0.9819826259069242,0.9708285184607531,0.0736431897609508,0.1206896551724138
R2,Drishti_GS,16,11,0.9832778359843629,0.9750003814697266,0.06819148737159265,0.10286458333333333
R2,Drishti_GS,17,11,0.9823944975064859,0.9764685503167507,0.07185559884245839,0.09664326458973234
R2,Drishti_GS,18,11,0.9814849779196109,0.9658552055566584,0.07577862160083043,0.14224137931034483
R2,Drishti_GS,19,11,0.9833757347084741,0.976479805441061,0.0677766550302303,0.09659600717810678
R2,Drishti_GS,20,11,0.9829879573767617,0.9763921214715505,0.06938394799219462,0.0969665039929015
R2,Drishti_GS,21,11,0.9828101140117532,0.9716448714828324,0.07017589089556774,0.11718407196138657
R2,Drishti_GS,22,11,0.9827992518557888,0.9713525237284096,0.07020998753768809,0.11843876177658143
R2,Drishti_GS,23,11,0.9829804004557253,0.9767529166897737,0.0694160135379031,0.09544143744454303
R2,Drishti_GS,24,11,0.982300294462462,0.9756587833205353,0.07225209670525833,0.10007130320315928
R2,Drishti_GS,25,11,0.9832116262389494,0.9756782213564774,0.06846482678949876,0.09998890860692103
R2,Drishti_GS,26,11,0.9827246635944294,0.9777549218064392,0.07045043363682749,0.09121325142606407
R2,Drishti_GS,27,11,0.9827401287477493,0.9706580662156167,0.07045903706964599,0.12142302573203194
R2,Drishti_GS,28,11,0.9828048332741126,0.9715810242636573,0.07022383411633484,0.11745831505046073
R2,Drishti_GS,29,11,0.9825572697808571,0.9750573632985803,0.07116987750161284,0.10262311446317658
R2,Drishti_GS,30,11,0.982836732367745,0.9731382108038065,0.07003150936744243,0.11079420798595875
R2,Drishti_GS,31,11,0.9829644442707209,0.9750305148398946,0.06949582585714581,0.10273665320771647
R2,Drishti_GS,32,11,0.9827750669224717,0.9766696262066696,0.0702665629551192,0.09579311101360245
