variant,site,site_index,epoch,class_id,target_coverage,realized_coverage,valid_pseudo_count,admitted_pixel_count,deferred_pixel_count,posthoc_final_pseudo_label_accuracy,posthoc_final_boundary_interior_admitted_ratio,hidden_gt_scope
R1,Drishti_GS,2,0,0,0.40083478334088035,0.40085076451575086,298555,119676,178879,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,0,1,0.40070317270423217,0.4008500510030602,29410,11789,17621,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,0,2,0.40089785226257735,0.40127697966548687,14409,5782,8627,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,1,0,0.4028409290680755,0.40285859258136575,303506,122270,181236,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,1,1,0.4029008348017712,0.4032480995162405,14470,5835,8635,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,1,2,0.4028654228602056,0.40321004166881014,19439,7838,11601,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,2,0,0.40485123774871795,0.40487052858142636,302924,122645,180279,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,2,1,0.4048950146722961,0.40542935395521185,12414,5033,7381,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,2,2,0.40480297835357876,0.4050740592473979,19984,8095,11889,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,3,0,0.4068427019873536,0.4068577797446362,305055,124114,180941,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,3,1,0.40683923068934896,0.4073192746369082,12187,4964,7223,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,3,2,0.4068322834174897,0.40717131474103585,18825,7665,11160,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,4,0,0.40884614692392074,0.40886309941578275,303483,124083,179400,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,4,1,0.4089102810770432,0.409305406076662,12079,4944,7135,0.6393942439776192,0.19480974048702435,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,4,2,0.4088503024479693,0.4090328078397955,23470,9600,13870,0.9429130133097836,0.04830319544216002,post_hoc_final_checkpoint_only
R1,Drishti_GS,2,5,0,0.41084774086101433,0.41086431500037995,302679,124360,178319,0.9644048145908782,0.00803433638187837,post_hoc_final_checkpoint_only
