variant,trained_site,trained_site_index,evaluation_site,class_id,dice,asd,hd95
R0,REFUGE,0,REFUGE,1,0.8292733530487055,2.594985261193793,13.775572353283632
R0,REFUGE,0,REFUGE,2,0.8260194074026215,1.4328205627690733,10.418548610237275
R0,REFUGE,0,RIM_ONE_r3,1,0.5626345839250776,9.760423399601134,43.968458752044526
R0,REFUGE,0,RIM_ONE_r3,2,0.6362120849944092,5.548754546321089,23.105475319593086
R0,REFUGE,0,Drishti_GS,1,0.38843511785083173,19.163591154197537,71.28492682709893
R0,REFUGE,0,Drishti_GS,2,0.5585200781683991,11.790349462168837,42.38714933545648
R0,RIM_ONE_r3,1,REFUGE,1,0.6839345448092202,2.9875041305782837,15.306247186510559
R0,RIM_ONE_r3,1,REFUGE,2,0.7449025819573126,2.000859128647167,10.716098747654314
R0,RIM_ONE_r3,1,RIM_ONE_r3,1,0.7311544150089591,5.073656940842152,21.45698729665312
R0,RIM_ONE_r3,1,RIM_ONE_r3,2,0.7142394709839872,4.007097174419824,15.01696240953431
R0,RIM_ONE_r3,1,Drishti_GS,1,0.36313493596776825,13.347940009175009,45.96812618287766
R0,RIM_ONE_r3,1,Drishti_GS,2,0.3870502937134954,13.105983318635683,39.89309231785151
R0,Drishti_GS,2,REFUGE,1,0.6507667854024554,6.947536270593252,29.331594249816188
R0,Drishti_GS,2,REFUGE,2,0.7090395872563,3.761804893525305,16.97292924968272
R0,Drishti_GS,2,RIM_ONE_r3,1,0.6165362795785765,9.580529960741663,33.19057244553043
R0,Drishti_GS,2,RIM_ONE_r3,2,0.6504955526078386,5.463593862667475,22.907523644278392
R0,Drishti_GS,2,Drishti_GS,1,0.5978616571781029,7.815450342524007,34.78714135719224
R0,Drishti_GS,2,Drishti_GS,2,0.7059328580460539,4.086422014823934,18.17022724122371
R1,REFUGE,0,REFUGE,1,0.835011442362265,2.2174229212027727,13.156305660642586
R1,REFUGE,0,REFUGE,2,0.8284503525915399,1.2529316149570406,8.684918638510073
R1,REFUGE,0,RIM_ONE_r3,1,0.5325250510956728,14.724275727655506,58.089744236820124
R1,REFUGE,0,RIM_ONE_r3,2,0.6353392517782803,6.69061711156327,21.84987138350262
R1,REFUGE,0,Drishti_GS,1,0.3531600816622704,23.974197874984817,89.28216431476967
R1,REFUGE,0,Drishti_GS,2,0.5390710030542906,17.65335050601304,45.83772393443152
R1,RIM_ONE_r3,1,REFUGE,1,0.6966392623749738,3.419931290465271,17.979448318528604
R1,RIM_ONE_r3,1,REFUGE,2,0.7521874169743493,1.9965236309257894,11.006377111874064
R1,RIM_ONE_r3,1,RIM_ONE_r3,1,0.7460676823633456,4.422457176063606,18.8406725280138
R1,RIM_ONE_r3,1,RIM_ONE_r3,2,0.7026625073193049,3.3428385641246514,13.252871317479736
R1,RIM_ONE_r3,1,Drishti_GS,1,0.366735061682834,14.415847987528133,51.04723009085099
R1,RIM_ONE_r3,1,Drishti_GS,2,0.42184865079815687,13.124179210219705,46.9417667772539
R1,Drishti_GS,2,REFUGE,1,0.6630071767981671,13.348024379975309,60.25916359790014
R1,Drishti_GS,2,REFUGE,2,0.7336758142835156,2.4842536175333843,12.918775066951634
R1,Drishti_GS,2,RIM_ONE_r3,1,0.6125199897058119,8.25522297050149,27.050779612419696
R1,Drishti_GS,2,RIM_ONE_r3,2,0.6378215460203231,5.778882836251585,24.14070711806529
R1,Drishti_GS,2,Drishti_GS,1,0.625996556424185,8.752180871030948,33.911526801037645
R1,Drishti_GS,2,Drishti_GS,2,0.6968737418645865,4.441363520222982,18.825616666374643
R2,REFUGE,0,REFUGE,1,0.8292733530487055,2.594985261193793,13.775572353283632
R2,REFUGE,0,REFUGE,2,0.8260194074026215,1.4328205627690733,10.418548610237275
R2,REFUGE,0,RIM_ONE_r3,1,0.5626345839250776,9.760423399601134,43.968458752044526
R2,REFUGE,0,RIM_ONE_r3,2,0.6362120849944092,5.548754546321089,23.105475319593086
R2,REFUGE,0,Drishti_GS,1,0.38843511785083173,19.163591154197537,71.28492682709893
R2,REFUGE,0,Drishti_GS,2,0.5585200781683991,11.790349462168837,42.38714933545648
R2,RIM_ONE_r3,1,REFUGE,1,0.6756441707670183,3.598319684655581,18.206047470246354
R2,RIM_ONE_r3,1,REFUGE,2,0.7163342331447667,2.4044023409365187,12.158251080306053
R2,RIM_ONE_r3,1,RIM_ONE_r3,1,0.7393653202825744,3.779042508779715,19.26311387872719
R2,RIM_ONE_r3,1,RIM_ONE_r3,2,0.6993106795959829,4.281575709003219,15.305131219279895
R2,RIM_ONE_r3,1,Drishti_GS,1,0.3239576724748546,12.92416355267633,36.20613704419023
R2,RIM_ONE_r3,1,Drishti_GS,2,0.41782863694637307,10.887379757675971,35.227162125458854
R2,Drishti_GS,2,REFUGE,1,0.5598636837759614,16.052679314045818,57.656730541307795
R2,Drishti_GS,2,REFUGE,2,0.6682896515370567,4.435288121623621,19.25398369218799
R2,Drishti_GS,2,RIM_ONE_r3,1,0.5002626678993204,9.79410403832801,31.9192748177427
R2,Drishti_GS,2,RIM_ONE_r3,2,0.5884087469548858,7.899181204291963,28.088382365587314
R2,Drishti_GS,2,Drishti_GS,1,0.604661308843978,10.5676571271982,28.4810446651575
