variant,trained_site,trained_site_index,evaluation_site,class_id,dice,asd,hd95
R2,Drishti_GS,2,Drishti_GS,2,0.7561736907389282,3.1286146361211133,15.06644002836309
R3,REFUGE,0,REFUGE,1,0.835011442362265,2.2174229212027727,13.156305660642586
R3,REFUGE,0,REFUGE,2,0.8284503525915399,1.2529316149570406,8.684918638510073
R3,REFUGE,0,RIM_ONE_r3,1,0.5325250510956728,14.724275727655506,58.089744236820124
R3,REFUGE,0,RIM_ONE_r3,2,0.6353392517782803,6.69061711156327,21.84987138350262
R3,REFUGE,0,Drishti_GS,1,0.3531600816622704,23.974197874984817,89.28216431476967
R3,REFUGE,0,Drishti_GS,2,0.5390710030542906,17.65335050601304,45.83772393443152
R3,RIM_ONE_r3,1,REFUGE,1,0.6907894725839111,3.679535283936005,17.601156697197972
R3,RIM_ONE_r3,1,REFUGE,2,0.7631418364259644,1.9375264469692355,11.70206998638539
R3,RIM_ONE_r3,1,RIM_ONE_r3,1,0.7471958982086848,3.890959443614534,17.424854215560817
R3,RIM_ONE_r3,1,RIM_ONE_r3,2,0.7029264655322527,3.187906616119567,12.81973066417682
R3,RIM_ONE_r3,1,Drishti_GS,1,0.33948599923136813,12.209432484611387,36.14435787911161
R3,RIM_ONE_r3,1,Drishti_GS,2,0.39077097473276323,14.026118744526107,47.738916292011616
R3,Drishti_GS,2,REFUGE,1,0.7219606146260302,7.386500559915969,35.81506103935993
R3,Drishti_GS,2,REFUGE,2,0.7460744193018232,2.5402878000876052,15.634143777419203
R3,Drishti_GS,2,RIM_ONE_r3,1,0.6031208966304505,10.122782451367403,35.20780922499225
R3,Drishti_GS,2,RIM_ONE_r3,2,0.6198470550836689,6.740306158980173,20.435484496078246
R3,Drishti_GS,2,Drishti_GS,1,0.5392099319989174,13.159959369671816,47.23172404550124
R3,Drishti_GS,2,Drishti_GS,2,0.5671823001492947,12.777390017078876,33.34396193344957
U0,REFUGE,0,REFUGE,1,0.8330933271158297,1.5634874995027221,10.27194153735567
U0,REFUGE,0,REFUGE,2,0.820420295969413,1.8565570023926588,9.612954204665858
U0,REFUGE,0,RIM_ONE_r3,1,0.570733679805384,9.996863235314454,37.2195277495015
U0,REFUGE,0,RIM_ONE_r3,2,0.6083118121604116,8.00832933881308,29.128408783291796
U0,REFUGE,0,Drishti_GS,1,0.35800161496325655,20.74026987654855,68.55924596851968
U0,REFUGE,0,Drishti_GS,2,0.4614597824593153,25.911887808144016,59.131916001722836
U0,RIM_ONE_r3,1,REFUGE,1,0.6757544889941994,3.0155777504245096,15.653509434769814
U0,RIM_ONE_r3,1,REFUGE,2,0.7293235654064126,2.925221309537738,14.792424216715114
U0,RIM_ONE_r3,1,RIM_ONE_r3,1,0.7187403022676673,4.793361628792656,19.997916685398724
U0,RIM_ONE_r3,1,RIM_ONE_r3,2,0.679776975128379,3.4945804317683504,14.36786561561139
U0,RIM_ONE_r3,1,Drishti_GS,1,0.3483143424009023,11.52032217531877,38.71345410367844
U0,RIM_ONE_r3,1,Drishti_GS,2,0.3661078923549392,20.323559949696946,51.199541436702475
U0,Drishti_GS,2,REFUGE,1,0.7274896128349106,6.267893725433947,34.63760695344243
U0,Drishti_GS,2,REFUGE,2,0.7025448220138913,3.3343896824279784,16.967099873594936
U0,Drishti_GS,2,RIM_ONE_r3,1,0.5900383215141835,5.563917765080187,24.159742945912136
U0,Drishti_GS,2,RIM_ONE_r3,2,0.5874055473563693,6.112784328040575,22.70056157660502
U0,Drishti_GS,2,Drishti_GS,1,0.6084490635404909,7.049225543410217,31.017725890076953
U0,Drishti_GS,2,Drishti_GS,2,0.570044587860864,14.446776795099064,35.34462767565681
