variant,site,site_index,class_id,fallback_scope,bin,bin_left,bin_right,bin_count,raw_accuracy,smoothed_accuracy,pava_accuracy,brier_raw,brier_calibrated,ece_raw,ece_calibrated
R2,Drishti_GS,2,-1,global,0,0.21150343120098114,0.9441601037979126,4608,0.4307725694444444,0.43080260303687634,0.43080260303687634,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,1,0.9441804885864258,0.9978867173194885,4608,0.5618489583333334,0.561822125813449,0.561822125813449,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,2,0.9978878498077393,0.9989773631095886,4608,0.8049045138888888,0.8047722342733189,0.8047722342733189,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,3,0.9989773631095886,0.9993131756782532,4608,0.8229166666666666,0.8227765726681128,0.822234273318872,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,4,0.9993131756782532,0.9994843602180481,4608,0.8218315972222222,0.8216919739696312,0.822234273318872,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,5,0.9994843602180481,0.9995868802070618,4608,0.8491753472222222,0.8490238611713666,0.8490238611713666,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,6,0.9995869398117065,0.9996589422225952,4608,0.8704427083333334,0.8702819956616052,0.8702819956616052,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,7,0.9996590614318848,0.9997116923332214,4608,0.9181857638888888,0.9180043383947939,0.9180043383947939,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,8,0.9997116923332214,0.9997506737709045,4608,0.9396701388888888,0.9394793926247289,0.9394793926247289,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,9,0.9997506737709045,0.9997797608375549,4608,0.9555121527777778,0.9553145336225597,0.9553145336225597,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,10,0.9997797608375549,0.9998037219047546,4608,0.9676649305555556,0.9674620390455532,0.9674620390455532,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,11,0.9998037219047546,0.9998245239257812,4608,0.9800347222222222,0.9798264642082429,0.9798264642082429,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,12,0.9998245239257812,0.9998424053192139,4608,0.9830729166666666,0.9828633405639913,0.9828633405639913,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,13,0.9998424053192139,0.9998583197593689,4608,0.9880642361111112,0.9878524945770065,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,14,0.9998583197593689,0.9998726844787598,4608,0.9895833333333334,0.9893709327548806,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,15,0.9998726844787598,0.9998857975006104,4608,0.9906684027777778,0.9904555314533623,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,16,0.9998857975006104,0.9998983144760132,4608,0.9919704861111112,0.9917570498915401,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,17,0.999898374080658,0.9999118447303772,4608,0.9943576388888888,0.9941431670281996,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,18,0.9999118447303772,0.9999301433563232,4608,0.9915364583333334,0.9913232104121475,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,-1,global,19,0.9999301433563232,0.9999998807907104,4608,0.9600694444444444,0.9598698481561823,0.986396033467617,0.1011034740486708,0.0757861749340757,0.10013969810404685,0.009988039185700924
R2,Drishti_GS,2,0,class,0,0.4197731614112854,0.9978046417236328,4195,0.39690107270560193,0.3969502025256135,0.3969502025256135,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,1,0.9978054165840149,0.9990036487579346,4195,0.8433849821215733,0.8432213485823207,0.8432213485823207,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,2,0.9990040063858032,0.999327540397644,4195,0.8562574493444577,0.8560876816773886,0.8529727153580364,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,3,0.9993276596069336,0.9994910955429077,4194,0.8500238435860753,0.8498570066730219,0.8529727153580364,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,4,0.9994911551475525,0.9995885491371155,4194,0.8683834048640916,0.8682078169685414,0.8682078169685414,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,5,0.9995885491371155,0.9996572732925415,4194,0.8855507868383404,0.8853670162059104,0.8853670162059104,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,6,0.9996572732925415,0.9997081756591797,4194,0.9315689079637578,0.9313632030505243,0.9313632030505243,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,7,0.9997081756591797,0.9997456073760986,4194,0.9463519313304721,0.946139180171592,0.946139180171592,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,8,0.9997456073760986,0.9997740983963013,4194,0.9616118264186934,0.9613918017159199,0.9613918017159199,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,9,0.999774158000946,0.9997969269752502,4194,0.9711492608488317,0.9709246901811249,0.9709246901811249,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,10,0.9997969269752502,0.9998170137405396,4194,0.9854554124940391,0.9852240228789323,0.9852240228789323,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,11,0.9998170137405396,0.9998348355293274,4194,0.9883166428230806,0.9880838894184938,0.9880838894184938,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,12,0.9998348355293274,0.9998504519462585,4194,0.9921316165951359,0.9918970448045757,0.9918970448045757,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,13,0.9998504519462585,0.9998642206192017,4194,0.9949928469241774,0.9947569113441372,0.9945980298697172,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
R2,Drishti_GS,2,0,class,14,0.9998642206192017,0.9998769164085388,4194,0.994754411063424,0.9945185891325071,0.9945980298697172,0.07221682935911876,0.05370854283749343,0.07327260159194712,0.0011160769104773779
