variant,site,site_index,class_id,pseudo_valid_count,admitted_count,deferred_count,pseudo_label_accuracy,admitted_pseudo_label_accuracy,boundary_interior_admitted_ratio,hidden_gt_scope
R1,REFUGE,0,0,1298428,1038807,259621,0.9906463816245491,0.9961917853845805,0.004521670852145425,post_hoc_diagnostics_only
R1,REFUGE,0,1,121325,97124,24201,0.8338594683700804,0.8820888760759441,0.16018826002819123,post_hoc_diagnostics_only
R1,REFUGE,0,2,39746,31864,7882,0.852765058119056,0.910525985438112,0.13556664290805417,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,0,516271,413042,103229,0.987105609263352,0.994007873291336,0.006560253442183502,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,1,38543,30860,7683,0.7092338427211167,0.7634802333117304,0.1791227265780223,post_hoc_diagnostics_only
R1,RIM_ONE_r3,1,2,12469,9995,2474,0.7860293527949315,0.8414207103551776,0.152559963099631,post_hoc_diagnostics_only
R1,Drishti_GS,2,0,320858,256703,64155,0.9644048145908782,0.9940982380416279,0.00803433638187837,post_hoc_diagnostics_only
R1,Drishti_GS,2,1,29847,23895,5952,0.6393942439776192,0.6875915463486085,0.19480974048702435,post_hoc_diagnostics_only
R1,Drishti_GS,2,2,15853,12696,3157,0.9429130133097836,0.9705419029615627,0.04830319544216002,post_hoc_diagnostics_only
R2,REFUGE,0,0,1291894,1291894,0,0.9901617315352498,0.9901617315352498,0.013495819771222987,post_hoc_diagnostics_only
R2,REFUGE,0,1,123309,123309,0,0.8108329481221971,0.8108329481221971,0.2167610664877346,post_hoc_diagnostics_only
R2,REFUGE,0,2,39587,39587,0,0.8482330057847273,0.8482330057847273,0.188548953673402,post_hoc_diagnostics_only
R2,RIM_ONE_r3,1,0,519434,519434,0,0.9861214321742512,0.9861214321742512,0.012169005960766891,post_hoc_diagnostics_only
R2,RIM_ONE_r3,1,1,35331,35331,0,0.7453794118479522,0.7453794118479522,0.25229504129302094,post_hoc_diagnostics_only
R2,RIM_ONE_r3,1,2,13347,13347,0,0.7944107290027722,0.7944107290027722,0.19596774193548386,post_hoc_diagnostics_only
R2,Drishti_GS,2,0,324015,324015,0,0.9615727666929,0.9615727666929,0.026731816755867787,post_hoc_diagnostics_only
R2,Drishti_GS,2,1,23136,23136,0,0.7579961964038727,0.7579961964038727,0.2652994257588187,post_hoc_diagnostics_only
R2,Drishti_GS,2,2,19250,19250,0,0.9054025974025974,0.9054025974025974,0.09331515874368149,post_hoc_diagnostics_only
R3,REFUGE,0,0,1298428,1038807,259621,0.9906463816245491,0.9961917853845805,0.004521670852145425,post_hoc_diagnostics_only
R3,REFUGE,0,1,121325,97124,24201,0.8338594683700804,0.8820888760759441,0.16018826002819123,post_hoc_diagnostics_only
R3,REFUGE,0,2,39746,31864,7882,0.852765058119056,0.910525985438112,0.13556664290805417,post_hoc_diagnostics_only
R3,RIM_ONE_r3,1,0,514328,411489,102839,0.9869596833149274,0.9920872732928462,0.008015344779859731,post_hoc_diagnostics_only
R3,RIM_ONE_r3,1,1,38434,30773,7661,0.6894676588437321,0.7396743898872388,0.18080656920302368,post_hoc_diagnostics_only
R3,RIM_ONE_r3,1,2,13324,10677,2647,0.7783698589012309,0.8345040741781399,0.16092203979558553,post_hoc_diagnostics_only
R3,Drishti_GS,2,0,327226,261798,65428,0.946779901352582,0.9831893291774574,0.013848548923019727,post_hoc_diagnostics_only
R3,Drishti_GS,2,1,25825,20675,5150,0.5136108422071636,0.5445223700120919,0.20350427847953897,post_hoc_diagnostics_only
R3,Drishti_GS,2,2,11383,9120,2263,0.9479047702714575,0.9631578947368421,0.03955317451270945,post_hoc_diagnostics_only
