row_type,level,key,policy,cases,foreground_dice,rim_dice,cup_dice,mean_iou
metric,overall,all,C0,49,0.6019016152183915,0.5759520975905108,0.6278511328462723,0.6449127290706341
metric,overall,all,C1,49,0.8229772604664852,0.8467446697320475,0.7992098512009229,0.8150097200198885
metric,overall,all,C2,49,0.8233138824571807,0.849545312110941,0.7970824528034206,0.8105166772599876
metric,overall,all,C3,49,0.818983796077684,0.8441819447663286,0.7937856473890393,0.81251839346466
metric,overall,all,C4,49,0.7152099785804567,0.6996071458959974,0.7308128112649158,0.7359768416451481
metric,overall,all,C5,49,0.6226492429581489,0.6120270358387391,0.6332714500775589,0.6590270385703102
metric,overall,all,C6,49,0.6019016152183915,0.5759520975905108,0.6278511328462723,0.6449127290706341
metric,overall,all,C7,49,0.8485028667872795,0.8797807031328982,0.8172250304416605,0.8355193347662132
metric,overall,all,C8,49,0.8505878001964837,0.8792138147863493,0.8219617856066181,0.836110377862285
metric,seed,0,C0,14,0.5991121396423473,0.5743121369405785,0.6239121423441162,0.6381382758050279
metric,seed,0,C1,14,0.8285352263037057,0.8804125515255619,0.7766579010818494,0.8209403534039795
metric,seed,0,C2,14,0.8230919548833923,0.8706755582755892,0.7755083514911952,0.8125551972225583
metric,seed,0,C3,14,0.8285352263037057,0.8804125515255619,0.7766579010818494,0.8209403534039795
metric,seed,0,C4,14,0.6985500385238989,0.694425556252769,0.7026745207950286,0.7216896658301662
metric,seed,0,C5,14,0.5991121396423473,0.5743121369405785,0.6239121423441162,0.6381382758050279
metric,seed,0,C6,14,0.5991121396423473,0.5743121369405785,0.6239121423441162,0.6381382758050279
metric,seed,0,C7,14,0.8285352263037057,0.8804125515255619,0.7766579010818494,0.8209403534039795
metric,seed,0,C8,14,0.8285352263037057,0.8804125515255619,0.7766579010818494,0.8209403534039795
metric,seed,1,C0,18,0.5080881575467437,0.45675597607946994,0.5594203390140176,0.5872622609457058
metric,seed,1,C1,18,0.7634091728030693,0.7842729676226315,0.7425453779835068,0.7698118710068457
metric,seed,1,C2,18,0.7750160029700343,0.8009515176937528,0.7490804882463155,0.7696866837373854
metric,seed,1,C3,18,0.7729650694681656,0.805011648971219,0.7409184899651122,0.78358983233889
metric,seed,1,C4,18,0.6793772974285727,0.6515842581300539,0.7071703367270915,0.7226760256097995
metric,seed,1,C5,18,0.5703310407660163,0.5649807908241549,0.5756812907078775,0.6296051894447344
metric,seed,1,C6,18,0.5080881575467437,0.45675597607946994,0.5594203390140176,0.5872622609457058
metric,seed,1,C7,18,0.8399859917654516,0.8833810678251836,0.7965909157057197,0.83134071524582
