order,seed,arm,domain,role,background_dice,rim_dice,cup_dice,macro_fg_dice
O1,61,DPR_FINITE_SIGN_U,RIM_ONE_r3,old,0.9754307929684177,0.5566065358918514,0.6109640883072562,0.5837853120995539
O1,61,DPR_FINITE_SIGN_U,Drishti_GS,current,0.9891653806779999,0.7089692523837663,0.7361234540245059,0.722546353204136
O1,61,F_CONV,RIM_ONE_r3,old,0.9748416665180493,0.5540070125343088,0.6121228373226989,0.583064924928504
O1,61,F_CONV,Drishti_GS,current,0.9896422882796722,0.7168070401232697,0.7319967334576013,0.7244018867904355
O1,61,DPR_U,RIM_ONE_r3,old,0.9747050564123374,0.5526211873671801,0.604858129871627,0.5787396586194036
O1,61,DPR_U,Drishti_GS,current,0.9888008559779246,0.70402807860662,0.7286622765864305,0.7163451775965249
O2,61,DPR_FINITE_SIGN_U,RIM_ONE_r3,current,0.9887210370147935,0.7428922856238253,0.6996347717234462,0.721263528673636
O2,61,DPR_FINITE_SIGN_U,Drishti_GS,old,0.9558498485228987,0.3749353805758443,0.4489796715234352,0.4119575260496397
O2,61,F_CONV,RIM_ONE_r3,current,0.9886130093090039,0.7429187635494572,0.6964512471241863,0.7196850053368216
O2,61,F_CONV,Drishti_GS,old,0.964583741141018,0.45136799395651034,0.4879143229056553,0.4696411584310829
O2,61,DPR_U,RIM_ONE_r3,current,0.9894375891899347,0.7493743063109196,0.7061997313915065,0.7277870188512131
O2,61,DPR_U,Drishti_GS,old,0.958601230843281,0.37900281828998716,0.46821493434598715,0.42360887631798716
O1,62,DPR_FINITE_SIGN_U,RIM_ONE_r3,old,0.9710985006829954,0.5146416873480708,0.5501084808368187,0.5323750840924447
O1,62,DPR_FINITE_SIGN_U,Drishti_GS,current,0.9880326354479381,0.703567958310547,0.7479784087046965,0.7257731835076217
O1,62,F_CONV,RIM_ONE_r3,old,0.9723505687052011,0.5114572418680104,0.5504346814058825,0.5309459616369463
O1,62,F_CONV,Drishti_GS,current,0.9879665273640186,0.7072780249779969,0.7544803108490754,0.730879167913536
O1,62,DPR_U,RIM_ONE_r3,old,0.9711188507281643,0.5017102740266559,0.5379618289606174,0.5198360514936365
O1,62,DPR_U,Drishti_GS,current,0.9883944450853316,0.710891802452469,0.7436295638961106,0.7272606831742899
O2,62,DPR_FINITE_SIGN_U,RIM_ONE_r3,current,0.9897003872073368,0.7486609986509676,0.6645863859653357,0.7066236923081519
O2,62,DPR_FINITE_SIGN_U,Drishti_GS,old,0.9684878636458667,0.46950864831145805,0.5277972335136581,0.4986529409125581
O2,62,F_CONV,RIM_ONE_r3,current,0.9901827532263067,0.7442245862098986,0.6634086830610205,0.7038166346354594
O2,62,F_CONV,Drishti_GS,old,0.9629896874757538,0.3819238741050293,0.4321840830888325,0.40705397859693093
O2,62,DPR_U,RIM_ONE_r3,current,0.9902209112377145,0.7491593053948835,0.6743919933093989,0.7117756493521414
O2,62,DPR_U,Drishti_GS,old,0.96433169856756,0.4164476217934262,0.4979462308692159,0.45719692633132103
O1,63,DPR_FINITE_SIGN_U,RIM_ONE_r3,old,0.9671495519328767,0.4809514784677467,0.5305657562189628,0.5057586173433548
O1,63,DPR_FINITE_SIGN_U,Drishti_GS,current,0.9850266394698377,0.6985235779905236,0.7671953490737282,0.7328594635321259
O1,63,F_CONV,RIM_ONE_r3,old,0.9685158320619973,0.49427414735666025,0.5314422318474956,0.5128581896020779
O1,63,F_CONV,Drishti_GS,current,0.98676226116547,0.7023754786773775,0.7647312334963519,0.7335533560868646
O1,63,DPR_U,RIM_ONE_r3,old,0.9685820762051502,0.5070756074102056,0.5433454251253789,0.5252105162677922
O1,63,DPR_U,Drishti_GS,current,0.9854233024960313,0.6947751792988526,0.7606843769432458,0.7277297781210491
O2,63,DPR_FINITE_SIGN_U,RIM_ONE_r3,current,0.9879725820084566,0.7124691196484575,0.6744893844614696,0.6934792520549634
O2,63,DPR_FINITE_SIGN_U,Drishti_GS,old,0.967597470246049,0.4725340763478183,0.5359634479942108,0.5042487621710144
O2,63,F_CONV,RIM_ONE_r3,current,0.9883589291088418,0.7299427162752542,0.6815050832825533,0.7057238997789038
O2,63,F_CONV,Drishti_GS,old,0.9693312401285376,0.45488750654748444,0.4669539860679926,0.46092074630773844
O2,63,DPR_U,RIM_ONE_r3,current,0.9885154454711722,0.7172614946122222,0.649793147420006,0.6835273210161141
O2,63,DPR_U,Drishti_GS,old,0.96600302243361,0.46686926425025616,0.5066421810342848,0.4867557226422706
