task_id,arm,order,seed,active_steps,candidate_accepted_mean,guard_rejected_mean,d0_norm_mean,eta_norm_mean,correction_ratio_mean,b_norm_mean,raw_response_norm_mean,delta_norm_mean,raw_non_descent_mean,accepted_algebra_eta_over_d0_mean,actual_FP32_applied_correction_norm,pooled_candidate_ratio_mean,pooled_candidate_ratio_count,pooled_applied_ratio_mean,pooled_applied_ratio_count
O1_s61_DPR_FINITE_U,DPR_FINITE_U,O1,61,1680,0.9898809523809524,0.01011904761904762,0.05642682565278007,0.0012206669670041766,0.024246552489746352,0.003290876528291268,1139.2223129661731,4.579751448897156,0.055952380952380955,0.02398987775650477,NOT_RECORDED,0.7705056672869914,1680,0.769367346321711,1680
O1_s61_DPR_FINITE_SIGN_U,DPR_FINITE_SIGN_U,O1,61,1680,0.9005952380952381,0.0994047619047619,0.05618724771064938,0.0007040150726393557,0.013922171605045478,0.0019216213789484498,116.05277068425417,4.682813951758809,0.06190476190476191,0.012956177366683247,NOT_RECORDED,0.9155420138721354,1680,0.9130047104422672,1680
O2_s61_DPR_FINITE_U,DPR_FINITE_U,O2,61,2560,0.98671875,0.01328125,0.06213137394017239,0.0018503514960423826,0.033120302458829666,0.004706687740857846,715.285665568369,3.942098656046409,0.04375,0.03273747743782991,NOT_RECORDED,0.7444953882702381,2560,0.7425811635805649,2560
O2_s61_DPR_FINITE_SIGN_U,DPR_FINITE_SIGN_U,O2,61,2560,0.901953125,0.098046875,0.0644233806137631,0.0010023116624803315,0.01695416161431762,0.0026126965423057965,88.95167846405396,3.8376606750974736,0.039453125,0.01589895740542028,NOT_RECORDED,0.9179047206539608,2560,0.915718396691766,2560
O1_s62_DPR_FINITE_U,DPR_FINITE_U,O1,62,1680,0.9845238095238096,0.015476190476190477,0.06134844547968179,0.001191665588334122,0.021710797206736184,0.003170446648500011,1445.6914374201988,4.876997907188337,0.06190476190476191,0.021356066315427885,NOT_RECORDED,0.7555567655785741,1680,0.7536154687667893,1680
O1_s62_DPR_FINITE_SIGN_U,DPR_FINITE_SIGN_U,O1,62,1680,0.9053571428571429,0.09464285714285714,0.06260290861376609,0.0006996599981539083,0.012353337193513593,0.001888133270593527,171.03220218123252,4.853944006237103,0.05892857142857143,0.011611803561273615,NOT_RECORDED,0.8846343067320217,1680,0.8807858005944621,1680
O2_s62_DPR_FINITE_U,DPR_FINITE_U,O2,62,2560,0.990234375,0.009765625,0.05423961706009661,0.001487515177392208,0.030086736883144494,0.0038254007924486745,943.9876344850051,3.958279762562005,0.031640625,0.02979404267992881,NOT_RECORDED,0.7706818638732822,2560,0.7698822886349401,2560
O2_s62_DPR_FINITE_SIGN_U,DPR_FINITE_SIGN_U,O2,62,2560,0.848828125,0.151171875,0.05392029124947809,0.000741984903585063,0.014178058982119924,0.00197444526900361,130.94449894020713,3.883226808679139,0.030859375,0.012485799066411972,NOT_RECORDED,0.9306199530028814,2560,0.9254810783546621,2560
O1_s63_DPR_FINITE_U,DPR_FINITE_U,O1,63,1680,0.930952380952381,0.06904761904761905,0.06144288975667329,0.0011200618293364672,0.022021613926192285,0.003105495895801043,1794.2283289287673,5.666373467954255,0.048214285714285716,0.020330310130364158,NOT_RECORDED,0.8221747954058755,1680,0.8108331244818721,1680
O1_s63_DPR_FINITE_SIGN_U,DPR_FINITE_SIGN_U,O1,63,1680,0.8166666666666667,0.18333333333333332,0.06128383127212988,0.000611441194441192,0.011969134985556166,0.0017586706587216078,191.84101863225985,5.650764642405355,0.052976190476190475,0.010224872668877059,NOT_RECORDED,0.9234824500226323,1680,0.9128746411740448,1680
O2_s63_DPR_FINITE_U,DPR_FINITE_U,O2,63,2560,0.990625,0.009375,0.06804629194870161,0.0014135824732387516,0.0235343513176332,0.0036960459803892904,1134.8319022551686,4.4766165844569565,0.049609375,0.023288284456088253,NOT_RECORDED,0.7623455981226621,2560,0.7615594205824834,2560
O2_s63_DPR_FINITE_SIGN_U,DPR_FINITE_SIGN_U,O2,63,2560,0.89375,0.10625,0.0693308816847678,0.0009099919826655855,0.015415806672807448,0.002368765557964693,123.14545979757023,4.543490723434911,0.054296875,0.014442901176194328,NOT_RECORDED,0.9075446515792767,2560,0.9053434974890096,2560
