arm,baseline,order,seed,domain,role,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
DPR_FINITE_SIGN_U,F_CONV,O1,61,RIM_ONE_r3,old,40,0.0007203871710499326,-0.1471223643100008,-0.035056407370883585,-0.0067902404578313175,0.005337596253364274,0.015262338243675636,0.030450585220108028,0.03802134587984107,1,9
DPR_FINITE_SIGN_U,F_CONV,O1,61,Drishti_GS,current,25,-0.0018555335862994139,-0.04424081786036804,-0.038729155476767516,-0.013572035820182404,-0.002127509805417538,0.006248731049762979,0.02853493056766619,0.07517552634962288,0,9
DPR_FINITE_SIGN_U,F_CONV,O1,62,RIM_ONE_r3,old,40,0.0014291224554982974,-0.1106046935992466,-0.09123984298075509,-0.03113815991912896,0.005171627983041216,0.03425708572454267,0.08889829427741867,0.09272056075845925,6,16
DPR_FINITE_SIGN_U,F_CONV,O1,62,Drishti_GS,current,25,-0.005105984405914341,-0.059774365006327934,-0.05522862023170678,-0.02747684765308367,-0.00980177213607114,0.00963974128972489,0.05265745646603094,0.07809651332529488,2,12
DPR_FINITE_SIGN_U,F_CONV,O1,63,RIM_ONE_r3,old,40,-0.007099572258723158,-0.08316777882984805,-0.042229229962093454,-0.014230647980748409,-0.0065434781253145835,0.003170717868566139,0.018393572943535823,0.05963919373002213,2,16
DPR_FINITE_SIGN_U,F_CONV,O1,63,Drishti_GS,current,25,-0.0006938925547386865,-0.07299999447194527,-0.060593927263290284,-0.007978647176936082,0.0007040422127617685,0.01093269102631167,0.028025052228997024,0.07047652970087048,2,5
DPR_FINITE_SIGN_U,F_CONV,O2,61,RIM_ONE_r3,current,40,0.0015785233368141769,-0.0615084297934817,-0.048288594757580745,-0.01873039250737249,0.0026472766233775202,0.021039605228943097,0.0468334327084919,0.12930582407868818,2,14
DPR_FINITE_SIGN_U,F_CONV,O2,61,Drishti_GS,old,25,-0.05768363238144312,-0.27729906884908095,-0.19227893822838213,-0.09573214326915971,-0.04195041836109459,-0.021945604958876597,0.023825638601378183,0.1318587378610907,11,19
DPR_FINITE_SIGN_U,F_CONV,O2,62,RIM_ONE_r3,current,40,0.002807057672691955,-0.08888785034045998,-0.0511226868508242,-0.0245881515046511,-0.004285089049470836,0.02582671627454669,0.09878746891288503,0.11413355515335144,3,18
DPR_FINITE_SIGN_U,F_CONV,O2,62,Drishti_GS,old,25,0.09159896231562716,-0.08586029889403979,-0.03936782333687585,0.023146379277468876,0.08158810630163105,0.1397825367479988,0.2543141757028964,0.2729581963769796,1,2
DPR_FINITE_SIGN_U,F_CONV,O2,63,RIM_ONE_r3,current,40,-0.012244647723940358,-0.13197372374158056,-0.07167780632161844,-0.0356908777843887,-0.01471420622727912,0.003926490681327416,0.0629024601676683,0.18237990599112297,6,25
DPR_FINITE_SIGN_U,F_CONV,O2,63,Drishti_GS,old,25,0.043328015863276066,-0.1350053965545861,-0.10653739043040061,-0.039150463432121585,0.03132344482874638,0.12493071729417032,0.22088239765268441,0.23701205740010378,6,10
DPR_FINITE_SIGN_U,DPR_U,O1,61,RIM_ONE_r3,old,40,0.005045653480150268,-0.03187925288319404,-0.029086036516739543,-0.00513785502519537,0.001815796940784098,0.009460437995693127,0.03631636761207696,0.16769451874036456,0,9
DPR_FINITE_SIGN_U,DPR_U,O1,61,Drishti_GS,current,25,0.006201175607610952,-0.01973114730442571,-0.010668623422235601,-0.002264014424745775,0.0059356243688336585,0.017097065798616917,0.024634952380341763,0.027549939480373986,0,2
DPR_FINITE_SIGN_U,DPR_U,O1,62,RIM_ONE_r3,old,40,0.012539032598808068,-0.06992790803358634,-0.025064341265822285,-0.0037423881873670795,0.009452835325680364,0.03421441465090408,0.06130403470578558,0.0910284692002244,2,5
DPR_FINITE_SIGN_U,DPR_U,O1,62,Drishti_GS,current,25,-0.0014874996666682328,-0.04048688781726101,-0.03405596448146395,-0.017933024679308907,-0.005231004955750795,0.0013512705855891483,0.06270462477798568,0.09650875670936954,0,10
DPR_FINITE_SIGN_U,DPR_U,O1,63,RIM_ONE_r3,old,40,-0.019451898924437487,-0.12074650911789975,-0.06390132168179097,-0.03184898437588754,-0.02047400281677869,-0.004272782635297415,0.03317034318567425,0.037435395038387,4,25
