seed,stage,domain,class_id,K,role,R95_null_worst_case,null_mass,registered_count
2,0,REFUGE,1,1,train_labeled,0.9329180027095936,3.9745627980922105e-05,75480
2,0,REFUGE,1,1,val,0.9318280847280588,4.999999999999999e-05,140000
2,0,REFUGE,1,2,train_labeled,0.8860117787928544,3.9745627980922105e-05,75480
2,0,REFUGE,1,2,val,0.8801910611341777,4.999999999999999e-05,140000
2,0,REFUGE,2,1,train_labeled,1.001697934131073,2.649708532061474e-05,75480
2,0,REFUGE,2,1,val,1.0179987681336093,2.8571428571428557e-05,140000
2,0,REFUGE,2,2,train_labeled,0.9449063502646324,2.649708532061474e-05,75480
2,0,REFUGE,2,2,val,0.9636247779012127,2.8571428571428557e-05,140000
2,1,RIM_ONE_r3,0,1,train_labeled,0.9269430448606502,0.0,16800
2,1,RIM_ONE_r3,0,1,val,0.9330784949385246,0.0,9240
2,1,RIM_ONE_r3,0,2,train_labeled,0.8307573919248066,0.0,16800
2,1,RIM_ONE_r3,0,2,val,0.8365378123205665,0.0,9240
2,1,RIM_ONE_r3,1,1,train_labeled,0.938405466283519,0.0,16800
2,1,RIM_ONE_r3,1,1,val,0.9517410586927717,0.0,9240
2,1,RIM_ONE_r3,1,2,train_labeled,0.8354831012518289,0.0,16800
2,1,RIM_ONE_r3,1,2,val,0.8566392469133499,0.0,9240
2,1,RIM_ONE_r3,2,1,train_labeled,0.8798702682780436,0.0,16800
2,1,RIM_ONE_r3,2,1,val,0.9596676593448528,0.0,9240
2,1,RIM_ONE_r3,2,2,train_labeled,0.8133377472376709,0.0,16800
2,1,RIM_ONE_r3,2,2,val,0.9008852322983295,0.0,9240
2,2,Drishti_GS,0,1,train_labeled,0.8951756828540696,0.0,20480
2,2,Drishti_GS,0,1,val,0.8871399895624005,0.0,51200
2,2,Drishti_GS,0,2,train_labeled,0.7832728973416252,0.0,20480
2,2,Drishti_GS,0,2,val,0.7716775181415176,0.0,51200
2,2,Drishti_GS,1,1,train_labeled,0.8086708114786236,0.0,20480
2,2,Drishti_GS,1,1,val,0.8240545507998183,0.0,51200
2,2,Drishti_GS,1,2,train_labeled,0.7196923870758599,0.0,20480
2,2,Drishti_GS,1,2,val,0.7405196501650693,0.0,51200
2,2,Drishti_GS,2,1,train_labeled,0.9421209725142281,0.0,20480
2,2,Drishti_GS,2,1,val,0.9683108962381772,1.953125e-05,51200
2,2,Drishti_GS,2,2,train_labeled,0.8097515116100588,0.0,20480
2,2,Drishti_GS,2,2,val,0.8573868065970314,1.953125e-05,51200
