level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
historical,history,O_CAP_lambda075,149,0.556209054354117,0.035045710541729606,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_CAP_envelope,149,0.5565499386125197,0.035386594800132155,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_SAFE0_lambda050,149,0.5461203142788291,0.02495697046644153,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_SAFE0_lambda075,149,0.5561835631800727,0.0350202193676851,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_SAFE0_envelope,149,0.5565244474384752,0.03536110362608765,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_NO_AREA_lambda050,149,0.7618423372030152,0.2406789933906278,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_NO_AREA_lambda075,149,0.824479312740221,0.30331596892783363,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_NO_AREA_envelope,149,0.8283845416942415,0.3072211978818541,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_FREE_SUBSET_lambda050,149,0.7659886327150478,0.24482528890266034,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_FREE_SUBSET_lambda075,149,0.8294717143710215,0.308308370558634,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
historical,history,O_FREE_SUBSET_envelope,149,0.8333540330823203,0.3121906892699327,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,current,66,0.5653653035559942,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,frozen_Ridge_hard,66,0.8361589980954993,0.27079369453950497,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,frozen_SHOR,66,0.8361589980954993,0.27079369453950497,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,frozen_PPC_C6,66,0.8282694467119865,0.26290414315599214,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_CAP_lambda050,66,0.596614001209163,0.03124869765316856,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_CAP_lambda075,66,0.6099999625093475,0.04463465895335331,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_CAP_envelope,66,0.6103139188574839,0.04494861530148949,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_SAFE0_lambda050,66,0.596614001209163,0.03124869765316856,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_SAFE0_lambda075,66,0.6099999625093475,0.04463465895335331,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_SAFE0_envelope,66,0.6103139188574839,0.04494861530148949,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_NO_AREA_lambda050,66,0.7746056780417394,0.2092403744857452,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_NO_AREA_lambda075,66,0.824034829483197,0.2586695259272027,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_NO_AREA_envelope,66,0.8252882808756071,0.259922977319613,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_FREE_SUBSET_lambda050,66,0.7768034356018673,0.21143813204587295,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_FREE_SUBSET_lambda075,66,0.827074055780388,0.2617087522243938,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,0,O_FREE_SUBSET_envelope,66,0.828332510977568,0.2629672074215737,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,current,66,0.4818400068978499,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,frozen_Ridge_hard,66,0.8374851263320714,0.3556451194342216,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,frozen_SHOR,66,0.8229316987395275,0.34109169184167776,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,frozen_PPC_C6,66,0.8182968183761449,0.3364568114782949,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_CAP_lambda050,66,0.4897562190632804,0.007916212165430545,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_CAP_lambda075,66,0.49228464365002217,0.01044463675217233,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_CAP_envelope,66,0.49243239957021534,0.01059239267236562,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_SAFE0_lambda050,66,0.48969867080672536,0.007858663908875529,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_SAFE0_lambda075,66,0.4922270953934671,0.010387088495617314,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_SAFE0_envelope,66,0.4923748513136604,0.010534844415810606,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed,1,O_NO_AREA_lambda050,66,0.7740173399641318,0.29217733306628196,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
