level,key,rows,patients,evaluable_rows,all_ignore_rows,all_ignore_patients,valid_pixels,ignored_pixels,compatibility
overall,all,198,177,198,0,0,29196288,0,all-ignore score1/gain0 retained; no safety evidence
historical,history,168,149,168,0,0,24772608,0,all-ignore score1/gain0 retained; no safety evidence
seed,0,66,66,66,0,0,9732096,0,all-ignore score1/gain0 retained; no safety evidence
seed,1,66,66,66,0,0,9732096,0,all-ignore score1/gain0 retained; no safety evidence
seed,2,66,66,66,0,0,9732096,0,all-ignore score1/gain0 retained; no safety evidence
domain,Drishti_GS,30,28,30,0,0,4423680,0,all-ignore score1/gain0 retained; no safety evidence
domain,REFUGE,120,107,120,0,0,17694720,0,all-ignore score1/gain0 retained; no safety evidence
domain,RIM_ONE_r3,48,42,48,0,0,7077888,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,0:Drishti_GS,10,10,10,0,0,1474560,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,0:REFUGE,40,40,40,0,0,5898240,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,0:RIM_ONE_r3,16,16,16,0,0,2359296,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,1:Drishti_GS,10,10,10,0,0,1474560,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,1:REFUGE,40,40,40,0,0,5898240,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,1:RIM_ONE_r3,16,16,16,0,0,2359296,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,2:Drishti_GS,10,10,10,0,0,1474560,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,2:REFUGE,40,40,40,0,0,5898240,0,all-ignore score1/gain0 retained; no safety evidence
seed_domain,2:RIM_ONE_r3,16,16,16,0,0,2359296,0,all-ignore score1/gain0 retained; no safety evidence
