node_id,cohort,family,candidate_id,seed,order,stage,training_domain,domain,rim,cup,disc_union,macro_Dice
C__F5_C02__S161__O1__STAGE1,DEVELOPMENT,F5,F5_C02,161,1,1,RIM_ONE_r3,REFUGE,0.711864016897866,0.7315236072739241,0.8464240633999729,0.7216938120858951
C__F5_C02__S161__O1__STAGE1,DEVELOPMENT,F5,F5_C02,161,1,1,RIM_ONE_r3,RIM_ONE_r3,0.7046931280155715,0.699058414399329,0.844068584634336,0.7018757712074503
C__F5_C02__S161__O1__STAGE2,DEVELOPMENT,F5,F5_C02,161,1,2,Drishti_GS,REFUGE,0.7083886033290674,0.6955511736001576,0.8952654450637414,0.7019698884646125
C__F5_C02__S161__O1__STAGE2,DEVELOPMENT,F5,F5_C02,161,1,2,Drishti_GS,RIM_ONE_r3,0.6349216558043485,0.6627855783660389,0.8427544946127885,0.6488536170851937
C__F5_C02__S161__O1__STAGE2,DEVELOPMENT,F5,F5_C02,161,1,2,Drishti_GS,Drishti_GS,0.6612151019462617,0.6978829675699977,0.9420420465698984,0.6795490347581297
C__F5_C02__S161__O2__STAGE1,DEVELOPMENT,F5,F5_C02,161,2,1,Drishti_GS,REFUGE,0.7018880826500644,0.7015117951045639,0.9049818825790947,0.7016999388773142
C__F5_C02__S161__O2__STAGE1,DEVELOPMENT,F5,F5_C02,161,2,1,Drishti_GS,Drishti_GS,0.6611523385914938,0.7358477997650634,0.9240593181909174,0.6985000691782786
C__F5_C02__S161__O2__STAGE2,DEVELOPMENT,F5,F5_C02,161,2,2,RIM_ONE_r3,REFUGE,0.6061415493907044,0.7384363084280346,0.7829835623556789,0.6722889289093695
C__F5_C02__S161__O2__STAGE2,DEVELOPMENT,F5,F5_C02,161,2,2,RIM_ONE_r3,Drishti_GS,0.4527641627549538,0.44460602038048025,0.7814061907885859,0.448685091567717
C__F5_C02__S161__O2__STAGE2,DEVELOPMENT,F5,F5_C02,161,2,2,RIM_ONE_r3,RIM_ONE_r3,0.7266218481873589,0.6819526240480098,0.8824951368633297,0.7042872361176844
C__P1__S161__O1__STAGE1,DEVELOPMENT,B0_PARENT_LCTX,P1,161,1,1,RIM_ONE_r3,REFUGE,0.7285851622494397,0.752844807686941,0.8587000258174516,0.7407149849681903
C__P1__S161__O1__STAGE1,DEVELOPMENT,B0_PARENT_LCTX,P1,161,1,1,RIM_ONE_r3,RIM_ONE_r3,0.702254806082947,0.692272357846049,0.8423896921930311,0.697263581964498
C__P1__S161__O1__STAGE2,DEVELOPMENT,B0_PARENT_LCTX,P1,161,1,2,Drishti_GS,REFUGE,0.7111167847390426,0.6990203993449663,0.8967978575402555,0.7050685920420044
C__P1__S161__O1__STAGE2,DEVELOPMENT,B0_PARENT_LCTX,P1,161,1,2,Drishti_GS,RIM_ONE_r3,0.5555250255033457,0.6149290359665353,0.8215117356314036,0.5852270307349405
C__P1__S161__O1__STAGE2,DEVELOPMENT,B0_PARENT_LCTX,P1,161,1,2,Drishti_GS,Drishti_GS,0.6415477531838307,0.6989593546860648,0.9234133207761803,0.6702535539349478
C__P1__S161__O2__STAGE1,DEVELOPMENT,B0_PARENT_LCTX,P1,161,2,1,Drishti_GS,REFUGE,0.6732790358224077,0.6750303293793755,0.9112735304860685,0.6741546826008915
C__P1__S161__O2__STAGE1,DEVELOPMENT,B0_PARENT_LCTX,P1,161,2,1,Drishti_GS,Drishti_GS,0.6642804033426637,0.7350338421007864,0.9268934538793672,0.699657122721725
C__P1__S161__O2__STAGE2,DEVELOPMENT,B0_PARENT_LCTX,P1,161,2,2,RIM_ONE_r3,REFUGE,0.6816717909670581,0.7621508347622457,0.8354157620580213,0.7219113128646519
C__P1__S161__O2__STAGE2,DEVELOPMENT,B0_PARENT_LCTX,P1,161,2,2,RIM_ONE_r3,Drishti_GS,0.49183349943058585,0.44392059914116266,0.8264167193513194,0.46787704928587426
C__P1__S161__O2__STAGE2,DEVELOPMENT,B0_PARENT_LCTX,P1,161,2,2,RIM_ONE_r3,RIM_ONE_r3,0.7233169751465262,0.6886364229067898,0.8783552136104398,0.705976699026658
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE1,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,1,1,RIM_ONE_r3,REFUGE,0.6516076581467616,0.7264999901686414,0.8143058503628094,0.6890538241577016
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE1,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,1,1,RIM_ONE_r3,RIM_ONE_r3,0.7092620440394606,0.6581969492222672,0.8735307214734593,0.6837294966308639
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE2,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,1,2,Drishti_GS,REFUGE,0.6256784598190525,0.6579338008779313,0.8716841066289107,0.6418061303484919
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE2,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,1,2,Drishti_GS,RIM_ONE_r3,0.5153017848792315,0.5622361403866865,0.8238815622839958,0.538768962632959
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O1__STAGE2,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,1,2,Drishti_GS,Drishti_GS,0.7167670732366298,0.7431909858740832,0.9296024322193478,0.7299790295553565
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE1,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,2,1,Drishti_GS,REFUGE,0.6477703828774878,0.6657442981422094,0.8873600076857094,0.6567573405098486
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE1,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,2,1,Drishti_GS,Drishti_GS,0.6807319439169527,0.7481698933054064,0.9303637377170982,0.7144509186111796
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE2,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,2,2,RIM_ONE_r3,REFUGE,0.665226557059713,0.7488852622889357,0.8328028012308525,0.7070559096743243
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE2,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,2,2,RIM_ONE_r3,Drishti_GS,0.4891669037557764,0.403847716036134,0.7909556029246787,0.4465073098959552
D__B0_PARENT_LCTX__SELECTED_AFTER_C__S162__O2__STAGE2,ALREADY_OBSERVED,B0_PARENT_LCTX,B0_PARENT_LCTX__SELECTED_AFTER_C,162,2,2,RIM_ONE_r3,RIM_ONE_r3,0.714075247924723,0.6542365908675281,0.865545721809713,0.6841559193961255
D__F5__SELECTED_AFTER_C__S162__O1__STAGE1,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,1,1,RIM_ONE_r3,REFUGE,0.6276713157770178,0.7304405958372265,0.7952138385260968,0.6790559558071222
D__F5__SELECTED_AFTER_C__S162__O1__STAGE1,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,1,1,RIM_ONE_r3,RIM_ONE_r3,0.7058011117171639,0.6463649360343546,0.8747533973228693,0.6760830238757592
D__F5__SELECTED_AFTER_C__S162__O1__STAGE2,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,1,2,Drishti_GS,REFUGE,0.6896340922167619,0.685840677747634,0.8955339017252948,0.6877373849821979
D__F5__SELECTED_AFTER_C__S162__O1__STAGE2,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,1,2,Drishti_GS,RIM_ONE_r3,0.5125896560606817,0.5804455224335165,0.8229451751056484,0.5465175892470991
D__F5__SELECTED_AFTER_C__S162__O1__STAGE2,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,1,2,Drishti_GS,Drishti_GS,0.7378184835355259,0.7474593857900769,0.9379644305810716,0.7426389346628014
D__F5__SELECTED_AFTER_C__S162__O2__STAGE1,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,2,1,Drishti_GS,REFUGE,0.6460038967905558,0.6628769736462339,0.8877002639030303,0.6544404352183948
D__F5__SELECTED_AFTER_C__S162__O2__STAGE1,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,2,1,Drishti_GS,Drishti_GS,0.6981450794874775,0.7573395925910422,0.9366651251196106,0.7277423360392599
D__F5__SELECTED_AFTER_C__S162__O2__STAGE2,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,2,2,RIM_ONE_r3,REFUGE,0.6844099893397515,0.7324062598598978,0.8451229080475763,0.7084081245998246
D__F5__SELECTED_AFTER_C__S162__O2__STAGE2,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,2,2,RIM_ONE_r3,Drishti_GS,0.45260106409290857,0.43214737458314195,0.7880886157931397,0.44237421933802523
D__F5__SELECTED_AFTER_C__S162__O2__STAGE2,ALREADY_OBSERVED,F5,F5__SELECTED_AFTER_C,162,2,2,RIM_ONE_r3,RIM_ONE_r3,0.7242048424392011,0.6844232101986469,0.8835391387140454,0.704314026318924
