level,key,policy,rows,patients,accepted,vetoed,current_domain_historical_overrides,source_mismatches,beneficial_accepted,harmful_accepted,beneficial_vetoed,class_harm_vetoed,zero_macro_vetoed,class_nonharm_accepted,correction_precision,class_nonharm_precision,worst_case_delta,worst_class_harm,case_delta_below_minus_010,patients_with_case_below_minus_010,worst_patient_mean_delta,patient_mean_below_minus_010
seed,2,RIDGE_HARD_FROZEN,66,66,58,0,2,2,56,4,0,0,0,54,0.9655172413793104,0.9310344827586207,-0.524484126691303,0.6092980941497506,2,2,-0.524484126691303,2
seed,2,SHOR_FROZEN,66,66,48,0,0,0,48,2,0,0,0,46,1.0,0.9583333333333334,0.0,0.09135116244789632,0,0,0.0,0
seed,2,PPC_FROZEN,66,66,48,1,0,0,48,2,1,0,0,46,1.0,0.9583333333333334,0.0,0.09135116244789632,0,0,0.0,0
seed,2,SHOR_CONFIDENCE_VETO,66,66,44,4,0,0,44,1,4,1,0,43,1.0,0.9772727272727273,0.0,0.004264030933227803,0,0,0.0,0
seed,2,SHOR_UV_CF,66,66,38,10,0,0,38,2,10,0,0,36,1.0,0.9473684210526315,0.0,0.09135116244789632,0,0,0.0,0
seed,2,SHOR_UV_GAIN_ONLY,66,66,16,32,0,0,16,0,32,2,0,16,1.0,1.0,0.0,0.0,0,0,0.0,0
seed,2,SHOR_UV_ROUTED_ONLY,66,66,46,2,0,0,46,2,2,0,0,44,1.0,0.9565217391304348,0.0,0.09135116244789632,0,0,0.0,0
domain,Drishti_GS,CURRENT,30,28,0,1,0,0,0,0,0,1,0,0,,,0.0,0.0,0,0,0.0,0
domain,Drishti_GS,RIDGE_HARD_FROZEN,30,28,3,0,3,3,0,3,0,0,0,0,0.0,0.0,-0.524484126691303,0.6092980941497506,3,3,-0.524484126691303,3
domain,Drishti_GS,SHOR_FROZEN,30,28,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
domain,Drishti_GS,PPC_FROZEN,30,28,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
domain,Drishti_GS,SHOR_CONFIDENCE_VETO,30,28,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
domain,Drishti_GS,SHOR_UV_CF,30,28,0,1,0,0,0,0,0,1,0,0,,,0.0,0.0,0,0,0.0,0
domain,Drishti_GS,SHOR_UV_GAIN_ONLY,30,28,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
domain,Drishti_GS,SHOR_UV_ROUTED_ONLY,30,28,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
domain,REFUGE,CURRENT,120,107,0,120,0,0,0,0,120,4,0,0,,,0.0,0.0,0,0,0.0,0
domain,REFUGE,RIDGE_HARD_FROZEN,120,107,120,0,0,0,120,4,0,0,0,116,1.0,0.9666666666666667,0.0008454143560403526,0.09135116244789632,0,0,0.022534787963320868,0
domain,REFUGE,SHOR_FROZEN,120,107,120,0,0,0,120,4,0,0,0,116,1.0,0.9666666666666667,0.0008454143560403526,0.09135116244789632,0,0,0.022534787963320868,0
domain,REFUGE,PPC_FROZEN,120,107,118,2,0,0,118,4,2,0,0,114,1.0,0.9661016949152542,0.0,0.09135116244789632,0,0,0.0,0
domain,REFUGE,SHOR_CONFIDENCE_VETO,120,107,116,4,0,0,116,3,4,1,0,113,1.0,0.9741379310344828,0.0,0.024539840472076135,0,0,0.0,0
domain,REFUGE,SHOR_UV_CF,120,107,105,15,0,0,105,4,15,0,0,101,1.0,0.9619047619047619,0.0,0.09135116244789632,0,0,0.0,0
domain,REFUGE,SHOR_UV_GAIN_ONLY,120,107,27,93,0,0,27,0,93,4,0,27,1.0,1.0,0.0,0.0,0,0,0.0,0
domain,REFUGE,SHOR_UV_ROUTED_ONLY,120,107,117,3,0,0,117,4,3,0,0,113,1.0,0.9658119658119658,0.0,0.09135116244789632,0,0,0.0,0
domain,RIM_ONE_r3,CURRENT,48,42,0,37,0,0,0,0,37,5,0,0,,,0.0,0.0,0,0,0.0,0
domain,RIM_ONE_r3,RIDGE_HARD_FROZEN,48,42,47,0,0,1,47,5,0,0,0,42,1.0,0.8936170212765957,0.0,0.19197313100830227,0,0,0.0,0
domain,RIM_ONE_r3,SHOR_FROZEN,48,42,37,0,0,1,37,5,0,0,0,32,1.0,0.8648648648648649,0.0,0.19197313100830227,0,0,0.0,0
domain,RIM_ONE_r3,PPC_FROZEN,48,42,36,2,0,1,36,5,2,0,0,31,1.0,0.8611111111111112,0.0,0.19197313100830227,0,0,0.0,0
domain,RIM_ONE_r3,SHOR_CONFIDENCE_VETO,48,42,31,6,0,1,31,2,6,3,0,29,1.0,0.9354838709677419,0.0,0.19197313100830227,0,0,0.0,0
domain,RIM_ONE_r3,SHOR_UV_CF,48,42,28,9,0,1,28,2,9,3,0,26,1.0,0.9285714285714286,0.0,0.12650746417944037,0,0,0.0,0
domain,RIM_ONE_r3,SHOR_UV_GAIN_ONLY,48,42,11,26,0,1,11,1,26,4,0,10,1.0,0.9090909090909091,0.0,0.14587901670736403,0,0,0.0,0
domain,RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,48,42,29,8,0,1,29,2,8,3,0,27,1.0,0.9310344827586207,0.0,0.19197313100830227,0,0,0.0,0
seed_domain,0:Drishti_GS,CURRENT,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:Drishti_GS,RIDGE_HARD_FROZEN,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:Drishti_GS,SHOR_FROZEN,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:Drishti_GS,PPC_FROZEN,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:Drishti_GS,SHOR_CONFIDENCE_VETO,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:Drishti_GS,SHOR_UV_CF,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,0:Drishti_GS,SHOR_UV_GAIN_ONLY,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
