level,key,policy,macro_Dice_difference_from_SHOR,gain_difference_from_SHOR,rim_difference_from_SHOR,cup_difference_from_SHOR,gain_retention_relative_SHOR
overall,all,CURRENT,-0.2035847773286391,-0.2035847773286392,-0.23727539874313386,-0.16989415591414447,0.0
overall,all,RIDGE_HARD_FROZEN,0.010371403427806292,0.010371403427806264,0.017756399218371577,0.0029864076372408954,1.0509439043719075
overall,all,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
overall,all,PPC_FROZEN,-0.003070904548262754,-0.003070904548262754,-0.004361935572683495,-0.0017798735238420127,0.9849158439616263
overall,all,SHOR_CONFIDENCE_VETO,-0.014302857020896065,-0.01430285702089601,-0.024342497182435308,-0.0042632168593566,0.9297449582990802
overall,all,SHOR_UV_CF,-0.035077759538167386,-0.03507775953816725,-0.045948633232941405,-0.024206885843393033,0.8276994969936159
overall,all,SHOR_UV_GAIN_ONLY,-0.15281698597008242,-0.15281698597008248,-0.1818891861322286,-0.12374478580793624,0.2493692899081751
overall,all,SHOR_UV_ROUTED_ONLY,-0.023096151558335887,-0.02309615155833586,-0.035530375584941765,-0.010661927531729787,0.8865526594797772
historical,history,CURRENT,-0.313034847889197,-0.31303484788919705,-0.36582390813495597,-0.2602457876434381,0.0
historical,history,RIDGE_HARD_FROZEN,0.03097598325840567,0.03097598325840567,0.0445833794655468,0.01736858705126465,1.0989537857119667
historical,history,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
historical,history,PPC_FROZEN,-0.004606356822394075,-0.004606356822394186,-0.006542903359025076,-0.0026698102857630746,0.985284843353847
historical,history,SHOR_CONFIDENCE_VETO,-0.021454285531343986,-0.02145428553134404,-0.03651374577365285,-0.006394825289035233,0.9314635872778673
historical,history,SHOR_UV_CF,-0.06027432120348908,-0.060274321203489134,-0.07883375986966723,-0.041714882537310816,0.8074517210785936
historical,history,SHOR_UV_GAIN_ONLY,-0.22922547895512357,-0.22922547895512374,-0.27283377919834284,-0.18561717871190453,0.267731754145592
historical,history,SHOR_UV_ROUTED_ONLY,-0.03464422733750383,-0.03464422733750383,-0.0532955633774127,-0.015992891297594847,0.8893278893033448
seed,0,CURRENT,-0.23413123350690856,-0.23413123350690856,-0.271706169347805,-0.19655629766601235,0.0
seed,0,RIDGE_HARD_FROZEN,0.0,0.0,0.0,0.0,1.0
seed,0,SHOR_FROZEN,0.0,0.0,0.0,0.0,1.0
seed,0,PPC_FROZEN,-0.008969817236613609,-0.008969817236613636,-0.01050452372984001,-0.00743511074338743,0.9616889335854075
