level,key,policy,rows,retained_rows,excluded_rows,patients,retained_patients,groups,weighting,foreground_dice,rim_dice,cup_dice,mean_iou,gain_macro_fg,gain_rim,gain_cup,harm,status,gain_minus_frozen_PPC,rim_drop,cup_drop
overall,all,CURRENT,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.6016731401004847,0.590006419290355,0.6133398609106141,0.6410333093069934,0.0,0.0,0.0,0.0,DEFINED,,0.0,0.0
overall,all,RIDGE_HARD_FROZEN,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.8156293208569301,0.8450382172518605,0.7862204244619995,0.8064013169687628,0.21395618075644546,0.2550317979615054,0.17288056355138545,0.02327432534468016,DEFINED,,0.0,0.0
overall,all,SHOR_FROZEN,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.8052579174291238,0.8272818180334889,0.7832340168247586,0.7986746918496165,0.2035847773286392,0.23727539874313386,0.16989415591414456,0.011308471586020583,DEFINED,,0.0,0.0
overall,all,PPC_FROZEN,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.802187012880861,0.8229198824608054,0.7814541433009166,0.7966557209696066,0.20051387278037644,0.2329134631704503,0.1681142823903025,0.011308471586020583,DEFINED,,0.0,0.0
overall,all,SHOR_CONFIDENCE_VETO,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.7909550604082277,0.8029393208510536,0.778970799965402,0.7894590670616495,0.18928192030774318,0.21293290156069858,0.16563093905478776,0.009056176094264446,DEFINED,,0.0,0.0
overall,all,SHOR_UV_CF,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.7701801578909564,0.7813331848005475,0.7590271309813655,0.7727050233089781,0.16850701779047195,0.19132676551019243,0.14568727007075147,0.0013979833936731722,DEFINED,,0.0,0.0
overall,all,SHOR_UV_GAIN_ONLY,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.6524409314590414,0.6453926319012603,0.6594892310168223,0.6802920726885737,0.050767791358556705,0.05538621261090523,0.04614937010620816,0.007620255407304603,DEFINED,,0.0,0.0
overall,all,SHOR_UV_ROUTED_ONLY,198,198,0,177,177,9,original_seed_domain_equal_then_case_equal,0.7821617658707879,0.7917514424485471,0.7725720892930288,0.7829233642781007,0.18048862577030333,0.201745023158192,0.15923222838241466,0.008459812760154842,DEFINED,,0.0,0.0
historical,history,CURRENT,168,168,0,149,149,6,original_seed_domain_equal_then_case_equal,0.47836333502033,0.4523580210160883,0.5043686490245717,0.5439769588628617,0.0,0.0,0.0,0.0,DEFINED,,0.0,0.0
historical,history,RIDGE_HARD_FROZEN,168,168,0,149,149,6,original_seed_domain_equal_then_case_equal,0.8223741661679327,0.8627653086165911,0.7819830237192744,0.810342038492819,0.3440108311476027,0.4104072876005027,0.2776143746947028,0.007051897358775681,DEFINED,,0.0,0.0
