trained_domain,REFUGE,RIM_ONE_r3,Drishti_GS
REFUGE,0.8525576244352948,,
RIM_ONE_r3,0.6231136659710039,0.7279752040614449,
Drishti_GS,0.6702902219320404,0.49779239073238724,0.76751239445359
