trained_domain,REFUGE,RIM_ONE_r3,Drishti_GS
REFUGE,0.8580286092210405,,
RIM_ONE_r3,0.4914287512938409,0.7165316051948647,
Drishti_GS,0.7207009352216482,0.5612747736448486,0.7836559145819095
