trained_domain,REFUGE,RIM_ONE_r3,Drishti_GS
REFUGE,0.9024738753443918,,
RIM_ONE_r3,0.6493589866592657,0.8065024392677714,
Drishti_GS,0.8093076726469977,0.6965142075373055,0.8531174459153298
