policy,three_domain_gain,historical_gain,REFUGE_gain,RIM_ONE_r3_gain,current_domain_drop,maximum_current_class_drop,maximum_seed_domain_drop,route_frequency,route_count,route_precision,route_precision_numerator,route_precision_denominator,historical_recall,historical_recall_numerator,historical_recall_denominator
C3,0.21708218085929243,0.3256232712889387,0.3399250900861954,0.3113214524916819,0.0,0.0,0.0,0.7755102040816326,38,1.0,38,38,0.926829268292683,38,41
C4,0.11330836336206514,0.1699625450430977,0.3399250900861954,0.0,0.0,0.0,0.0,0.5714285714285714,28,1.0,28,28,0.6829268292682927,28,41
C5,0.020747627739757475,0.031121441609636213,0.016454993294608214,0.045787889924664205,0.0,0.0,0.0,0.061224489795918366,3,1.0,3,3,0.07317073170731707,3,41
C6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0.0,0,41
