batch_id,seed,stage_index,domain,pair_index,candidate,primary,guard,guard_norm,dot,dual,halfspace_satisfied
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P2,False,class_sup_2,26.66944565774102,0.20632244363098806,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P2,False,class_old_2,15.992521037261126,5.329070518200751e-15,0.6402000112006948,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,global_supervised,0.7866015632046994,0.15211027346126282,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,sup_0,0.19186304027360904,0.00216672673359055,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,sup_1,0.7006647226587164,2.8102520310824275e-16,0.2487721177653494,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,sup_2,13.34482567492947,2.0986478623376277,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,sup_3,5.883059472868654,0.11982023508568906,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,sup_4,33.80882462986104,3.146501123717605,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,sup_5,22.645049091864557,-1.0658141036401503e-14,0.5992016235697566,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,global_supervised,0.7866015632046994,0.10848093016632844,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,sup_0,0.19186304027360904,0.002042606067932517,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,sup_1,0.7006647226587164,-6.938893903907228e-17,0.1690053756352093,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,sup_2,13.34482567492947,1.8292490204827079,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,sup_3,5.883059472868654,0.08052952610154013,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,sup_4,33.80882462986104,2.5668690383426958,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,sup_5,22.645049091864557,-7.549516567451064e-15,0.423402621655517,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,old_0,1.236001949738113,1.8908485888147197e-16,0.02493298803869494,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,old_1,2.4729485197137193,0.09211784236185026,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,old_2,8.3316714208046,-3.4555691641457997e-15,0.05444276859257818,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,old_3,7.101129372755749,0.45792124830960346,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,old_4,21.688304604672425,0.12676119676800268,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,old_5,12.161600326962489,1.5543122344752192e-15,0.261677572037581,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P1,False,global_supervised,0.782358707357414,0.5768834849417114,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,global_supervised,0.782358707357414,0.16875245209911532,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,class_sup_0,0.43648240824056356,0.0417872448040249,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,class_old_0,1.3065638737400576,-4.5428071027142636e-17,0.010904561710740168,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,class_sup_1,6.683849587910785,0.6530049839168759,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,class_old_1,7.119400362041437,1.021261293504221,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,class_sup_2,26.66944565774102,1.887379141862766e-15,0.4003192709853348,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,class_old_2,15.992521037261126,5.773159728050814e-15,0.24682484570084984,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,global_supervised,0.782358707357414,0.12721099192407048,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,sup_0,0.19186304027360904,0.02153034553471094,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,sup_1,0.7006647226587164,0.04750283989180652,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,sup_2,13.34482567492947,2.13857069454025,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,sup_3,5.883059472868654,0.12181253383694102,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,sup_4,33.80882462986104,2.002088432538568,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,sup_5,22.645049091864557,2.55351295663786e-15,0.6567345500305422,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,global_supervised,0.782358707357414,0.12613736691904037,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,sup_0,0.19186304027360904,0.02260278655944052,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,sup_1,0.7006647226587164,0.05283499861621777,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,sup_2,13.34482567492947,2.019503038012185,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,sup_3,5.883059472868654,0.0940234843592955,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,sup_4,33.80882462986104,1.923121063439749,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,sup_5,22.645049091864557,-8.992806499463768e-15,0.6246244017482464,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,old_0,1.236001949738113,-3.122502256758253e-16,0.017926927048294128,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,old_1,2.4729485197137193,0.030526492406356433,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,old_2,8.3316714208046,0.5968379799640817,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,old_3,7.101129372755749,0.6672736177574577,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,old_4,21.688304604672425,0.2518656705312795,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,old_5,12.161600326962489,-4.718447854656915e-15,0.039722247902853336,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P1,False,global_supervised,0.6837705629788734,0.3286242074296152,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,global_supervised,0.6837705629788734,0.3271623670503076,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,class_sup_0,0.43648240824056356,0.07780912506985384,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,class_old_0,1.3065638737400576,-1.3877787807814457e-17,0.052526380738490856,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,class_sup_1,6.683849587910785,0.2223700549470382,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,class_old_1,7.119400362041437,0.9196151717703072,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,class_sup_2,26.66944565774102,2.59126008191802,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,class_old_2,15.992521037261126,0.3487187096545954,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P3,False,global_supervised,0.6837705629788734,0.31455655884797423,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P3,False,sup_0,0.19186304027360904,0.03738138725030454,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P3,False,sup_1,0.7006647226587164,0.09014090490884019,0.0,True
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P3,False,sup_2,13.34482567492947,3.037860797136264,0.0,True
