batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P0,False,1.4122488906278836,1.4152867025162965,0.0030378118884129,-0.00135363527669774,"[0.03400397934399635, 0.0066361041036078205]","[-0.001048414460539937, -0.001658856092855654]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,1.4122488906278836,1.4152867025162965,0.0030378118884129,-0.00135363527669774,"[0.03400397934399635, 0.0066361041036078205]","[-0.001048414460539937, -0.001658856092855654]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,1.4122488906278836,1.410448927155855,-0.0017999634720287094,-3.910541204632523e-05,"[-0.008224865405255244, -0.02700595878502421]","[-0.00046102408272230555, 0.0003828132586295441]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,1.4122488906278836,1.4119508910367788,-0.0002979995911047695,-1.874054439010564e-05,"[0.005662385763733013, -0.02407605815367342]","[-0.000452048623878043, 0.00041456753509783173]"
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,1.4122488906278836,1.4119724567830652,-0.0002764338448184578,-1.5657040028704827e-05,"[0.0050794110780127966, -0.021132276883356393]","[-0.000457327628643478, 0.0004260135485858463]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,1.4122488906278836,1.4054810455661406,-0.006767845061742994,-0.0002442570826098889,"[-0.07181451777242565, -0.006029144422866395]","[0.0015873851880607859, -0.0020758993532806747]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P1,False,1.4122488906278836,1.4054810455661406,-0.006767845061742994,-0.0002442570826098889,"[-0.07181451777242565, -0.006029144422866395]","[0.0015873851880607859, -0.0020758993532806747]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P2,False,1.4122488906278836,1.4033457201314852,-0.008903170496398438,0.0014566635057331467,"[-0.07897931439205053, -0.04919207316463714]","[0.0014502151840354305, 0.001463111827430641]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,1.4122488906278836,1.4031143256487377,-0.009134564979145887,0.0017235595976482498,"[-0.07908791193872844, -0.059099697338081736]","[0.0014414588059592504, 0.0020056603893371383]"
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,1.4122488906278836,1.4027522369200096,-0.009496653707874003,0.0016902077212439526,"[-0.0839446426283903, -0.05450524815304858]","[0.0014794387683115806, 0.0019009766741761025]"
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P0,False,1.4122488906278836,1.407921709420571,-0.00432718120731268,-0.0009053060061139373,"[-0.046121601459992334, 0.002803423393961335]","[0.0010377884466117315, -0.002848400458839717]"
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P1,False,1.4122488906278836,1.407921709420571,-0.00432718120731268,-0.0009053060061139373,"[-0.046121601459992334, 0.002803423393961335]","[0.0010377884466117315, -0.002848400458839717]"
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P2,False,1.4122488906278836,1.4045661426481268,-0.0076827479797567655,0.0011604098053696887,"[-0.06424858098721664, -0.05043900315959071]","[0.0011199754093077496, 0.0012008442014314058]"
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P3,False,1.4122488906278836,1.4045196160000064,-0.007729274627877203,0.0012241972401898504,"[-0.0634775318151597, -0.05549435260404456]","[0.0010726716809807968, 0.001375722799398904]"
B0/seed0/stage1/RIM_ONE_r3/pair02,0,1,RIM_ONE_r3,2,P4,True,1.4122488906278836,1.404795263491388,-0.007453627136495555,0.0011622104168668157,"[-0.060850008254842436, -0.05391452001623076]","[0.0010173405592686091, 0.0013070802744649113]"
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P0,False,1.4122488906278836,1.4065421109511513,-0.0057067796767322765,0.0013221122513067396,"[-0.04314685314749589, -0.05215519069364527]","[0.0006026199547083388, 0.0020416045479049183]"
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P1,False,1.4122488906278836,1.4065421109511513,-0.0057067796767322765,0.0013221122513067396,"[-0.04314685314749589, -0.05215519069364527]","[0.0006026199547083388, 0.0020416045479049183]"
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P2,False,1.4122488906278836,1.40568941825814,-0.006559472369743524,0.0013821212882945133,"[-0.05198635212656022, -0.05375132708873842]","[0.0006795485857162831, 0.0020846939908727435]"
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P3,False,1.4122488906278836,1.4057929392599506,-0.006455951367932977,0.001309932411074577,"[-0.05150813104267904, -0.052442212720024806]","[0.0008416871765025702, 0.0017781776456464726]"
B0/seed0/stage1/RIM_ONE_r3/pair03,0,1,RIM_ONE_r3,3,P4,True,1.4122488906278836,1.4055763440424407,-0.006672546585442918,0.001288327951925794,"[-0.05423863545041918, -0.05099706689170791]","[0.0008239208550302468, 0.00175273504882123]"
B0/seed0/stage1/RIM_ONE_r3/pair04,0,1,RIM_ONE_r3,4,P0,False,1.4122488906278836,1.41731108213576,0.005062191507876346,0.00020667148829456305,"[0.05403450321015768, 0.0032472968658892043]","[-0.0013459767684820267, 0.0017593197450710418]"
B0/seed0/stage1/RIM_ONE_r3/pair04,0,1,RIM_ONE_r3,4,P1,False,1.4122488906278836,1.41731108213576,0.005062191507876346,0.00020667148829456305,"[0.05403450321015768, 0.0032472968658892043]","[-0.0013459767684820267, 0.0017593197450710418]"
