batch_id,seed,stage_index,domain,pair_index,candidate,primary,panel,class_id,mode,pixels,old_correct_pixels,CE_delta,Dice_delta,old_KL_delta
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,current,2,1,56070,16507,0.020109121775084837,-0.0031811162309964836,0.004510616018682079
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,train_labeled,0,0,1088216,1053535,-0.00011225535981884346,2.627195016347006e-05,0.0001106529149832447
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,train_labeled,0,1,1047141,990719,-0.0004481146238834409,0.00010528524589081822,0.0006501296562865244
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,train_labeled,1,0,32718,8075,0.0019342287453950058,-0.0001008321008247881,-0.00316151385857788
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,train_labeled,1,1,147563,66736,-0.00044535868126382994,0.0003206951117906698,-0.003156972122891566
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,train_labeled,2,0,17467,7011,0.011569000297680931,-0.006347751561253556,0.007791747168509056
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,train_labeled,2,1,26191,8239,0.009410440967020817,-0.004326533205321392,0.0030598698170469785
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,previous,0,0,957041,927068,-0.00017612000542102657,1.1521938843350732e-05,-3.1687134176117127e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,previous,0,1,1119863,1076252,-0.0005241293580244624,2.835054503158574e-05,0.00034311015660004607
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,previous,1,0,100406,9784,-0.025086299729426997,-0.0008595824506608674,-0.013731221048109532
