batch_id,unit_id,supported_FG_mode_indices,P2_worst_previous_mode_delta,P4_worst_previous_mode_delta,improvement,max_new_mode_worsening
B0/seed0/stage2/Drishti_GS/pair07,seed0_stage2,"[2, 3, 4, 5]",0.006994891242928292,0.008498686834491398,-0.0015037955915631063,0.0015831269242514434
B0/seed1/stage1/RIM_ONE_r3/pair00,seed1_stage1,"[2, 3, 4, 5]",0.02754203665773569,0.028269345347072594,-0.000727308689336903,0.005023063423527763
B0/seed1/stage1/RIM_ONE_r3/pair01,seed1_stage1,"[2, 3, 4, 5]",0.03215713094553485,0.031048976068045908,0.0011081548774889427,0.00344335809055063
B0/seed1/stage1/RIM_ONE_r3/pair02,seed1_stage1,"[2, 3, 4, 5]",0.028585481943849578,0.028151821849206282,0.0004336600946432956,0.0060107846185664116
B0/seed1/stage1/RIM_ONE_r3/pair03,seed1_stage1,"[2, 3, 4, 5]",0.019387100191599282,0.018977600994268595,0.0004094991973306872,0.0010771592978626732
B0/seed1/stage1/RIM_ONE_r3/pair04,seed1_stage1,"[2, 3, 4, 5]",0.02863204372505823,0.02587865212598639,0.0027533915990718416,0.005277020737711524
B0/seed1/stage1/RIM_ONE_r3/pair05,seed1_stage1,"[2, 3, 4, 5]",0.02949040648471324,0.02921791325725187,0.00027249322746136784,0.009282803314416777
B0/seed1/stage1/RIM_ONE_r3/pair06,seed1_stage1,"[2, 3, 4, 5]",0.03164761948672945,0.030979082288400628,0.0006685371983288224,0.0023609360224032816
B0/seed1/stage1/RIM_ONE_r3/pair07,seed1_stage1,"[2, 3, 4, 5]",0.023599407522786997,0.021096961981445617,0.0025024455413413804,0.0033947313598088336
B0/seed1/stage2/Drishti_GS/pair00,seed1_stage2,"[2, 3, 4, 5]",0.02525058565269145,0.015813847496128908,0.00943673815656254,0.0023144734297627367
B0/seed1/stage2/Drishti_GS/pair01,seed1_stage2,"[2, 3, 4, 5]",0.01147059000473405,0.01065965586500539,0.0008109341397286585,0.0019424222130894897
B0/seed1/stage2/Drishti_GS/pair02,seed1_stage2,"[2, 3, 4, 5]",0.0005038378257866682,0.005159836889544245,-0.0046559990637575766,0.0046559990637575766
B0/seed1/stage2/Drishti_GS/pair03,seed1_stage2,"[2, 3, 4, 5]",0.022857290972581712,0.012633366351434638,0.010223924621147074,0.002390789908251395
B0/seed1/stage2/Drishti_GS/pair04,seed1_stage2,"[2, 3, 4, 5]",0.023980846452587024,0.014363398170317954,0.00961744828226907,0.001989209460968311
B0/seed1/stage2/Drishti_GS/pair05,seed1_stage2,"[2, 3, 4, 5]",0.007930282952059997,0.006559646389293405,0.0013706365627665917,0.002392102727267975
B0/seed1/stage2/Drishti_GS/pair06,seed1_stage2,"[2, 3, 4, 5]",0.011394660437533677,0.00622511612649479,0.005169544311038887,0.0008968346453728238
B0/seed1/stage2/Drishti_GS/pair07,seed1_stage2,"[2, 3, 4, 5]",0.026260733047709817,0.016701665686538192,0.009559067361171625,0.0019870439122327
