batch_id,seed,stage_index,domain,pair_index,candidate,primary,norm,raw_norm,norm_ratio,zero_direction,direction_sha256,checkpoint_written,delta_sha256,optimizer_constructed,realized_delta_sha256,realized_step_norm,requested_step_norm,stateless,step_norm,step_valid
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P0,False,0.29686872224657296,0.29686872224657296,1.0,False,7fa4a9ce51aeaa5ad95e3b725c3d3856eccfedf185e71b06ae0724ba98c3ec8e,False,350e6469bad6a377ff93c6b57d86c2687db40d0d3c719df2e0e2c8a5af665281,False,b732cb97752d924b51ce66d0eba3420ff6ad45d603ed3bacb30ea41a06edf5f7,0.001000000000000002,0.001,True,0.0009999999999999998,True
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P1,False,0.29686872224657296,0.29686872224657296,1.0,False,7fa4a9ce51aeaa5ad95e3b725c3d3856eccfedf185e71b06ae0724ba98c3ec8e,False,350e6469bad6a377ff93c6b57d86c2687db40d0d3c719df2e0e2c8a5af665281,False,b732cb97752d924b51ce66d0eba3420ff6ad45d603ed3bacb30ea41a06edf5f7,0.001000000000000002,0.001,True,0.0009999999999999998,True
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P2,False,0.24213819675639223,0.29686872224657296,0.8156406472328779,False,e63b8cdc20e8de5f016b753a03ee6d5864aa89ed3c22ac2b651813ffc6e54e88,False,530ccb85bc50ba88d69bfea308c0c7fea4f6eb97ccbd8ec55fac204459a2c63d,False,a94db620ebe0a8f102ebdc631f081f47b56168e02ddc0b0392fe6918e0792689,0.0009999999999999998,0.001,True,0.0009999999999999996,True
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,0.20962445122587742,0.29686872224657296,0.7061183463166177,False,df18b6f856a2275b7c7c4a71daa2bbf4809ef204980f0350ae0383b3d5b5cc4c,False,4d2291abb86bfc36c23f731f0a72a7059d29c475e779edb2969e2bbb620f1267,False,6b847cc05e7c974c7359ce231f342e164ea3bd8a7629707117a30618cc415851,0.000999999999999993,0.001,True,0.001,True
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,0.2051094350990552,0.29686872224657296,0.6909095493350612,False,0158fa7da6440fdc8664f3ced8a88c3c723a70b40108121a4f665c28d18f1a6b,False,0917bf081ea5cf857a79ffa3119ee65e856e2c417eda26e51fc9fb1415fe6ac1,False,da02f9fa944c896ea001b80d316f097231076f28854c8b10aac3b80e0fa81a47,0.0009999999999999918,0.001,True,0.0010000000000000002,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,0.7743644707071409,0.7743644707071409,1.0,False,c6ae436ab36fe55181f64b4dc6d2d1bf3abb6ffc0e0a17636f8659151957da65,False,66e52888807fab74e73d8e7801c6fb5657cafe6306b153b3f30fd3d66268d7b3,False,fd577ed5f26ec432e1e28c92aa6a8a1fad4f82cbaf8752d03afd9711f67f4e28,0.0010000000000000037,0.001,True,0.0010000000000000002,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P1,False,0.7743644707071409,0.7743644707071409,1.0,False,c6ae436ab36fe55181f64b4dc6d2d1bf3abb6ffc0e0a17636f8659151957da65,False,66e52888807fab74e73d8e7801c6fb5657cafe6306b153b3f30fd3d66268d7b3,False,fd577ed5f26ec432e1e28c92aa6a8a1fad4f82cbaf8752d03afd9711f67f4e28,0.0010000000000000037,0.001,True,0.0010000000000000002,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P2,False,0.33728876549769843,0.7743644707071409,0.4355684929471133,False,9f5d2b32fbdb42355961cd33e7aa81aa92b601ac9ffc4720d487454318b780d6,False,f55395051a717f1df07b1aba7956e9ad2ee7a0a4b46d57e134105c84e323415f,False,916170ca75d73f0972822e90a31e6276cd539ee9c2f97d7c3950925c7ae6f644,0.0010000000000000052,0.001,True,0.0009999999999999996,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P3,False,0.37879880830482626,0.7743644707071409,0.489173796880055,False,a607c77c06c30e1534d5f817460b4da65e22fa13eaa283486856ab568d502ce7,False,702d0d57888e90e7347b253a0f9df3b600f8dfb7473ed83195914143abd8c7b2,False,cd7039ad157ec8496880851ef47ecb9b065c7c45c1dd104932888cfd92497b48,0.0010000000000000024,0.001,True,0.0009999999999999992,True
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P4,True,0.3187857259941676,0.7743644707071409,0.41167400888506167,False,32c0e4739b2c340f76c4459ff675e321ffa8f02d8558d9a2a27ad9e2288e561f,False,33854dc04cd82609e17bc7cd904e3e918363485b357317a2ef2e503a5ad4896f,False,718f4afa95c1f19a514018875f7703df9ca129923f1a24edc161c50293b7af3e,0.0009999999999999979,0.001,True,0.0010000000000000007,True
