task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,actual_diagnostic_positions,status,actual_updates,training_source,student_hash,source_student_hash
O1_s61_DPR_U,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,DPR_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,f1371ac69f4821df1ce1eb15a296756b0662daf4fa20ca845ea4d24f132c56d5,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_RESPONSE_U,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,RESPONSE_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,35a8901b99253b8e3fa3c36578e70f29d38c8b6f7e145a692239c39243df9453,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O1_s61_DPR_L,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,DPR_L,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,ff3500f9df8c29e6e49e8ddee2463e7fca5bc198027e6961a398b8ac6947e268,4e9310c073e7b8b5ce34d6cad01a73acb99e80553502bce03f12dd4c630e421a
O2_s61_DPR_U,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,DPR_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,eac6b080ab8276a24843e7493745dfbe5b5d8f0035d229292a06c21a14e4bfde,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_RESPONSE_U,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,RESPONSE_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,c92714c26255aa0894656b4996c926dcfbe2bae3f0f646a7df2f46c64e7ebd95,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O2_s61_DPR_L,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,DPR_L,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,2f881794c86953f6cbb148126755ff255e70cd543b6acc7ac56bcec2cc9c0b75,072c139af34818fecefb4bb96b0cdb062d470ce24ea39d53ee2537ab7f1ec3aa
O1_s62_DPR_U,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,DPR_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,2b24c3003a61206db5da72a664bc1c111be533c4a8d1fbcc269a810051552b56,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_RESPONSE_U,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,RESPONSE_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,8ed9e316df9154e50dd5dfb73978bdd9dae6216fe86265201723fb1242309657,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O1_s62_DPR_L,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,DPR_L,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,82dccd633198925268313d4b6e92b99aa3440b62297e203674e077393d986233,b531e6171d5097badd6863cdde48d7141f1ffc8bedb6c5eda2c5d0418921ec02
O2_s62_DPR_U,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,DPR_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,f5905dddccf6af3b4a2d1aef9d489bfc356b569b131637a7852287e79e853b6b,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_RESPONSE_U,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,RESPONSE_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,b40f5daec1d43dfa7efec9bf8821eabe1e69439fc5db4bda04780c5135770f04,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O2_s62_DPR_L,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,DPR_L,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,549d368bea8ddbf9d0f480dadfbb814a429d7b5dc0fe3b04802d2a72770956f8,877a146319f5e5e7d4d0e6eea2a8bc7850e4b787471596394110f856d085fd47
O1_s63_DPR_U,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,DPR_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,0c51fd918a96e8ad9d04c1e5a62d0bfbe2d5885ff15f24dfb156ad4f5613514d,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_RESPONSE_U,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,RESPONSE_U,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,7e8f2dc98f9e5bbdc0d8318c36b6dc5c77ca45c8b31dd32e73985b544bc50ec8,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O1_s63_DPR_L,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,DPR_L,21,2100,"[820, 1320, 1820]",COMPLETE,2100,12ba9232204d5f183f48b67261a91efc0e4f6392,52f8e1f4996c24c10d5022b411fc6385d19e63474bd526398dea392286f13277,d8883da08f329a28aa3d0d8f4739746ee387b8e99b991627cacd11d1d2ca69f9
O2_s63_DPR_U,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,DPR_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,61f8e70cdf8a21fafee08410724c2c5d3a6057067faf4ab52c2502915369295d,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
O2_s63_RESPONSE_U,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,RESPONSE_U,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,0f43dc23c4f6d952bc9fa3ab99a64f77777da50a000990509bbdd89f156cc52c,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
O2_s63_DPR_L,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,DPR_L,32,3200,"[1249, 1749, 2249, 2749]",COMPLETE,3200,12ba9232204d5f183f48b67261a91efc0e4f6392,b075cc0072b9320d3210290d0bc720e481d19f1b74fad95fdda01f09d0ca992e,4632e0f40bdcd46dccdf272f870b1062e5be533252efa7b99584b248990d9e69
