task_id,arm,epoch,steps,loss_mean_per_step,CE_mean_per_step,GT_Dice_mean_per_step,anchor_label_records_mean_per_step,response_images_mean_per_step,response_VJP_mean_per_step,donor_context_records_mean_per_step,lambda_response_mean_per_step,g_norm_mean_per_step,d0_norm_mean_per_step,correction_ratio_mean_per_step,g_dot_d0_mean_per_step,g_dot_dstar_mean_per_step,g_dot_applied_mean_per_step,Jd0_norm_mean_per_step,Jdstar_norm_mean_per_step,Japplied_norm_mean_per_step,raw_non_descent_mean_per_step,condition_number_mean_per_step,zero_probe_mean_per_step,zero_task_gradient_mean_per_step,applied_progress_residual_mean_per_step,applied_progress_budget_mean_per_step
O1_s61_DPR_U,DPR_U,1,21,0.5716865390244998,0.22790958625929697,0.3437769527652031,2.0,0.0,0.0,0.0,0.0,6.912931348871946,0.24021470060601305,0.0,-0.17785444324477698,-0.17785444324477698,-0.17785444324477698,0.0,0.0,0.0,0.047619047619047616,1.0,0.0,0.0,0.0,9.029440992813502e-07
O1_s61_DPR_U,DPR_U,2,21,0.35321814475532226,0.10278921911404246,0.2504289256412798,2.0,0.0,0.0,0.0,0.0,4.0351870242773105,0.0727032990338065,0.0,-0.0228066759658683,-0.0228066759658683,-0.0228066759658683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.32711088846666e-07
O1_s61_DPR_U,DPR_U,3,21,0.34978499335204655,0.11320213068808828,0.23658286266395825,2.0,0.0,0.0,0.0,0.0,5.115054107424531,0.07221810863901476,0.0,-0.033144678461307885,-0.033144678461307885,-0.033144678461307885,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,6.904634884940609e-07
O1_s61_DPR_U,DPR_U,4,21,0.2881296089247769,0.08487374459703763,0.20325586432773932,2.0,0.0,0.0,0.0,0.0,4.613290782179716,0.062192952748498134,0.0,-0.028663295217257728,-0.028663295217257728,-0.028663295217257728,0.0,0.0,0.0,0.19047619047619047,1.0,0.0,0.0,0.0,6.110457046214899e-07
O1_s61_DPR_U,DPR_U,5,21,0.24360047696465484,0.06870073239718165,0.17489974456747318,2.0,0.0,0.0,0.0,0.0,3.479788037021712,0.06121189191646276,0.0,-0.015307429425486765,-0.015307429425486765,-0.015307429425486765,0.0,0.0,0.0,0.047619047619047616,1.0,0.0,0.0,0.0,4.578189250520105e-07
O1_s61_DPR_U,DPR_U,6,21,0.22829266167979462,0.06747883097046897,0.16081383070932564,2.0,0.0,0.0,0.0,0.0,4.499720435408172,0.07939715699365428,0.0,-0.031880843774143866,-0.031880843774143866,-0.031880843774143866,0.0,0.0,0.0,0.047619047619047616,1.0,0.0,0.0,0.0,6.252305857840403e-07
O1_s61_DPR_U,DPR_U,7,21,0.21026108735555762,0.060481300488823934,0.1497797868667337,2.0,0.0,0.0,0.0,0.0,4.073872284859613,0.07555120043786907,0.0,-0.02408113352438948,-0.02408113352438948,-0.02408113352438948,0.0,0.0,0.0,0.09523809523809523,1.0,0.0,0.0,0.0,5.739533905414373e-07
O1_s61_DPR_U,DPR_U,8,21,0.24468621528278842,0.0777916441715899,0.16689457111119857,2.0,0.0,0.0,0.0,0.0,5.236400562651984,0.1175305823934243,0.0,-0.046513858510648126,-0.046513858510648126,-0.046513858510648126,0.0,0.0,0.0,0.09523809523809523,1.0,0.0,0.0,0.0,7.22927307322036e-07
O1_s61_DPR_U,DPR_U,9,21,0.2643373782045811,0.08454414102293197,0.17979323718164913,2.0,0.0,0.0,0.0,0.0,5.252987129297981,0.13243167615048954,0.0,-0.0413085290208945,-0.0413085290208945,-0.0413085290208945,0.0,0.0,0.0,0.23809523809523808,1.0,0.0,0.0,0.0,6.801514400012999e-07
O1_s61_DPR_U,DPR_U,10,21,0.21450635922782366,0.06102983582587469,0.15347652340194898,2.0,0.0,0.0,0.0,0.0,3.7781370897882662,0.10455338493510287,0.0,-0.02167121314419619,-0.02167121314419619,-0.02167121314419619,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,5.162725968024736e-07
