task_id,source_task_id,seed,order,source_domain,domain,arm,steps_per_epoch,updates,actual_diagnostic_positions
O1_s61_DPR_U,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,DPR_U,21,2100,"[820, 1320, 1820]"
O1_s61_RESPONSE_U,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,RESPONSE_U,21,2100,"[820, 1320, 1820]"
O1_s61_DPR_L,O1_s61_SRC_CE,61,O1,RIM_ONE_r3,Drishti_GS,DPR_L,21,2100,"[820, 1320, 1820]"
O2_s61_DPR_U,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,DPR_U,32,3200,"[1249, 1749, 2249, 2749]"
O2_s61_RESPONSE_U,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,RESPONSE_U,32,3200,"[1249, 1749, 2249, 2749]"
O2_s61_DPR_L,O2_s61_SRC_CE,61,O2,Drishti_GS,RIM_ONE_r3,DPR_L,32,3200,"[1249, 1749, 2249, 2749]"
O1_s62_DPR_U,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,DPR_U,21,2100,"[820, 1320, 1820]"
O1_s62_RESPONSE_U,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,RESPONSE_U,21,2100,"[820, 1320, 1820]"
O1_s62_DPR_L,O1_s62_SRC_CE,62,O1,RIM_ONE_r3,Drishti_GS,DPR_L,21,2100,"[820, 1320, 1820]"
O2_s62_DPR_U,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,DPR_U,32,3200,"[1249, 1749, 2249, 2749]"
O2_s62_RESPONSE_U,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,RESPONSE_U,32,3200,"[1249, 1749, 2249, 2749]"
O2_s62_DPR_L,O2_s62_SRC_CE,62,O2,Drishti_GS,RIM_ONE_r3,DPR_L,32,3200,"[1249, 1749, 2249, 2749]"
O1_s63_DPR_U,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,DPR_U,21,2100,"[820, 1320, 1820]"
O1_s63_RESPONSE_U,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,RESPONSE_U,21,2100,"[820, 1320, 1820]"
O1_s63_DPR_L,O1_s63_SRC_CE,63,O1,RIM_ONE_r3,Drishti_GS,DPR_L,21,2100,"[820, 1320, 1820]"
O2_s63_DPR_U,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,DPR_U,32,3200,"[1249, 1749, 2249, 2749]"
O2_s63_RESPONSE_U,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,RESPONSE_U,32,3200,"[1249, 1749, 2249, 2749]"
O2_s63_DPR_L,O2_s63_SRC_CE,63,O2,Drishti_GS,RIM_ONE_r3,DPR_L,32,3200,"[1249, 1749, 2249, 2749]"
