seed,variant,trained_through_site,trained_through_site_index,evaluation_site,class,boundary_candidate_count,interior_candidate_count,boundary_admission_rate,interior_admission_rate,boundary_coverage_ratio,jsd_boundary_interior,jsd_component_size_quartile,jsd_patient,jsd_learnability_decile
0,R0,REFUGE,0,Drishti_GS,1,3682,11557,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,REFUGE,0,Drishti_GS,2,437,10176,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,REFUGE,0,REFUGE,1,16476,89486,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,REFUGE,0,REFUGE,2,4788,30699,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,REFUGE,0,RIM_ONE_r3,1,5231,15144,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,REFUGE,0,RIM_ONE_r3,2,2927,11085,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,RIM_ONE_r3,1,Drishti_GS,1,3199,9010,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,RIM_ONE_r3,1,Drishti_GS,2,56,5957,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,RIM_ONE_r3,1,REFUGE,1,10958,68410,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,RIM_ONE_r3,1,REFUGE,2,1643,23739,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,RIM_ONE_r3,1,RIM_ONE_r3,1,5363,23378,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,RIM_ONE_r3,1,RIM_ONE_r3,2,1484,9147,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,Drishti_GS,2,Drishti_GS,1,3958,15684,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,Drishti_GS,2,Drishti_GS,2,905,13504,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,Drishti_GS,2,REFUGE,1,9460,60647,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,Drishti_GS,2,REFUGE,2,6545,30188,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,Drishti_GS,2,RIM_ONE_r3,1,5696,19385,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R0,Drishti_GS,2,RIM_ONE_r3,2,1934,9099,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0,R1,REFUGE,0,Drishti_GS,1,3672,11684,0.8090958605664488,0.8543307086614174,0.9470522976215575,0.0003666622776758643,0.00031944700147092304,4.8803590800129305e-08,0.05635860147057947
0,R1,REFUGE,0,Drishti_GS,2,433,9994,0.628175519630485,0.8298979387632579,0.7569310517466925,0.0009763644804165429,0.000894484524363089,2.90139306017587e-07,0.0433443682324253
0,R1,REFUGE,0,REFUGE,1,16844,90710,0.5768226074566611,0.8779847866828354,0.6569847407447544,0.003950538249942037,0.0024093105101277833,2.8765949800806423e-08,0.061294075386083266
0,R1,REFUGE,0,REFUGE,2,4948,31007,0.574575586095392,0.8827361563517915,0.6509029702261453,0.0057957437379751765,0.004093736247661512,3.5350922597229894e-07,0.05153221817076939
0,R1,REFUGE,0,RIM_ONE_r3,1,5562,16294,0.8567062207838907,0.8508039769240211,1.0069372546672952,0.0004840854715863329,0.00035870402616115793,3.8305213346654033e-08,0.052119883607782365
0,R1,REFUGE,0,RIM_ONE_r3,2,2802,10831,0.8486795146324054,0.9095189733173299,0.9331080928823047,0.003096911316886615,0.0027198448926019246,5.132342354154797e-05,0.048971987137027856
0,R1,RIM_ONE_r3,1,Drishti_GS,1,3609,10994,0.8584095317262399,0.7491358923048935,1.1458662447545267,0.00032285060609794523,0.00022080928570694408,1.4853004439665095e-06,0.044111604651704744
0,R1,RIM_ONE_r3,1,Drishti_GS,2,87,7778,0.3333333333333333,0.8076626382103369,0.41271357317202584,0.0008620670838792985,0.0001552460342075185,3.126746603658416e-05,0.03355997447921914
0,R1,RIM_ONE_r3,1,REFUGE,1,9883,75110,0.7840736618435697,0.8032618825722274,0.9761121233996407,1.2823780080508214e-05,1.0520734235591083e-05,4.874177425193235e-08,0.04701918743216662
0,R1,RIM_ONE_r3,1,REFUGE,2,2915,26770,0.5433962264150943,0.8412775494957041,0.6459178980121698,0.0023568527265672083,0.0012177545743593961,5.564763300846415e-07,0.038156917270087846
0,R1,RIM_ONE_r3,1,RIM_ONE_r3,1,5381,24148,0.6448615498977885,0.8857462315719729,0.7280432328267706,0.0025099206330030568,0.001934881442097552,5.73279366665806e-08,0.038901424133435406
0,R1,RIM_ONE_r3,1,RIM_ONE_r3,2,1507,8997,0.6376907763769077,0.8758475047237968,0.7280842531805887,0.0031161913147490002,0.0026847429258362848,1.3738870870534005e-06,0.03723354726658443
0,R1,Drishti_GS,2,Drishti_GS,1,4118,16687,0.7158814958717824,0.8839216156289327,0.809892509939826,0.0017784646114791906,0.0013231966175293957,1.2666345832252282e-07,0.039243014994507795
0,R1,Drishti_GS,2,Drishti_GS,2,806,14478,0.5285359801488834,0.8329879817654372,0.6345061294026147,0.0029237075322305754,0.002393617742773814,1.8959483641924014e-06,0.043916660429995105
0,R1,Drishti_GS,2,REFUGE,1,9260,62609,0.7222462203023758,0.8342889999840278,0.8657026765499761,0.0005197530099655973,0.00040808971042175196,5.760420789347725e-08,0.04357793588200646
0,R1,Drishti_GS,2,REFUGE,2,7168,30911,0.7681361607142857,0.9033353822263919,0.8503333045818603,0.004462049937133766,0.004540095155578831,1.764190764465048e-07,0.044352161398514285
0,R1,Drishti_GS,2,RIM_ONE_r3,1,5365,17727,0.8057781919850885,0.8037456986517741,1.0025287766226603,1.1113140383816104e-05,2.1878595039619e-05,6.320055525289279e-08,0.046984217114015264
0,R1,Drishti_GS,2,RIM_ONE_r3,2,2292,9716,0.768760907504363,0.8929600658707287,0.8609129757160432,0.0023151675377135403,0.002232592837395057,5.08524820772875e-06,0.042131474404589746
1,R0,REFUGE,0,Drishti_GS,1,4914,17664,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,REFUGE,0,Drishti_GS,2,411,8633,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,REFUGE,0,REFUGE,1,19114,94317,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,REFUGE,0,REFUGE,2,4334,29992,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,REFUGE,0,RIM_ONE_r3,1,9019,27841,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,REFUGE,0,RIM_ONE_r3,2,1474,8792,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,RIM_ONE_r3,1,Drishti_GS,1,3292,12665,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,RIM_ONE_r3,1,Drishti_GS,2,324,8747,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,RIM_ONE_r3,1,REFUGE,1,12943,65011,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,RIM_ONE_r3,1,REFUGE,2,1846,21050,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1,R0,RIM_ONE_r3,1,RIM_ONE_r3,1,5510,25377,1.0,1.0,1.0,0.0,0.0,0.0,0.0
