seed,variant,trained_through_site_index,trained_through_site,class,k,candidate_count,overall_admission_rate,objective,mode_jsd,smallest_cluster,largest_cluster,smallest_cluster_admission_rate,largest_cluster_admission_rate,smallest_cluster_retention_ratio,criterion_jsd,criterion_admission_gap,criterion_retention,mode_coverage_problem,cluster,cluster_occupancy,candidate_proportion,admitted_proportion,deferred_proportion,cluster_accuracy,cluster_admission_rate,smallest_cluster_retention,cluster_to_anchor_cosine,site_origin_composition,boundary_composition
0,R0,0,REFUGE,1,2,187712,1.0,14314.282585799694,0.0,1,0,1.0,1.0,1.0,False,False,False,False,0,109728,0.5845550630753494,0.5845550630753494,nan,0.8192348352289297,1.0,1.0,0.9825907349586487,"{""Drishti_GS"": 0.11548556430446194, ""REFUGE"": 0.7297134733158355, ""RIM_ONE_r3"": 0.15480096237970253}",0.10154199475065617
0,R0,0,REFUGE,1,2,187712,1.0,14314.282585799694,0.0,1,0,1.0,1.0,1.0,False,False,False,False,1,77984,0.4154449369246505,0.4154449369246505,nan,0.5323784366023799,1.0,1.0,0.8984880447387695,"{""Drishti_GS"": 0.20795291341813704, ""REFUGE"": 0.5544598892080427, ""RIM_ONE_r3"": 0.23758719737382028}",0.18269132129667623
0,R0,0,REFUGE,2,2,73098,1.0,9437.99135273695,0.0,0,1,1.0,1.0,1.0,False,False,False,False,0,30809,0.4214752797614162,0.4214752797614162,nan,0.7829854912525561,1.0,1.0,0.940803587436676,"{""Drishti_GS"": 0.1089941250933169, ""REFUGE"": 0.630951994547048, ""RIM_ONE_r3"": 0.26005388035963517}",0.12756012853386997
0,R0,0,REFUGE,2,2,73098,1.0,9437.99135273695,0.0,0,1,1.0,1.0,1.0,False,False,False,False,1,42289,0.5785247202385838,0.5785247202385838,nan,0.7667242072406536,1.0,1.0,0.933600664138794,"{""Drishti_GS"": 0.18323914020194376, ""REFUGE"": 0.4764359526117903, ""RIM_ONE_r3"": 0.34032490718626596}",0.09983683700253021
0,R0,1,RIM_ONE_r3,1,2,153778,1.0,11234.812655806541,0.0,0,1,1.0,1.0,1.0,False,False,False,False,0,73159,0.4757442547048342,0.4757442547048342,nan,0.6964146584835769,1.0,1.0,0.9581767320632935,"{""Drishti_GS"": 0.11008898426714417, ""REFUGE"": 0.6596044232425265, ""RIM_ONE_r3"": 0.23030659249032928}",0.14230648313946337
0,R0,1,RIM_ONE_r3,1,2,153778,1.0,11234.812655806541,0.0,0,1,1.0,1.0,1.0,False,False,False,False,1,80619,0.5242557452951657,0.5242557452951657,nan,0.765427504682519,1.0,1.0,0.9318308234214783,"{""Drishti_GS"": 0.21162505116659844, ""REFUGE"": 0.5330753296369343, ""RIM_ONE_r3"": 0.2552996191964673}",0.11298825338939952
0,R0,1,RIM_ONE_r3,2,2,45001,1.0,4036.1897520422935,0.0,0,1,1.0,1.0,1.0,False,False,False,False,0,20087,0.44636785849203353,0.44636785849203353,nan,0.9006322497137452,1.0,1.0,0.9686659574508667,"{""Drishti_GS"": 0.09244785184447653, ""REFUGE"": 0.6413600836361826, ""RIM_ONE_r3"": 0.26619206451934085}",0.1004629860108528
0,R0,1,RIM_ONE_r3,2,2,45001,1.0,4036.1897520422935,0.0,0,1,1.0,1.0,1.0,False,False,False,False,1,24914,0.5536321415079665,0.5536321415079665,nan,0.918640122019748,1.0,1.0,0.9277727007865906,"{""Drishti_GS"": 0.16886088143212652, ""REFUGE"": 0.5333948783816328, ""RIM_ONE_r3"": 0.2977442401862407}",0.04676085734928153
0,R0,2,Drishti_GS,1,2,147201,1.0,5815.259503483772,0.0,0,1,1.0,1.0,1.0,False,False,False,False,0,57537,0.390873703303646,0.390873703303646,nan,0.7664633192554356,1.0,1.0,0.9474924802780151,"{""Drishti_GS"": 0.17246293689278203, ""REFUGE"": 0.6044805950953299, ""RIM_ONE_r3"": 0.223056468011888}",0.11198011714201296
0,R0,2,Drishti_GS,1,2,147201,1.0,5815.259503483772,0.0,0,1,1.0,1.0,1.0,False,False,False,False,1,89664,0.609126296696354,0.609126296696354,nan,0.7162071734475375,1.0,1.0,0.9274322986602783,"{""Drishti_GS"": 0.19579764453961457, ""REFUGE"": 0.5477672198429693, ""RIM_ONE_r3"": 0.25643513561741615}",0.14131647037830122
0,R0,2,Drishti_GS,2,2,79742,1.0,6993.713471353054,0.0,1,0,1.0,1.0,1.0,False,False,False,False,0,51073,0.6404780416844323,0.6404780416844323,nan,0.6796154523916746,1.0,1.0,0.921410322189331,"{""Drishti_GS"": 0.19842186673976464, ""REFUGE"": 0.5577506706087365, ""RIM_ONE_r3"": 0.24382746265149882}",0.1293246921073757
0,R0,2,Drishti_GS,2,2,79742,1.0,6993.713471353054,0.0,1,0,1.0,1.0,1.0,False,False,False,False,1,28669,0.3595219583155677,0.3595219583155677,nan,0.830897485088423,1.0,1.0,0.9779683351516724,"{""Drishti_GS"": 0.17865987652167847, ""REFUGE"": 0.7079772576650738, ""RIM_ONE_r3"": 0.11336286581324775}",0.09693397049077401
0,R1,0,REFUGE,1,2,199061,0.8005284812193247,12587.989290177822,0.002858202852639411,1,0,0.6453040036159925,0.8904341065591977,0.8060974952859864,False,True,False,True,0,126052,0.6332330290714906,0.7043500633809003,0.3478228020248319,0.7672706502078507,0.8904341065591977,0.6453040036159925,0.9891690015792847,"{""Drishti_GS"": 0.12250499793735918, ""REFUGE"": 0.694887824072605, ""RIM_ONE_r3"": 0.18260717799003587}",0.09956208548852855
0,R1,0,REFUGE,1,2,199061,0.8005284812193247,12587.989290177822,0.002858202852639411,1,0,0.6453040036159925,0.8904341065591977,0.8060974952859864,False,True,False,True,1,73009,0.36676697092850935,0.2956499366190996,0.6521771979751682,0.5111150680053144,0.6453040036159925,0.6453040036159925,0.8800075054168701,"{""Drishti_GS"": 0.23071128217069128, ""REFUGE"": 0.46203892670766616, ""RIM_ONE_r3"": 0.3072497911216425}",0.1852922242463258
0,R1,0,REFUGE,2,2,73679,0.8013409519673177,8153.967262744904,0.005966795009419202,1,0,0.6087716072085325,0.9543981876202772,0.7596911223792803,False,True,False,True,0,41051,0.5571601134651665,0.6635784695640392,0.12789506046320967,0.8629753233782368,0.9543981876202772,0.6087716072085325,0.9723848700523376,"{""Drishti_GS"": 0.13502716133589926, ""REFUGE"": 0.5701931743441085, ""RIM_ONE_r3"": 0.2947796643199922}",0.07541838201261845
0,R1,0,REFUGE,2,2,73679,0.8013409519673177,8153.967262744904,0.005966795009419202,1,0,0.6087716072085325,0.9543981876202772,0.7596911223792803,False,True,False,True,1,32628,0.4428398865348335,0.33642153043596085,0.8721049395367904,0.6407073679048669,0.6087716072085325,0.6087716072085325,0.9221550822257996,"{""Drishti_GS"": 0.19087899963221772, ""REFUGE"": 0.5007662130685301, ""RIM_ONE_r3"": 0.3083547872992522}",0.1559090351845041
0,R1,1,RIM_ONE_r3,1,2,163825,0.8006104074469709,9261.15814089775,0.0015547618648329136,1,0,0.9125246043923684,0.7278961572544913,1.1397860880953015,False,False,False,False,0,99304,0.6061590111399359,0.5511055199756023,0.8272156742690954,0.7677636348988963,0.7278961572544913,0.9125246043923684,0.9667955636978149,"{""Drishti_GS"": 0.20646701039233062, ""REFUGE"": 0.553170063642955, ""RIM_ONE_r3"": 0.24036292596471442}",0.10203012970273101
0,R1,1,RIM_ONE_r3,1,2,163825,0.8006104074469709,9261.15814089775,0.0015547618648329136,1,0,0.9125246043923684,0.7278961572544913,1.1397860880953015,False,False,False,False,1,64521,0.3938409888600641,0.4488944800243977,0.17278432573090463,0.7040808418964368,0.9125246043923684,0.9125246043923684,0.9632338285446167,"{""Drishti_GS"": 0.15193502890531765, ""REFUGE"": 0.6206351420467755, ""RIM_ONE_r3"": 0.22742982904790687}",0.1354752716169929
0,R1,1,RIM_ONE_r3,2,2,51150,0.8018572825024438,3361.2461996674538,0.0018323071807491102,1,0,0.6932894561302085,0.8870320622405191,0.864604551531395,False,False,False,False,0,28663,0.5603714565004888,0.6198951603072047,0.3194869264923532,0.9419809510518787,0.8870320622405191,0.6932894561302085,0.8791579604148865,"{""Drishti_GS"": 0.17988347346753655, ""REFUGE"": 0.5951924083312982, ""RIM_ONE_r3"": 0.22492411820116526}",0.05240205142518229
