seed,variant,trained_through_site_index,trained_through_site,class,k,candidate_count,overall_admission_rate,objective,mode_jsd,smallest_cluster,largest_cluster,smallest_cluster_admission_rate,largest_cluster_admission_rate,smallest_cluster_retention_ratio,criterion_jsd,criterion_admission_gap,criterion_retention,mode_coverage_problem,cluster,cluster_occupancy,candidate_proportion,admitted_proportion,deferred_proportion,cluster_accuracy,cluster_admission_rate,smallest_cluster_retention,cluster_to_anchor_cosine,site_origin_composition,boundary_composition
0,R0,1,RIM_ONE_r3,2,4,45001,1.0,2910.6241313815117,0.0,3,0,1.0,1.0,1.0,False,False,False,False,0,13106,0.29123797248950023,0.29123797248950023,nan,0.9614680299099649,1.0,1.0,0.925054669380188,"{""Drishti_GS"": 0.10109873340454753, ""REFUGE"": 0.6432168472455364, ""RIM_ONE_r3"": 0.2556844193499161}",0.029070654661986876
0,R0,1,RIM_ONE_r3,2,4,45001,1.0,2910.6241313815117,0.0,3,0,1.0,1.0,1.0,False,False,False,False,1,12028,0.26728294926779406,0.26728294926779406,nan,0.9160292650482208,1.0,1.0,0.9675623178482056,"{""Drishti_GS"": 0.11124043897572332, ""REFUGE"": 0.6853175922846692, ""RIM_ONE_r3"": 0.20344196873960757}",0.08729630861323578
0,R0,1,RIM_ONE_r3,2,4,45001,1.0,2910.6241313815117,0.0,3,0,1.0,1.0,1.0,False,False,False,False,2,10776,0.2394613453034377,0.2394613453034377,nan,0.858203414996288,1.0,1.0,0.8628405332565308,"{""Drishti_GS"": 0.2481440237564959, ""REFUGE"": 0.3676688938381589, ""RIM_ONE_r3"": 0.3841870824053452}",0.06746473645137342
0,R0,1,RIM_ONE_r3,2,4,45001,1.0,2910.6241313815117,0.0,3,0,1.0,1.0,1.0,False,False,False,False,3,9091,0.20201773293926803,0.20201773293926803,nan,0.8922010779892201,1.0,1.0,0.920607328414917,"{""Drishti_GS"": 0.07996920030799692, ""REFUGE"": 0.6090639093609064, ""RIM_ONE_r3"": 0.3109668903310967}",0.11274887251127488
0,R0,2,Drishti_GS,1,4,147201,1.0,3835.8074791431427,0.0,0,2,1.0,1.0,1.0,False,False,False,False,0,27404,0.18616721353795151,0.18616721353795151,nan,0.6250547365348125,1.0,1.0,0.939296305179596,"{""Drishti_GS"": 0.2219748941760327, ""REFUGE"": 0.431980732739746, ""RIM_ONE_r3"": 0.34604437308422126}",0.1355276601955919
0,R0,2,Drishti_GS,1,4,147201,1.0,3835.8074791431427,0.0,0,2,1.0,1.0,1.0,False,False,False,False,1,27826,0.1890340418883024,0.1890340418883024,nan,0.8031696974053044,1.0,1.0,0.8907279372215271,"{""Drishti_GS"": 0.13473010853158915, ""REFUGE"": 0.6716020987565586, ""RIM_ONE_r3"": 0.19366779271185222}",0.11183784949327967
0,R0,2,Drishti_GS,1,4,147201,1.0,3835.8074791431427,0.0,0,2,1.0,1.0,1.0,False,False,False,False,2,59362,0.40327171690409713,0.40327171690409713,nan,0.7059566726188471,1.0,1.0,0.890923023223877,"{""Drishti_GS"": 0.18014891681547118, ""REFUGE"": 0.5540076142987096, ""RIM_ONE_r3"": 0.2658434688858192}",0.1497591051514437
0,R0,2,Drishti_GS,1,4,147201,1.0,3835.8074791431427,0.0,0,2,1.0,1.0,1.0,False,False,False,False,3,32609,0.221527027669649,0.221527027669649,nan,0.8259376245821706,1.0,1.0,0.9917779564857483,"{""Drishti_GS"": 0.21322334324879635, ""REFUGE"": 0.6281088043178263, ""RIM_ONE_r3"": 0.15866785243337728}",0.10420436075929958
0,R0,2,Drishti_GS,2,4,79742,1.0,4132.666918754578,0.0,3,0,1.0,1.0,1.0,False,False,False,False,0,29600,0.37119711068194927,0.37119711068194927,nan,0.6720945945945946,1.0,1.0,0.8826983571052551,"{""Drishti_GS"": 0.15405405405405406, ""REFUGE"": 0.6088513513513514, ""RIM_ONE_r3"": 0.2370945945945946}",0.14246621621621622
0,R0,2,Drishti_GS,2,4,79742,1.0,4132.666918754578,0.0,3,0,1.0,1.0,1.0,False,False,False,False,1,18432,0.2311454440570841,0.2311454440570841,nan,0.7306315104166666,1.0,1.0,0.9057841300964355,"{""Drishti_GS"": 0.3209092881944444, ""REFUGE"": 0.4188368055555556, ""RIM_ONE_r3"": 0.26025390625}",0.0886501736111111
