fold,candidate_id,kappa,tau,rho,calibration_pass,route_precision_p10,current_false_override_p90,historical_recall_p10,median_accepted_historical_patients,route_agreement,outer_route_count,outer_route_frequency,minimum_outer_finite_predictions,route_sha256,median_probability_sha256,consensus_sha256
0,k010_tau090,10,0.9,0.8,False,0.9879375202815706,0.024999999999999998,0.9271180170181279,437.0,0.9763384113166486,28,0.6829268292682927,0,5a9596127906a14c385911ebd1f4132fc22218636fe4bfadaf62b74b97b4dde4,a8289ab8cbc1ec13c9efc3e418aa0867004013fb6f637aa1f552de9dfe0f63de,c153c503d89926506708874a439f7d42a92e4933b2d1c16ccdebb9f0d1c23389
0,k010_tau095,10,0.95,0.8,True,0.994431185361973,0.010416666666666666,0.908250092489826,429.0,0.9792872687704025,27,0.6585365853658537,0,f17db80eb389c3d16c50e02039daabfe65aef6527c39c3d3c4e21a9a85dc0b7b,a8289ab8cbc1ec13c9efc3e418aa0867004013fb6f637aa1f552de9dfe0f63de,f6b2fd02bdcd89c99be61c10f2eae7d79bd0d83211cffb07a27d6a7b7ffefcfc
0,k010_tau098,10,0.98,0.8,True,0.9967734007667196,0.00625,0.843433222345542,418.5,0.9714744287268771,25,0.6097560975609756,0,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,a8289ab8cbc1ec13c9efc3e418aa0867004013fb6f637aa1f552de9dfe0f63de,495e4a7410302d5d68facd56594f662ffaceaafbb356ee86417b72d016082d47
0,k030_tau090,30,0.9,0.8,False,0.9877126992184042,0.024999999999999998,0.9271180170181279,439.0,0.9749129488574538,29,0.7073170731707317,0,97e1bc9aa0e95e9c279ddfbd540828283cd37f6c8af3f552cd546debea060dbb,73aea553988dd9911c09776aeb1f669a15278b7a9640de17ae31ae882fb5db62,15d04e97772d8fa2e0f87c0d1fb9dfadfc33602685fbcaaedc6e376026ea214d
0,k030_tau095,30,0.95,0.8,True,0.9941037232418259,0.010416666666666666,0.879763226045135,428.0,0.9738465723612622,27,0.6585365853658537,0,f17db80eb389c3d16c50e02039daabfe65aef6527c39c3d3c4e21a9a85dc0b7b,73aea553988dd9911c09776aeb1f669a15278b7a9640de17ae31ae882fb5db62,c701ca198ddcd1fc5f26821d90c80654b7bc8f5ea02a7ed4358c69820d158d18
0,k030_tau098,30,0.98,0.8,True,0.9967778312922878,0.00625,0.8267850536440992,405.0,0.9730794341675735,25,0.6097560975609756,0,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,73aea553988dd9911c09776aeb1f669a15278b7a9640de17ae31ae882fb5db62,0dd00dcd596504ad08de7fc58e8d84fef4723068c149d9a8779a91567e8f350f
0,k100_tau090,100,0.9,0.8,False,0.9870226177233963,0.024999999999999998,0.92267850536441,440.5,0.9730685527747551,29,0.7073170731707317,0,97e1bc9aa0e95e9c279ddfbd540828283cd37f6c8af3f552cd546debea060dbb,20e68240d1b88d4a9557279f59e230f8125ee7a916e021a2d31b7a5deb900e77,6b4f433456d31ae6ed64aec09385864eb0acea35ec8e68f14a1d0b015b77a99a
0,k100_tau095,100,0.95,0.8,True,0.9911368015414257,0.010416666666666666,0.8571957084720679,413.0,0.9640533188248096,25,0.6097560975609756,0,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,20e68240d1b88d4a9557279f59e230f8125ee7a916e021a2d31b7a5deb900e77,b38603dddff53280307029ce8c1a576e5a8ef0a300834ac0916520d16b08a00a
0,k100_tau098,100,0.98,0.8,True,0.9965028170511321,0.00625,0.8124306326304107,397.0,0.9712459194776932,25,0.6097560975609756,0,3f2de46b15f0b6ded91b7a6b6320c0ef31c80bec352c853f227d6f3d28e7a2bc,20e68240d1b88d4a9557279f59e230f8125ee7a916e021a2d31b7a5deb900e77,d4cc1a7b793709a34b6c4ef4cab4b9346389d4ecf10a1a45bc1d4b9cc31c9f2f
0,kinf_tau090,inf,0.9,0.8,False,0.9850091407678244,0.0375,0.8882722900480946,446.0,0.972671381936888,30,0.7317073170731707,0,8b0fef69a384e859fd351da94328302ce623fadd46543c5416cbd1188187709d,6b80473cbbe52f012c3e1ae22ebea9aed0c292adb4587a28edd8851eb868b7ac,71caa28d06fe29bf5d2e2313e50611bc4bab6865888ac7fdedc2e452993a8b0f
0,kinf_tau095,inf,0.95,0.8,True,0.9898464723132654,0.010416666666666666,0.8475767665556789,410.0,0.9675190424374319,27,0.6585365853658537,0,e5b4882d1dcf1d762b7186b4606f5e7213507904e6265bce5ad1ef0058af2bd2,6b80473cbbe52f012c3e1ae22ebea9aed0c292adb4587a28edd8851eb868b7ac,fdd88bb8895b51f3b36daf178db1bad5bd8cf337cc19599c0bbee84c78f45e79
0,kinf_tau098,inf,0.98,0.8,True,0.9954394693200662,0.00625,0.7894931557528673,393.0,0.9665560391730142,24,0.5853658536585366,0,946e36fc8ea2c42012f4f9834f5eab1db7b5dc6a2d3b2ee57a66aa944ea6665e,6b80473cbbe52f012c3e1ae22ebea9aed0c292adb4587a28edd8851eb868b7ac,1ef156638d2a426de52007e4240d1dc4a1731c25872e6497af375304437b652d
1,k010_tau090,10,0.9,0.8,False,0.9881564647502444,0.024999999999999998,0.9210332103321034,439.0,0.9727777777777777,32,0.7619047619047619,0,0c144ae0bf89b86b56b287d50ec1e4bfe0bef32a92403ff677b7615d36a42154,e2241339f7abc509feb6d6fe9bec179cf314c35ede991427fe06bb4bd20c2771,872fa8b38daf795558bc63abe79b970a03f15cc969abf87028090ca923c8987d
1,k010_tau095,10,0.95,0.8,True,0.9941656863137882,0.01083333333333331,0.8977859778597786,429.0,0.9772712418300653,31,0.7380952380952381,0,7b3b7a059a4d058de5ab087a7a916a52619b78b13088c8ca2721f07cfbc5adf8,e2241339f7abc509feb6d6fe9bec179cf314c35ede991427fe06bb4bd20c2771,c8b17599e330dac96ae88b644fa597eace65ddbbbdba5a5637b4967c2f11540c
1,k010_tau098,10,0.98,0.8,True,0.9968067673996974,0.00625,0.8454981549815499,422.0,0.9786056644880174,30,0.7142857142857143,0,3e49b760e582ecb9554894d4f05bbd39a2e14edcea5a434f75a6b73aa0e93602,e2241339f7abc509feb6d6fe9bec179cf314c35ede991427fe06bb4bd20c2771,65d31225c96b888a65b4d333aa8c3f077dc57c19ffcfa0b029b133f73eb684da
1,k030_tau090,30,0.9,0.8,False,0.987626172375764,0.024999999999999998,0.9216974169741697,440.0,0.9711383442265795,32,0.7619047619047619,0,0c144ae0bf89b86b56b287d50ec1e4bfe0bef32a92403ff677b7615d36a42154,2d534b957d193e62c55a542fe0789a0f5b106f34ce9db19b905e6d19b93ef92a,e6f9e1b53708f430dceb05c869566d19aadce16b83ba759d7b4959c95be0af04
1,k030_tau095,30,0.95,0.8,True,0.9926626693357625,0.014583333333333332,0.8804428044280443,429.0,0.9734095860566447,31,0.7380952380952381,0,7b3b7a059a4d058de5ab087a7a916a52619b78b13088c8ca2721f07cfbc5adf8,2d534b957d193e62c55a542fe0789a0f5b106f34ce9db19b905e6d19b93ef92a,cb7ca533ff7c9b37fbc753bab5508b8a08aa813ac4b01fb565f2d8173069b929
1,k030_tau098,30,0.98,0.8,True,0.9964793869542911,0.00625,0.8287822878228782,402.0,0.9709204793028322,27,0.6428571428571429,0,450b016bf4528e306c23021e5ece4797b12e0984b242c99f338f0702adffae97,2d534b957d193e62c55a542fe0789a0f5b106f34ce9db19b905e6d19b93ef92a,44fd20a5ee1362c9084ed2bd0e6d03f56dc15d58bcee74dbde91791d3d64fb6d
