task_id,arm,epoch,steps,loss_mean_per_step,CE_mean_per_step,GT_Dice_mean_per_step,anchor_label_records_mean_per_step,U_image_records_mean_per_step,donor_context_records_mean_per_step,current_H_distance_relative_max_sum_mean_per_step
O1_s61_GN_L,GN_L,1,21,1.4157844222502673,0.8761953597977048,0.5395890624525626,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,2,21,1.066924838091783,0.6228586896544411,0.44406614843734193,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,3,21,0.8791226528615335,0.48828904188814615,0.39083361097338726,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,4,21,0.7336938741027932,0.38287377002693357,0.3508201040758596,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,5,21,0.6291410793027532,0.31172100206216175,0.31742007724059135,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,6,21,0.5712033553784706,0.2753724828362465,0.29583087254222395,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,7,21,0.5613924567931953,0.26537245884537697,0.29601999794781825,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,8,21,0.5453218629161278,0.25737123368751436,0.2879506292286135,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,9,21,0.5258040882328496,0.24026784087930406,0.2855362473535455,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,10,21,0.5220801566461436,0.23891540723187582,0.28316474941426784,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,11,21,0.5193460499614614,0.23329330732425055,0.28605274263721076,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,12,21,0.48583987405201623,0.21515807367506481,0.2706818003769515,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,13,21,0.4906113633633074,0.21616804599761963,0.2744433173656879,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,14,21,0.4778561373563136,0.2086129610737165,0.26924317628259714,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,15,21,0.4566587140484274,0.19489251041696184,0.26176620363146547,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,16,21,0.455868704516269,0.19338590438876832,0.26248280012750075,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,17,21,0.4469109505865357,0.18752097710967064,0.25938997347686493,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,18,21,0.4482290378304733,0.18615584926945822,0.26207318856101514,2.0,0.0,0.0,0.0
O1_s61_GN_L,GN_L,19,21,0.44420377289207585,0.1835992850718044,0.2606044878202714,2.0,0.0,0.0,0.0
