arm,order,seed,domain,metric,source_score,old_score,absolute_forget
F_CONV,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.4548875065474844,0.12384651017090059
F_CONV,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4669539860679926,0.22619356156916098
ISO_COND_L,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5819247889178361,0.15114490943544734
ISO_COND_L,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6074721534021916,0.07692757273929807
ISO_COND_L,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.5490542103130565,0.10132870335887012
ISO_COND_L,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.46196644727984043,0.28645215388261197
ISO_COND_L,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.648836251633689,0.07305886795399441
ISO_COND_L,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.6431334792377855,0.024438576371011322
ISO_COND_L,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4919688027045671,0.15956184345433488
ISO_COND_L,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.18662480884194965,0.532291365301031
ISO_COND_L,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.5955675242244329,0.1275957520002695
ISO_COND_L,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.6009843218420199,0.04561023207033443
ISO_COND_L,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.3647177777723843,0.2140162389460007
ISO_COND_L,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4814251584344184,0.21172238920273517
ISO_COND_LU,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.5812872880067405,0.15178241034654294
ISO_COND_LU,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6069418721275073,0.07745785401398242
ISO_COND_LU,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.5463265429432632,0.10405637072866336
ISO_COND_LU,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.4582568024618998,0.2901617987005526
ISO_COND_LU,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.6485917708529142,0.07330334873476918
ISO_COND_LU,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.64298998027878,0.024582075330016884
ISO_COND_LU,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.4936539030070463,0.15787674315185568
ISO_COND_LU,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.1868734681471701,0.5320427059958106
ISO_COND_LU,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.5894763198093542,0.13368695641534822
ISO_COND_LU,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.5977733163593747,0.048821237552979624
ISO_COND_LU,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.37226986976799337,0.2064641469503916
ISO_COND_LU,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.4818001142973341,0.21134743333981948
STATIC_SOURCE,O1,61,RIM_ONE_r3,rim_dice,0.7330696983532834,0.7330696983532834,0.0
STATIC_SOURCE,O1,61,RIM_ONE_r3,cup_dice,0.6843997261414897,0.6843997261414897,0.0
STATIC_SOURCE,O2,61,Drishti_GS,rim_dice,0.6503829136719266,0.6503829136719266,0.0
STATIC_SOURCE,O2,61,Drishti_GS,cup_dice,0.7484186011624524,0.7484186011624524,0.0
STATIC_SOURCE,O1,62,RIM_ONE_r3,rim_dice,0.7218951195876834,0.7218951195876834,0.0
STATIC_SOURCE,O1,62,RIM_ONE_r3,cup_dice,0.6675720556087968,0.6675720556087968,0.0
STATIC_SOURCE,O2,62,Drishti_GS,rim_dice,0.651530646158902,0.651530646158902,0.0
STATIC_SOURCE,O2,62,Drishti_GS,cup_dice,0.7189161741429807,0.7189161741429807,0.0
STATIC_SOURCE,O1,63,RIM_ONE_r3,rim_dice,0.7231632762247024,0.7231632762247024,0.0
STATIC_SOURCE,O1,63,RIM_ONE_r3,cup_dice,0.6465945539123543,0.6465945539123543,0.0
STATIC_SOURCE,O2,63,Drishti_GS,rim_dice,0.578734016718385,0.578734016718385,0.0
STATIC_SOURCE,O2,63,Drishti_GS,cup_dice,0.6931475476371536,0.6931475476371536,0.0
