arm,baseline,metric,scope,order,seed,delta,sample_SD
GN_L,F_CONV,Final,seed_order_average,both,62,-0.018095664091881236,
GN_L,F_CONV,Final,seed_order_average,both,63,-0.0650364754117492,
GN_L,F_CONV,Final,overall,both,,-0.03694635503685659,0.024796879521114687
GN_L,F_CONV,Incoming,seed_order,O1,61,0.035623559325696275,
GN_L,F_CONV,Incoming,seed_order,O1,62,-0.006250778396449164,
GN_L,F_CONV,Incoming,seed_order,O1,63,-0.003913408380856742,
GN_L,F_CONV,Incoming,seed_order,O2,61,-0.03366808184404757,
GN_L,F_CONV,Incoming,seed_order,O2,62,-0.029851577065072465,
GN_L,F_CONV,Incoming,seed_order,O2,63,-0.1237103626554874,
GN_L,F_CONV,Incoming,seed_order_average,both,61,0.000977738740824352,
GN_L,F_CONV,Incoming,seed_order_average,both,62,-0.018051177730760815,
GN_L,F_CONV,Incoming,seed_order_average,both,63,-0.06381188551817207,
GN_L,F_CONV,Incoming,overall,both,,-0.02696177483603618,0.03330124484887751
GN_L,F_CONV,Old,seed_order,O1,61,-0.12021469661137985,
GN_L,F_CONV,Old,seed_order,O1,62,-0.05195877660284559,
GN_L,F_CONV,Old,seed_order,O1,63,-0.015566791176216621,
GN_L,F_CONV,Old,seed_order,O2,61,0.007431516701973673,
GN_L,F_CONV,Old,seed_order,O2,62,0.01567847569684233,
GN_L,F_CONV,Old,seed_order,O2,63,-0.11695533943443587,
GN_L,F_CONV,Old,seed_order_average,both,61,-0.056391589954703086,
GN_L,F_CONV,Old,seed_order_average,both,62,-0.01814015045300163,
GN_L,F_CONV,Old,seed_order_average,both,63,-0.06626106530532624,
GN_L,F_CONV,Old,overall,both,,-0.04693093523767699,0.025417191078328464
GN_L,F_CONV,Forget,seed_order,O1,61,0.12021469661137985,
GN_L,F_CONV,Forget,seed_order,O1,62,0.05195877660284559,
GN_L,F_CONV,Forget,seed_order,O1,63,0.015566791176216621,
GN_L,F_CONV,Forget,seed_order,O2,61,-0.007431516701973673,
GN_L,F_CONV,Forget,seed_order,O2,62,-0.01567847569684233,
GN_L,F_CONV,Forget,seed_order,O2,63,0.11695533943443587,
GN_L,F_CONV,Forget,seed_order_average,both,61,0.056391589954703086,
GN_L,F_CONV,Forget,seed_order_average,both,62,0.01814015045300163,
GN_L,F_CONV,Forget,seed_order_average,both,63,0.06626106530532624,
GN_L,F_CONV,Forget,overall,both,,0.04693093523767699,0.025417191078328464
GN_CIST_L,F_CONV,Final,seed_order,O1,61,-0.06190308009383283,
GN_CIST_L,F_CONV,Final,seed_order,O1,62,-0.0046874331810276,
GN_CIST_L,F_CONV,Final,seed_order,O1,63,-0.02073213325054135,
GN_CIST_L,F_CONV,Final,seed_order,O2,61,0.008474308573461209,
GN_CIST_L,F_CONV,Final,seed_order,O2,62,-0.017248882208788063,
GN_CIST_L,F_CONV,Final,seed_order,O2,63,-0.08380396829076364,
GN_CIST_L,F_CONV,Final,seed_order_average,both,61,-0.02671438576018581,
GN_CIST_L,F_CONV,Final,seed_order_average,both,62,-0.010968157694907832,
GN_CIST_L,F_CONV,Final,seed_order_average,both,63,-0.0522680507706525,
GN_CIST_L,F_CONV,Final,overall,both,,-0.029983531408582047,0.020843123013833762
GN_CIST_L,F_CONV,Incoming,seed_order,O1,61,0.005373186189621126,
GN_CIST_L,F_CONV,Incoming,seed_order,O1,62,0.013748623135344862,
GN_CIST_L,F_CONV,Incoming,seed_order,O1,63,0.0031952650124527082,
GN_CIST_L,F_CONV,Incoming,seed_order,O2,61,-0.03772061994888187,
GN_CIST_L,F_CONV,Incoming,seed_order,O2,62,-0.031226820160818125,
GN_CIST_L,F_CONV,Incoming,seed_order,O2,63,-0.08907134666715377,
GN_CIST_L,F_CONV,Incoming,seed_order_average,both,61,-0.016173716879630373,
GN_CIST_L,F_CONV,Incoming,seed_order_average,both,62,-0.008739098512736632,
GN_CIST_L,F_CONV,Incoming,seed_order_average,both,63,-0.04293804082735053,
GN_CIST_L,F_CONV,Incoming,overall,both,,-0.022616952073239178,0.017986894497930752
GN_CIST_L,F_CONV,Old,seed_order,O1,61,-0.1291793463772869,
GN_CIST_L,F_CONV,Old,seed_order,O1,62,-0.023123489497400174,
GN_CIST_L,F_CONV,Old,seed_order,O1,63,-0.04465953151353552,
GN_CIST_L,F_CONV,Old,seed_order,O2,61,0.05466923709580429,
GN_CIST_L,F_CONV,Old,seed_order,O2,62,-0.003270944256757835,
GN_CIST_L,F_CONV,Old,seed_order,O2,63,-0.0785365899143734,
GN_CIST_L,F_CONV,Old,seed_order_average,both,61,-0.0372550546407413,
GN_CIST_L,F_CONV,Old,seed_order_average,both,62,-0.013197216877079004,
GN_CIST_L,F_CONV,Old,seed_order_average,both,63,-0.06159806071395446,
GN_CIST_L,F_CONV,Old,overall,both,,-0.03735011074392492,0.02420056193102684
GN_CIST_L,F_CONV,Forget,seed_order,O1,61,0.1291793463772869,
GN_CIST_L,F_CONV,Forget,seed_order,O1,62,0.023123489497400174,
GN_CIST_L,F_CONV,Forget,seed_order,O1,63,0.04465953151353552,
GN_CIST_L,F_CONV,Forget,seed_order,O2,61,-0.05466923709580429,
GN_CIST_L,F_CONV,Forget,seed_order,O2,62,0.003270944256757835,
GN_CIST_L,F_CONV,Forget,seed_order,O2,63,0.0785365899143734,
GN_CIST_L,F_CONV,Forget,seed_order_average,both,61,0.0372550546407413,
GN_CIST_L,F_CONV,Forget,seed_order_average,both,62,0.013197216877079004,
GN_CIST_L,F_CONV,Forget,seed_order_average,both,63,0.06159806071395446,
GN_CIST_L,F_CONV,Forget,overall,both,,0.03735011074392492,0.02420056193102684
GN_L,ISO_COND_L,Final,seed_order,O1,61,0.00090619257032587,
GN_L,ISO_COND_L,Final,seed_order,O1,62,-0.043154831472237754,
GN_L,ISO_COND_L,Final,seed_order,O1,63,0.019770634152576072,
GN_L,ISO_COND_L,Final,seed_order,O2,61,0.0067901956313618506,
GN_L,ISO_COND_L,Final,seed_order,O2,62,0.07520548312634517,
GN_L,ISO_COND_L,Final,seed_order,O2,63,-0.02240665829494759,
GN_L,ISO_COND_L,Final,seed_order_average,both,61,0.0038481941008438603,
GN_L,ISO_COND_L,Final,seed_order_average,both,62,0.01602532582705371,
