task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s63_STATIC_SOURCE,63,O1,STATIC_SOURCE,Drishti_GS,current,25,25,0.9618283036842211,0.3506009993967057,0.49873930161269137,0.42467015050469853
O1_s63_STATIC_SOURCE,63,O1,STATIC_SOURCE,RIM_ONE_r3,old,40,40,0.9881517883445639,0.7231632762247024,0.6465945539123543,0.6848789150685283
O2_s63_SRC_CE,63,O2,SOURCE_STAGE_REFERENCE,Drishti_GS,source,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
O2_s63_F_FULL,63,O2,F_FULL,Drishti_GS,old,25,25,0.9647770157405263,0.42975202094847087,0.42643782906001837,0.4280949250042447
O2_s63_F_FULL,63,O2,F_FULL,RIM_ONE_r3,current,40,40,0.9883778854968917,0.7424819752569652,0.6755174226037026,0.7089996989303339
O2_s63_F_CONV,63,O2,F_CONV,Drishti_GS,old,25,25,0.9693312401285376,0.4548875065474844,0.4669539860679926,0.46092074630773844
O2_s63_F_CONV,63,O2,F_CONV,RIM_ONE_r3,current,40,40,0.9883589291088419,0.7299427162752543,0.6815050832825534,0.7057238997789039
O2_s63_ISO_COND_L,63,O2,ISO_COND_L,Drishti_GS,old,25,25,0.9631070698852614,0.3647177777723843,0.4814251584344184,0.42307146810340135
O2_s63_ISO_COND_L,63,O2,ISO_COND_L,RIM_ONE_r3,current,40,40,0.9772838111917022,0.5955655246287304,0.49987606033769527,0.5477207924832129
O2_s63_ISO_COND_LU,63,O2,ISO_COND_LU,Drishti_GS,old,25,25,0.9636330187420551,0.37226986976799337,0.4818001142973341,0.42703499203266376
O2_s63_ISO_COND_LU,63,O2,ISO_COND_LU,RIM_ONE_r3,current,40,40,0.9773236442101499,0.5964075644457616,0.5013903831407761,0.5488989737932688
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,RIM_ONE_r3,current,40,40,0.9608498788839348,0.28154445389947913,0.434212943318402,0.35787869860894056
O2_s63_STATIC_SOURCE,63,O2,STATIC_SOURCE,Drishti_GS,old,25,25,0.9808198078250472,0.578734016718385,0.6931475476371536,0.6359407821777693
O1_s61_GN_L,61,O1,GN_L,RIM_ONE_r3,old,40,40,0.9687562293628599,0.3969557821067513,0.5287446745274971,0.4628502283171242
O1_s61_GN_L,61,O1,GN_L,Drishti_GS,current,25,25,0.9877289287566028,0.7335745196431783,0.7864763725890852,0.7600254461161318
O1_s61_GN_CIST_L,61,O1,GN_CIST_L,RIM_ONE_r3,old,40,40,0.969294704867098,0.38238420711037435,0.52538694999206,0.45388557855121714
O1_s61_GN_CIST_L,61,O1,GN_CIST_L,Drishti_GS,current,25,25,0.9871681453036696,0.6910213344724832,0.7685288114876301,0.7297750729800566
O1_s61_CONV_CIST_L,61,O1,CONV_CIST_L,RIM_ONE_r3,old,40,40,0.9738821473066253,0.5494139081053918,0.5807546072428307,0.5650842576741113
O1_s61_CONV_CIST_L,61,O1,CONV_CIST_L,Drishti_GS,current,25,25,0.98922123489538,0.7507258930230616,0.757461794658496,0.7540938438407787
O2_s61_GN_L,61,O2,GN_L,Drishti_GS,old,25,25,0.9710785300644121,0.47406309509322214,0.4800822551728912,0.47707267513305657
O2_s61_GN_L,61,O2,GN_L,RIM_ONE_r3,current,40,40,0.9860154581245538,0.7036233695355908,0.6684104774499572,0.686016923492774
O2_s61_GN_CIST_L,61,O2,GN_CIST_L,Drishti_GS,old,25,25,0.9782254070346592,0.5608434981331034,0.4877772929206713,0.5243103955268872
O2_s61_GN_CIST_L,61,O2,GN_CIST_L,RIM_ONE_r3,current,40,40,0.9851380481395037,0.6954824867993384,0.668446283976541,0.6819643853879397
O2_s61_CONV_CIST_L,61,O2,CONV_CIST_L,Drishti_GS,old,25,25,0.9598000067895128,0.35887244048054556,0.40997684327065675,0.3844246418756012
O2_s61_CONV_CIST_L,61,O2,CONV_CIST_L,RIM_ONE_r3,current,40,40,0.9891264737295762,0.7470631860248191,0.6866521581994854,0.7168576721121522
O1_s62_GN_L,62,O1,GN_L,RIM_ONE_r3,old,40,40,0.9654236705963403,0.42044492090998187,0.5375294491582198,0.4789871850341008
O1_s62_GN_L,62,O1,GN_L,Drishti_GS,current,25,25,0.983812724031283,0.7189942949462507,0.7302624840879233,0.7246283895170869
O1_s62_GN_CIST_L,62,O1,GN_CIST_L,RIM_ONE_r3,old,40,40,0.9655642977826233,0.45659920219464584,0.5590457420844466,0.5078224721395462
O1_s62_GN_CIST_L,62,O1,GN_CIST_L,Drishti_GS,current,25,25,0.9849094751052226,0.7415355089511455,0.7477200731466159,0.7446277910488809
O1_s62_CONV_CIST_L,62,O1,CONV_CIST_L,RIM_ONE_r3,old,40,40,0.9667655452916655,0.497502663244829,0.535668726206001,0.516585694725415
O1_s62_CONV_CIST_L,62,O1,CONV_CIST_L,Drishti_GS,current,25,25,0.9838791159429409,0.6756851999675113,0.7334264048776418,0.7045558024225765
O2_s62_GN_L,62,O2,GN_L,Drishti_GS,old,25,25,0.970826141958859,0.468990025637385,0.37647488295016124,0.4227324542937732
O2_s62_GN_L,62,O2,GN_L,RIM_ONE_r3,current,40,40,0.9853516848765193,0.694695417592607,0.6532346975481675,0.6739650575703873
O2_s62_GN_CIST_L,62,O2,GN_CIST_L,Drishti_GS,old,25,25,0.9699143639740403,0.4481139000385845,0.35945216864176155,0.40378303434017304
O2_s62_GN_CIST_L,62,O2,GN_CIST_L,RIM_ONE_r3,current,40,40,0.985551652561871,0.6908643979731155,0.6543152309761681,0.6725898144746416
O2_s62_CONV_CIST_L,62,O2,CONV_CIST_L,Drishti_GS,old,25,25,0.9646609280371099,0.397412927797426,0.46122945917255875,0.42932119348499237
O2_s62_CONV_CIST_L,62,O2,CONV_CIST_L,RIM_ONE_r3,current,40,40,0.9891891302523117,0.7495768130621269,0.6891220916991571,0.719349452380642
O1_s63_GN_L,63,O1,GN_L,RIM_ONE_r3,old,40,40,0.9597256605195966,0.4361644565447664,0.5584183403069561,0.49729139842586123
O1_s63_GN_L,63,O1,GN_L,Drishti_GS,current,25,25,0.9869709087170356,0.712688382104821,0.7465915133071949,0.7296399477060078
O1_s63_GN_CIST_L,63,O1,GN_CIST_L,RIM_ONE_r3,old,40,40,0.9594081063168645,0.3972940134852131,0.5391033026918717,0.46819865808854233
O1_s63_GN_CIST_L,63,O1,GN_CIST_L,Drishti_GS,current,25,25,0.9873734739187106,0.7320041151240599,0.7414931270745748,0.7367486210993173
O1_s63_CONV_CIST_L,63,O1,CONV_CIST_L,RIM_ONE_r3,old,40,40,0.9625249003596782,0.5046753450742625,0.5649838982811197,0.5348296216776911
O1_s63_CONV_CIST_L,63,O1,CONV_CIST_L,Drishti_GS,current,25,25,0.9881297507547515,0.7264562736744025,0.7585445023877692,0.7425003880310858
O2_s63_GN_L,63,O2,GN_L,Drishti_GS,old,25,25,0.9574644203147377,0.35389176847990483,0.3340390452667004,0.34396540687330257
O2_s63_GN_L,63,O2,GN_L,RIM_ONE_r3,current,40,40,0.9832409280748644,0.6474892722799235,0.5165378019669097,0.5820135371234165
O2_s63_GN_CIST_L,63,O2,GN_CIST_L,Drishti_GS,old,25,25,0.9638055817963692,0.40634191801389363,0.3584263947728364,0.38238415639336504
O2_s63_GN_CIST_L,63,O2,GN_CIST_L,RIM_ONE_r3,current,40,40,0.9825493555825414,0.6534637316224343,0.579841374601066,0.6166525531117502
O2_s63_CONV_CIST_L,63,O2,CONV_CIST_L,Drishti_GS,old,25,25,0.9624443980858841,0.3759943525775185,0.48772483386457166,0.43185959322104517
O2_s63_CONV_CIST_L,63,O2,CONV_CIST_L,RIM_ONE_r3,current,40,40,0.9881167728118108,0.7407326815267157,0.6721810722389842,0.7064568768828499
