contrast,order,Final,Old,Incoming,Forget
A5-A0,1,-2.922675138591202,-5.050390308345387,1.3327552009171573,5.05039030834539
A5-A0,2,-0.7284228658279712,-0.44119504679109856,-1.3028785039017277,0.44119504679110133
A2-A0,1,-2.9359237169884422,-5.060785310927929,1.3137994708905198,5.0607853109279315
A2-A0,2,-0.7854566346498393,-0.5212374926409913,-1.3138949186675242,0.5212374926409913
A5-A2,1,0.013248578397240252,0.010395002582541668,0.01895573002663742,-0.010395002582541668
A5-A2,2,0.05703376882186806,0.08004244584989273,0.011016414765796512,-0.08004244584988995
A5-A4,1,-0.0007765809196258466,-0.004029376928227357,0.005729011097566072,0.004029376928230133
A5-A4,2,0.00846117980347616,0.01766512507341833,-0.009946710736430386,-0.017665125073410004
A3-A1,1,-2.912592161168559,-5.030849055137388,1.3239216267690868,5.0308490551373914
A3-A1,2,-0.7286558086794903,-0.4376358755144971,-1.3106956750094434,0.43763587551449157
